Date,Open,High,Low,Close,Volume
20080401,35.05,35.99,35.05,35.99,124507
20080402,35.47,36.08,35.14,35.32,112983
20080403,35.07,37.71,34.86,35.2,101721
20080404,35.09,35.35,34.91,35.2,55401
20080407,35.38,35.47,35.13,35.2,53092
20080408,35.23,35.38,35.18,35.34,80159
20080409,35.13,35.21,35,35.07,71854
20080410,35.17,35.47,35,35.35,74154
20080411,35,35,34.66,34.68,48189
20080414,34.8,34.82,34.62,34.8,56706
20080415,34.93,34.93,34.69,34.78,58843
20080416,35.94,36.42,35.94,36.42,215479
20080417,36.42,36.48,36.33,36.45,57208
20080418,36.58,36.74,36.49,36.56,75892
20080421,36.09,36.19,35.97,36.15,31091
20080422,36.43,36.43,36.13,36.28,27955
20080423,35.87,35.99,35.77,35.95,35514
20080424,35.9,36.3,35.69,36.12,51185
20080425,35.47,35.65,35.33,35.63,23790
20080428,35.63,35.72,35.59,35.65,21864
20080429,35.56,35.59,35.36,35.41,122184
20080430,35.77,39.2,35.5,35.52,53805
20080501,35.63,35.93,35.46,35.93,20610
20080502,36.31,36.31,35.96,36.04,238822
20080505,36.04,36.16,35.74,35.91,20697
20080506,36,36.36,35.9,36.16,28467
20080507,36.31,36.35,35.75,35.84,215323
20080508,35.84,36.13,35.83,36.09,30879
20080509,35.9,35.9,35.61,35.7,82666
20080512,35.11,35.45,35.09,35.45,21526
20080513,35.12,35.16,34.91,35.08,25650
20080514,35.47,35.56,35.37,35.37,35181
20080515,35.61,36.1,35.61,36.08,77221
20080516,36.45,36.63,36.35,36.54,94028
20080519,36.53,36.95,36.5,36.6,98727
20080520,36.78,36.78,36.33,36.55,82533
20080521,37.24,37.26,36.7,36.74,77511
20080522,36.87,37.38,36.84,37.17,1321981
20080523,37.06,37.06,36.57,36.7,446624
20080527,35.94,35.97,35.62,35.93,422714
20080528,34.7,34.8,34.41,34.71,378982
20080529,34.39,34.64,34.23,34.55,307825
20080530,34.66,34.92,34.56,34.74,280281
20080602,33.64,33.64,32.95,33.08,231906
20080603,33.17,33.17,32.64,32.98,384149
20080604,32.88,33.99,32.83,32.96,205210
20080605,32.8,33.29,32.69,33.22,155190
20080606,32.84,32.84,32.16,32.21,102676
20080609,32.28,32.28,31.84,32.08,73972
20080610,31.97,31.97,31.65,31.86,86026
20080611,31.61,31.65,31.08,31.25,107456
20080612,31.56,31.79,31.48,31.56,68120
20080613,31.49,31.61,31.31,31.44,55389
20080616,31.13,31.43,31.11,31.36,37620
20080617,31,31.17,30.71,30.77,305853
20080618,30.42,30.42,29.83,30.04,123206
20080619,29.23,29.29,27.95,28.5,1290196
20080620,29.71,30.08,28.63,29.36,859765
20080623,29.63,30.01,29.54,29.75,387950
20080624,29.49,30.02,29.3,29.67,278490
20080625,30.38,30.73,30.29,30.46,119248
20080626,30.57,30.57,29.62,29.69,62341
20080627,29.97,30.31,29.71,30.06,112057
20080630,30,30.48,30,30.22,81089
20080701,29.55,30.19,29.35,29.77,88213
20080702,29.63,29.92,29.32,29.45,143080
20080703,29.19,29.22,28.7,29.04,79956
20080707,28.69,28.69,28.13,28.45,152621
20080708,28.07,28.83,28.07,28.63,25477
20080709,28.39,28.39,27.59,27.59,25528
20080710,27.93,28.41,27.84,28.37,57612
20080711,28.24,28.4,27.8,27.96,34384
20080714,27.96,28.02,27.34,27.34,27871
20080715,26.8,27.45,26.69,27.12,71533
20080716,26.32,27.03,26.05,27.03,22310
