Date,Open,High,Low,Close,Volume
20211027,39.78,40.1683,39.7195,39.7195,2356
20211028,40.26,40.4299,40.26,40.363,460
20211029,40.0464,40.0464,40.0464,40.0464,97
20211101,40.2834,40.2834,40.2834,40.2834,40
20211102,40.41,40.8424,40.37,40.8424,3072
20211103,40.9985,41.3486,40.98,41.3486,2744
20211104,41.3,41.36,41.06,41.2215,3500
20211105,41.85,41.92,41.66,41.8985,508
20211108,42.15,42.18,41.9522,41.9522,1071
20211109,42.18,42.18,41.9345,42.004,2482
20211110,41.75,42,41.31,41.4164,15500
20211111,41.73,41.9654,41.72,41.9654,441
20211112,42.3671,42.5046,42.3671,42.5046,840
20211115,42.55,42.55,42.2,42.21,2167
20211116,42.23,42.24,42.0809,42.0809,1011
20211117,42.12,42.14,41.87,41.93,10511
20211118,42.16,42.16,41.82,41.97,10005
20211119,41.88,42.75,41.57,41.59,20257
20211122,41.52,41.78,41.3,41.3,10211
20211123,41.225,41.3284,41.225,41.3284,10767
20211124,41.2,41.2,41,41.07,3267
20211126,40,40,38.575,39.7164,663
20211129,40.02,40.02,39.78,39.9662,734
20211130,39.29,39.29,39.286,39.286,230
20211201,39.28,39.28,39.0442,39.0442,196
20211202,39.5531,39.5531,39.5531,39.5531,83
20211203,39.89,39.89,39.5,39.5,616
20211206,40.36,40.68,40.35,40.5,1285
20211207,41.44,41.44,41.4223,41.4223,228
20211208,41.6476,41.6476,41.6476,41.6476,23187
20211209,41.1553,41.1553,41.1553,41.1553,1
20211210,41.17,41.17,41.1526,41.1526,1059
20211213,40.98,40.98,40.42,40.42,11247
20211214,40.56,40.56,39.95,40.14,10528
20211215,40.04,40.6171,39.76,40.6171,235
20211216,41.04,41.04,40.28,40.3987,14534
20211217,40,40.29,39.89,40.0727,893
20211220,39.57,39.57,38.85,39.3726,1588
20211221,39.689,39.9876,39.689,39.9876,10058
20211222,39.87,40.22,39.86,40.2,23396
20211223,40.6,40.84,40.58,40.66,13849
20211227,40.89,41.3283,40.89,41.3283,3782
20211228,41.53,41.6,41.484,41.484,1767
20211229,41.35,41.56,41.35,41.5356,2777
20211230,41.54,41.54,41.4912,41.4912,291
20211231,41.56,41.56,41.4783,41.4783,479
20220103,41.52,41.6,41.52,41.5734,19747
20220104,41.8332,41.8332,41.8332,41.8332,3
20220105,41.2288,41.2288,41.2288,41.2288,61
20220106,40.9623,40.9623,40.85,40.85,345
20220110,40.1854,40.1854,40.1854,40.1854,92
20220111,40.49,40.542,40.49,40.542,215
20220112,40.85,41.03,40.85,40.9319,907
20220113,40.991,40.991,40.6129,40.6129,159
20220114,40.32,40.63,40.32,40.63,900
20220118,40.16,40.16,39.6387,39.6387,984
20220119,39.44,39.6,39.2253,39.2253,7694
20220120,38.8,38.8,38.8,38.8,200
20220121,38.55,38.67,37.98,37.98,2296
20220124,37.4,37.6118,36.48,37.6118,2174
20220125,37.05,37.38,36.55,37.0931,930
20220126,37.5,37.67,36.7708,36.7708,955
20220127,36.0049,36.0049,36.0049,36.0049,38
20220128,35.4648,36.0986,35.4648,36.0986,2118
20220131,36.56,37.049,36.56,37.049,1250
20220201,37.3861,37.5948,37.3861,37.5948,210
20220202,37.43,37.74,37.43,37.7183,400
20220203,37.2,37.29,36.8019,36.8019,1738
20220204,36.72,36.82,36.72,36.82,300
20220207,36.8281,36.8281,36.8281,36.8281,137
20220208,37.3792,37.3792,37.3792,37.3792,1
20220209,37.9591,37.9591,37.9591,37.9591,9
20220210,37.36,37.98,37.36,37.4199,533
20220211,37.1,37.1,36.27,36.4142,709
20220214,36.07,36.07,36.07,36.07,400
20220215,36.82,36.99,36.82,36.99,650
