Date,Open,High,Low,Close,Volume
20190201,25.5,25.5,25,25.09,95100
20190204,25.1666,25.324,25.1666,25.2883,602
20190206,25.4116,25.4116,25.4116,25.4116,1
20190207,25.37,25.37,24.955,24.955,605
20190208,25.05,25.2,25.05,25.152,749
20190212,25.58,25.58,25.58,25.58,1049
20190214,25.5935,25.7102,25.5935,25.7102,400
20190222,26.3484,26.3484,26.3484,26.3484,450
20190225,26.6012,26.6012,26.5498,26.5498,422
20190228,26.98,26.98,26.98,26.98,400
20190301,27.11,27.11,27.11,27.11,100
20190304,27.18,27.18,26.47,26.47,756
20190307,26.36,26.36,26.36,26.36,257
20190308,26.36,26.57,26.36,26.57,500
20190313,27.32,27.32,27.32,27.32,736
20190314,27.15,27.2152,27.15,27.2152,100
20190315,27.18,27.57,27.18,27.4686,300
20190319,27.54,27.54,27.54,27.54,219
20190320,27.42,27.6199,27.4,27.6,1800
20190321,27.4,28.5,27.31,27.7466,11902
20190322,28.68,28.68,27.0501,27.15,6403
20190325,27,27,26.92,26.958,1361
20190326,27.3651,27.75,27.3651,27.65,5793
20190327,27.11,27.6,27.11,27.59,10762
20190328,27.63,27.8046,27.5876,27.8046,2857
20190329,27.88,27.88,27.6508,27.67,986
20190401,27.701,27.9136,27.701,27.9,1369
20190402,28.27,28.29,28.0254,28.0254,916
20190403,28.1298,28.1751,28.1298,28.1751,2100
20190404,28.47,28.47,27.86,28.09,1948
20190405,28.29,28.29,28.095,28.095,280
20190408,28.33,28.33,28.33,28.33,1154
20190409,28.21,28.25,28.0661,28.0661,909
20190410,27.965,28.43,27.965,28.12,1438
20190411,28.12,28.1237,28.12,28.1237,1552
20190412,28.35,28.43,28.1373,28.1373,1080
20190415,28.1839,28.51,28.1839,28.51,1373
20190416,28.6,28.6,28.34,28.34,600
20190417,28.4261,28.5087,28.4056,28.5087,650
20190418,28.38,28.38,28.26,28.28,750
20190422,28.24,28.24,28.1212,28.1212,400
20190423,28.3116,28.56,28.3116,28.56,6159
20190424,28.6143,28.65,28.6143,28.65,1450
20190425,28.59,28.81,28.5619,28.5649,3545
20190426,28.94,28.94,28.641,28.694,1976
20190429,28.95,29.2761,28.95,29.18,5100
20190430,29.162,29.162,29.162,29.162,100
20190501,29.2616,29.2616,29.25,29.25,836
20190503,29.07,29.22,28.9977,29.202,2946
20190506,28.7999,28.9449,28.7999,28.8799,1225
20190507,28.7,28.74,28.69,28.74,1100
20190508,28.8456,28.8456,28.8456,28.8456,200
20190509,28.59,28.7,28.1321,28.1321,5576
20190510,28.4,28.756,28.1,28.756,3834
20190513,28.18,28.18,27.8668,27.8668,1550
20190514,28.24,28.24,28.24,28.24,200
20190515,28.29,28.29,28.29,28.29,180
20190516,28.71,29.0704,28.71,29.05,1555
20190517,28.8941,28.9133,28.8941,28.9133,617
20190520,28.86,28.86,28.76,28.76,1200
20190521,28.66,28.67,28.66,28.67,300
20190522,29.1499,29.1499,29.1499,29.1499,100
20190523,28.43,28.43,28.43,28.43,100
20190524,28.961,29.0166,28.9515,28.9515,1820
20190528,29.25,29.3766,29.2265,29.2265,1891
20190529,28.9,28.9,28.7892,28.854,1092
20190530,28.9576,28.9576,28.9576,28.9576,200
20190531,29.15,29.15,28.4491,28.49,1164
20190603,28.45,28.45,28.45,28.45,200
20190604,28.4899,28.4899,28.4899,28.4899,100
20190605,29.0399,29.0399,29.0399,29.0399,200
20190606,29.01,29.2963,29.01,29.2963,2049
20190607,29.7204,29.7204,29.7204,29.7204,200
20190610,29.9748,29.9748,29.9748,29.9748,200
20190611,30.02,30.02,30.02,30.02,100
20190612,29.831,29.831,29.831,29.831,500
20190614,29.7028,29.7028,29.7028,29.7028,100
20190618,29.83,29.83,29.8,29.82,3027
20190624,30.17,30.3052,30.1695,30.2175,948
20190627,29.9853,29.9853,29.9853,29.9853,100
20190628,30.0432,30.0432,30.0432,30.0432,200
20190701,30.59,30.59,30.29,30.29,200
20190705,30.93,30.93,30.6341,30.6567,615
20190708,30.7143,30.7143,30.55,30.6666,500
20190709,30.84,31.2282,30.6966,31.1805,3020
20190710,31.22,31.23,31.105,31.155,1550
20190711,31.12,31.27,31.12,31.1305,3001
20190712,31.5,31.6784,31.1742,31.62,3025
20190715,31.67,31.67,31.1625,31.615,1138
20190716,31.54,31.54,31.3228,31.3228,800
20190717,31.46,31.52,31.395,31.395,1796
20190718,31.42,31.655,31.42,31.6225,2400
20190719,31.684,31.85,31.6,31.6,3100
20190722,31.63,31.63,31.5683,31.5683,590
20190723,31.7486,31.7486,31.7486,31.7486,300
20190724,31.96,31.96,31.5385,31.5948,2265
20190726,32.2041,32.2301,32.1969,32.2301,643
20190729,32.4101,32.56,32.3401,32.56,1451
20190730,32.49,32.67,32.175,32.21,3473
20190731,32.25,32.25,32.04,32.04,837
20190801,31.9919,31.9919,31.9919,31.9919,100
20190802,31.65,31.65,31.15,31.15,3894
20190805,30.8,30.8,29.8652,29.8652,2706
20190806,30.2885,30.4699,30.2336,30.4699,1700
20190808,31.07,31.3299,31.07,31.2799,3566
20190809,31.23,31.23,31.23,31.23,100
20190812,31.04,31.04,30.26,30.58,2300
20190813,30.65,30.6999,30.38,30.6999,1422
20190814,31.03,31.03,30.13,30.18,3924
20190815,30.29,30.29,30.29,30.29,380
20190816,30.5795,30.8099,30.5795,30.8099,400
20190820,31.0584,31.14,31.03,31.1299,4948
20190822,31.28,31.345,31.28,31.345,400
20190823,30.7191,30.7191,30.66,30.66,250
20190826,30.5307,30.5307,30.5307,30.5307,500
20190827,30.8419,30.8419,30.8419,30.8419,100
20190828,30.613,30.7353,30.613,30.7353,1420
20190903,31.0001,31.0001,31.0001,31.0001,250
20190904,31.19,31.19,31.19,31.19,160
20190905,31.942,31.942,31.942,31.942,415
20190906,32.078,32.078,32.078,32.078,150
20190909,32.107,32.11,32.05,32.05,2410
20190910,31.56,31.56,31,31,3335
20190911,31.0254,31.0254,31.0254,31.0254,110
20190912,31.17,31.3729,31.17,31.3679,501
20190913,31.58,31.58,31.58,31.58,101
20190916,31.01,31.05,31.01,31.05,600
20190917,31.2,31.2966,31.2,31.2966,300
20190918,31.49,31.53,31.412,31.53,2285
20190920,31.5199,31.5199,31.3438,31.3438,1182
20190923,31.0298,31.0298,30.9956,30.9956,200
20190924,31.0797,31.0797,30.6304,30.6304,1200
20190925,30.5,30.56,30.5,30.56,850
20190927,30.83,30.975,30.465,30.47,8345
20190930,30.8998,30.96,30.8998,30.96,909
20191001,31.05,31.05,30.8,30.8,600
20191002,30.45,30.45,29.52,29.57,1552
20191003,29.7559,29.89,29.7559,29.89,300
20191004,30.18,30.18,30.18,30.18,100
20191007,30.3929,30.3929,30.3929,30.3929,101
