Date,Open,High,Low,Close,Volume
20190501,25.025,25.16,24.82,24.85,1741480
20190502,25,25,24.67,24.818,63200
20190503,24.95,25.13,24.93,25.0965,23372
20190506,24.97,24.97,24.8,24.945,29496
20190507,24.9,24.9,24.4581,24.6188,62251
20190508,24.6,24.6,24.4653,24.5,38818
20190509,24.35,24.41,24.125,24.39,342601
20190510,24.38,24.61,24.145,24.61,18252
20190513,24.39,24.39,23.94,24.043,29192
20190514,24.29,24.2995,24.0961,24.21,266498
20190515,24.18,24.28,24.13,24.2,17754
20190516,24.3,24.46,24.255,24.343,9097
20190517,24.3,24.3621,24.1439,24.179,10626
20190520,24.02,24.1557,23.98,23.98,104388
20190521,24.15,24.32,24.15,24.26,7404
20190522,24.24,24.24,24.15,24.15,5441
20190523,24.13,24.13,23.75,23.8007,16399
20190524,23.98,23.98,23.85,23.87,7998
20190528,23.94,23.94,23.65,23.65,9179
20190529,23.6,23.6,23.4788,23.579,2304
20190530,23.64,23.65,23.43,23.43,5582
20190531,23.49,23.49,23.23,23.29,14909
20190603,23.31,23.6166,23.31,23.52,5539
20190604,23.83,23.91,23.76,23.9,10829
20190605,24.09,24.25,24.0001,24.22,10839
20190606,24.24,24.38,24.23,24.3672,5531
20190607,24.49,24.56,24.4747,24.5207,3815
20190610,24.53,24.59,24.46,24.46,9696
20190611,24.63,24.63,24.38,24.3832,3673
20190612,24.45,24.47,24.425,24.44,12658
20190613,24.51,24.51,24.4121,24.4267,3043
20190614,24.5,24.5,24.39,24.4779,4622
20190617,24.51,24.51,24.37,24.37,23326
20190618,24.5,24.6699,24.5,24.565,28104
20190619,24.7,24.729,24.5501,24.7,27286
20190620,24.93,24.97,24.712,24.95,14574
20190621,24.95,24.979,24.86,24.96,8306
20190624,24.96,24.96,24.81,24.825,27773
20190625,24.91,24.91,24.76,24.78,15344
20190626,24.85,24.85,24.62,24.63,8403
20190627,24.64,24.73,24.64,24.73,11099
20190628,24.875,24.95,24.86,24.89,11259
20190701,25.26,25.26,24.9561,25.1,159709
20190702,25.13,25.13,24.9799,25.0329,7129
20190703,25.19,25.27,25.1229,25.24,15336
20190705,25.25,25.25,25,25.1944,3663
20190708,25.19,25.2,25.0303,25.0549,5389
20190709,25.13,25.13,24.95,25,12759
20190710,25.1399,25.1399,25.0197,25.02,7217
20190711,25,25.03,24.8907,24.98,10950
20190712,25.05,25.2695,25.0465,25.24,87069
20190715,25.3,25.3,25.13,25.2083,11519
20190716,25.42,25.42,25.19,25.25,7777
20190717,25.42,25.42,24.96,24.98,7228
20190718,24.97,25.1,24.91,25.065,9865
20190719,25.14,25.149,25,25,13082
20190722,25.1,25.1,24.92,24.92,8948
20190723,25.04,25.17,25.0058,25.17,8095
20190724,25.18,25.362,25.18,25.362,3986
20190725,25.3294,25.3294,25.2334,25.2539,2756
20190726,25.26,25.4,25.26,25.3964,7212
20190729,25.49,25.49,25.3,25.3512,42300
20190730,25.38,25.38,25.25,25.355,89065
20190731,25.33,25.4,25,25.1902,12133
20190801,25.1963,25.33,24.8367,24.8852,10829
20190802,24.81,24.81,24.66,24.71,15782
20190805,24.59,24.59,23.94,24.13,13736
20190806,24.2,24.32,24,24.32,11959
20190807,24.15,24.39,23.93,24.39,15892
20190808,24.48,24.72,24.4694,24.668,6082
20190809,24.73,24.73,24.45,24.66,7897
20190812,24.38,24.45,24.19,24.19,5955
20190813,24.51,24.63,24.51,24.59,1000
20190814,24.37,24.37,23.8567,23.8779,24607
20190815,23.88,23.939,23.75,23.9,34621
20190816,24.02,24.3,24.02,24.242,3473
20190819,24.49,24.6,24.47,24.55,66405
20190820,24.54,24.54,24.335,24.36,12017
20190821,24.5,24.51,24.42,24.49,28319
20190822,24.549,24.549,24.3271,24.49,10353
20190823,24.42,24.42,23.76,23.76,24013
20190826,24.02,24.02,23.8799,23.912,17144
20190827,24.14,24.14,23.879,23.97,17857
20190828,23.845,24.05,23.84,24.05,10677
20190829,24.32,24.4,24.29,24.35,16126
20190830,24.52,24.57,24.472,24.4991,13577
20190903,24.42,24.42,24.2399,24.32,9374
20190904,25.44,25.44,24.5141,24.569,11975
20190905,24.78,24.981,24.78,24.94,3161
20190906,24.97,25.015,24.95,24.95,13646
20190909,25.02,25.14,25,25.14,10830
20190910,25.05,25.285,25.01,25.285,64960
20190911,25.34,25.4882,25.29,25.4882,5095
20190912,25.64,25.64,25.478,25.53,3486
20190913,25.6,25.65,25.5307,25.57,9779
20190916,25.56,25.56,25.48,25.5029,14712
20190917,25.51,25.52,25.4349,25.52,4177
20190918,25.5,25.529,25.37,25.45,10361
20190919,25.63,25.63,25.53,25.53,3265
20190920,25.56,25.59,25.4035,25.43,11335
20190923,25.41,25.52,25.41,25.4681,14853
20190924,25.5,25.5,25.2568,25.33,4179
20190925,25.29,25.51,25.29,25.51,3104
20190926,25.5,25.54,25.41,25.51,49426
20190927,25.53,25.585,25.36,25.46,4752
20190930,25.57,25.58,25.4501,25.535,10736
20191001,25.64,25.64,25.1525,25.2,7067
20191002,25.16,25.16,24.66,24.7354,39979
20191003,24.78,24.85,24.49,24.85,12772
20191004,24.92,25.07,24.8687,25.0487,9119
20191007,25.16,25.17,25.0199,25.06,8076
20191008,24.9,24.9,24.6411,24.67,5338
20191009,24.74,24.815,24.64,24.81,4247
20191010,24.92,24.985,24.9194,24.95,6403
20191011,25.31,25.5,25.31,25.37,11229
20191014,25.2279,25.26,25.22,25.22,5704
20191015,25.32,25.37,25.301,25.33,4227
20191016,25.43,25.43,25.2154,25.24,16257
20191017,25.35,25.39,25.3395,25.39,4352
20191018,25.3281,25.48,25.3281,25.47,11504
20191021,25.53,25.66,25.53,25.62,17554
20191022,25.655,25.87,25.655,25.7561,3157
20191023,25.77,25.8,25.7459,25.79,4877
20191024,25.84,25.87,25.754,25.87,7493
20191025,25.8,26.02,25.8,26,10028
20191028,26.04,26.14,25.99,25.99,13550
20191029,26.02,26.08,25.925,25.99,8589
20191030,25.97,25.98,25.8549,25.9311,22692
20191031,25.8416,25.92,25.6889,25.82,30101
20191101,25.98,26.23,25.98,26.23,12361
20191104,26.36,26.4,26.3398,26.356,11212
20191105,26.489,26.5331,26.34,26.415,11378
20191106,26.45,26.45,26.3,26.3796,13102
20191107,26.52,26.52,26.37,26.37,6070
20191108,26.38,26.49,26.31,26.49,27438
20191111,26.43,26.43,26.3343,26.37,16865
20191112,26.4,26.44,26.287,26.35,19615
20191113,26.2,26.36,26.2,26.3,13618
20191114,26.33,26.35,26.27,26.2709,16189
20191115,26.37,26.419,26.3564,26.37,6784
20191118,26.46,26.46,26.325,26.335,25480
20191119,26.43,26.43,26.2094,26.3,14818
20191120,26.31,26.31,26.11,26.18,16975
20191121,26.18,26.18,26.06,26.14,12916
20191122,26.1252,26.2,26.0816,26.18,18407
20191125,26.25,26.4,26.218,26.4,16392
20191126,26.43,26.43,26.3128,26.3591,8974
20191127,26.36,26.48,26.36,26.455,6295
20191129,26.39,26.415,26.32,26.3211,1100
20191202,26.35,26.35,26.0835,26.0835,13891
20191203,26,26,25.75,25.8601,101703
20191204,25.98,26.19,25.98,26.1097,11977
20191205,26.18,26.18,26.06,26.1314,15947
20191206,26.41,26.455,26.35,26.4,10334
20191209,26.33,26.36,26.25,26.3188,11431
20191210,26.3,26.33,26.2171,26.255,16227
20191211,26.35,26.41,26.2784,26.39,22307
20191212,26.45,26.7099,26.45,26.65,6915
20191213,26.79,26.79,26.55,26.62,25366
20191216,26.78,26.829,26.7729,26.8,7672
20191217,26.84,26.91,26.84,26.9043,8860
20191218,26.71,26.79,26.6676,26.789,7862
20191219,26.77,26.8,26.7166,26.7548,14704
20191220,26.89,26.95,26.8825,26.9121,15747
20191223,27.14,27.14,26.8437,26.8501,20263
20191224,26.97,26.97,26.8299,26.8299,4847
20191226,26.876,26.91,26.79,26.85,5743
20191227,26.98,26.98,26.85,26.86,17354
20191230,26.93,26.93,26.75,26.829,147149
20191231,26.87,26.8935,26.83,26.88,7341
20200102,27.03,27.03,26.7301,26.86,10390
20200103,26.9,26.9,26.6172,26.729,28682
20200106,26.75,26.75,26.53,26.6411,15209
20200107,26.65,26.65,26.52,26.5757,21177
20200108,26.65,26.73,26.5534,26.64,12859
20200109,26.65,26.73,26.6,26.71,9509
20200110,26.7676,26.79,26.64,26.649,16230
20200113,26.69,26.85,26.69,26.812,14950
20200114,26.81,26.9318,26.81,26.92,11489
20200115,27.05,27.05,26.91,26.91,25484
20200116,27.05,27.163,27.05,27.158,7494
20200117,27.27,27.29,27.1932,27.29,22511
20200121,27.34,27.34,27.06,27.06,24725
20200122,27.23,27.23,27.0363,27.07,12382
20200123,27.09,27.2894,26.95,27.2894,85336
20200124,27.21,27.2163,26.86,27.04,63535
20200127,26.8,26.8,26.5561,26.6,14126
20200128,26.6925,26.81,26.6049,26.7305,4775
20200129,26.88,26.91,26.69,26.72,19748
20200130,26.61,26.78,26.4626,26.78,15310
20200131,26.71,26.71,26.244,26.35,25284
20200203,26.48,26.56,26.447,26.467,8945
20200204,26.8,26.855,26.75,26.76,10966
20200205,26.97,27.17,26.97,27.16,10069
20200206,27.27,27.27,27.034,27.07,6288
20200207,27,27,26.743,26.8,23153
20200210,26.73,26.82,26.6656,26.82,13079
20200211,26.86,27.0895,26.86,27.0087,3411
20200212,27.1015,27.15,27.0676,27.132,10537
20200213,27.06,27.139,26.995,27.11,12019
20200214,27.17,27.17,26.9229,26.9995,10892
20200218,27.07,27.07,26.8394,26.98,14784
20200219,27.11,27.11,27.034,27.06,198435
20200220,27.07,27.14,26.9647,27.055,14367
20200221,27.06,27.06,26.83,26.93,54328
20200224,26.52,26.52,26.12,26.2017,26362
20200225,26.29,26.29,25.25,25.29,40007
20200226,25.32,25.58,25.05,25.12,16619
20200227,24.97,24.97,24.2,24.2,28783
20200228,23.41,23.558,22.976,23.3001,17691
20200302,23.68,24.3105,23.44,24.3105,23300
20200303,24.66,24.77,23.875,23.99,69264
20200304,24.33,24.93,24.2,24.92,17448
20200305,24.34,24.39,23.9126,24.14,21060
20200306,23.6,23.71,23.1469,23.465,11118
20200309,22.5,24.2,21.235,21.54,27901
20200310,22.29,22.675,21.57,22.38,154825
20200311,21.94,21.94,20.8501,21.1359,40909
20200312,19.92,20,18.9201,19.18,207591
20200313,20.44,20.57,19.0722,20.57,17104
20200316,19.96,20.5,18.24,18.505,69084
20200317,18.5,19.17,18.1313,19.15,33176
20200318,18.27,18.3,17,17.435,32702
20200319,17.79,18.14,16.99,17.53,54293
20200320,17.91,17.91,16.7662,16.8,44045
20200323,16.77,16.77,15.6983,15.84,35989
20200324,16.4,17.74,16.4,17.74,45254
20200325,17.89,18.97,17.378,18.27,24011
20200326,18.58,19.42,18.4979,19.1999,82925
20200327,19.21,19.44,18.71,18.9109,52974
20200330,19.07,19.46,18.8725,19.46,22721
20200331,19.3,19.45,18.955,19.02,33879
20200401,18.37,18.4,17.89,18.11,30670
20200402,18,18.72,18,18.17,5391
20200403,18.27,18.42,17.8,17.91,7921
20200406,18.66,19.4,18.66,19.4,50115
20200407,20.05,20.25,19.51,19.53,37526
20200408,19.72,20.435,19.5993,20.42,19831
20200409,20.78,21.34,20.62,20.9804,13201
20200413,21,21,20.21,20.3384,207369
20200414,20.77,20.89,20.58,20.73,12777
20200415,20.4,20.4,19.74,19.95,32474
20200416,20.03,20.03,19.525,19.81,14017
20200417,20.35,20.645,20.35,20.645,10341
20200420,20.32,20.38,19.93,20.05,20493
20200421,19.59,19.76,19.48,19.57,4535
20200422,19.93,19.96,19.71,19.96,6560
20200423,20.055,20.25,19.9696,20.006,10891
20200424,19.995,20.34,19.8583,20.34,11225
20200427,20.28,20.8467,20.28,20.81,36015
20200428,21.15,21.4,20.95,21.14,14461
20200429,21.66,21.84,21.445,21.7534,12394
20200430,21.59,21.59,20.95,21.04,6063
20200501,20.75,20.75,20.1992,20.3,13633
20200504,20.19,20.31,20,20.31,11044
20200505,20.76,20.76,20.4193,20.4193,4137
20200506,20.5,20.5,20.14,20.14,17301
20200507,20.29,20.5995,20.281,20.281,4673
20200508,20.8,20.94,20.66,20.94,6567
20200511,20.96,20.96,20.45,20.7,9513
20200512,20.74,20.74,20.2992,20.2992,9067
20200513,20,20,19.3602,19.3602,9977
20200514,19.18,19.68,18.9,19.67,7059
20200515,19.74,19.75,19.55,19.68,8197
20200518,20.22,21.025,20.22,20.99,13094
20200519,20.64,20.89,20.64,20.76,4361
20200520,20.975,21,20.89,20.89,2134
20200521,21.05,21.07,20.78,20.78,117045
20200522,20.6748,20.785,20.6075,20.785,4511
20200526,21.4,21.71,21.4,21.49,17248
20200527,21.89,22.09,21.6933,22.06,9640
20200528,22.36,22.36,21.51,21.9,138622
20200529,21.9,21.94,21.66,21.895,77449
20200601,21.95,22.18,21.9,22.12,8708
20200602,22.29,22.431,22.215,22.3361,17540
20200603,22.65,23.14,22.65,23.14,14277
20200604,23.14,23.14,22.85,23.005,34519
20200605,23.92,24.1407,23.864,23.8806,59742
20200608,24.13,24.45,24.13,24.45,12728
20200609,24.25,24.25,23.73,23.865,26005
20200610,23.9,23.9,23.33,23.36,8510
20200611,22.44,22.44,21.55,21.66,25310
20200612,22.34,22.36,21.66,21.78,14227
20200615,21.63,22.21,21.4366,22.12,58131
20200616,22.89,22.929,22.3,22.59,84936
20200617,22.75,22.75,22.36,22.38,8840
20200618,22.335,22.46,22.26,22.34,7225
20200619,22.6333,22.6333,22.1796,22.21,4648
20200622,22.035,22.135,21.9935,22.045,5117
20200623,22.3,22.3,22,22,10201
20200624,21.57,21.61,21.28,21.32,7579
20200625,21.35,21.455,21.13,21.455,10487
20200626,21.42,21.44,21.03,21.09,8481
20200629,21.29,21.59,21.23,21.55,7361
20200630,21.6,21.9101,21.5806,21.89,9881
20200701,22,22.02,21.7,21.84,22407
20200702,22.11,22.11,21.92,21.92,82162
20200706,22.315,22.315,22.015,22.0854,11208
20200707,21.95,21.9697,21.74,21.74,12462
20200708,21.73,21.8,21.59,21.72,7816
20200709,21.81,21.81,21.105,21.25,23062
20200710,21.29,21.73,21.29,21.73,10387
20200713,21.755,22.07,21.755,21.76,7944
20200714,21.93,22.09,21.9108,22.09,2309
20200715,22.59,22.59,22.34,22.49,21351
20200716,22.3301,22.69,22.3301,22.69,6671
20200717,22.81,22.81,22.675,22.75,4012
20200720,22.65,22.65,22.425,22.485,5356
20200721,22.68,23.305,22.68,22.78,6986
20200722,22.75,23.04,22.75,23.04,13140
20200723,22.93,23.22,22.93,23.11,9014
20200724,23.19,23.19,22.866,22.95,8788
20200727,23.05,23.05,22.87,22.95,5555
20200728,22.93,22.96,22.8,22.85,11645
20200729,22.8805,23.155,22.8805,23.155,4672
20200730,23.11,23.11,22.675,22.82,7662
20200731,22.88,22.88,22.5112,22.8,14991
20200803,22.8,22.91,22.8,22.88,8881
20200804,22.9,22.9,22.4,22.84,58821
20200805,23.1,23.1425,22.96,23.01,26143
20200806,22.95,23.045,22.92,22.98,12038
20200807,22.98,23.4099,22.93,23.3881,16977
20200810,23.48,23.79,23.48,23.7745,5123
20200811,24,24.12,23.77,23.7749,7895
20200812,23.85,23.8899,23.7275,23.799,10334
20200813,23.84,23.84,23.55,23.59,9043
20200814,23.51,23.705,23.4951,23.58,4207
20200817,23.64,23.64,23.515,23.5218,11945
