Date,Open,High,Low,Close,Volume
20210104,25.59,25.59,24.8822,25.1961,167636
20210105,25.22,25.42,25.18,25.3083,5799
20210106,25.5921,25.73,25.5288,25.5288,4684
20210107,25.81,25.84,25.7401,25.8263,12783
20210108,25.88,25.96,25.73,25.8998,12695
20210111,25.84,25.86,25.7052,25.7052,17785
20210112,25.815,25.82,25.6719,25.82,527535
20210113,25.86,25.95,25.83,25.8643,17312
20210114,25.875,25.9399,25.7739,25.8303,10329
20210115,25.83,25.83,25.5144,25.6061,3608
20210119,25.93,25.93,25.8,25.88,16551
20210120,26.0103,26.17,26.0103,26.13,21694
20210121,26.23,26.23,26.0101,26.13,9521
20210122,26.02,26.07,25.95,26.07,3300
20210125,25.97,26.19,25.84,26.07,12674
20210126,26.22,26.6,25.95,26.106,15342
20210127,25.8,25.82,25.34,25.34,60669
20210128,25.5,25.91,25.5,25.64,46924
20210129,25.6,25.6,25.17,25.32,13228
20210201,25.3999,25.67,25.3999,25.66,15272
20210202,25.89,26,25.87,25.95,5366
20210203,25.8684,26.0244,25.8684,26.006,6400
20210204,26.05,26.15,26.05,26.12,2800
20210205,26.34,26.34,26.15,26.17,3622
20210209,26.27,26.39,26.26,26.32,18936
20210210,26.35,26.35,26.21,26.335,3200
20210211,26.355,26.355,26.29,26.3,793
20210212,26.36,26.415,26.36,26.415,1300
20210216,26.4241,26.49,26.4241,26.46,2830
20210217,26.3,26.32,26.23,26.26,6274
20210218,26.2,26.31,26.19,26.31,8235
20210219,26.38,26.4,26.21,26.32,2034
20210222,26.2999,26.3,26.18,26.2,8244
20210223,26.05,26.24,25.8,26.15,2601
20210224,26.37,26.37,26.37,26.37,200
20210225,26.17,26.2,25.86,25.88,6473
20210226,25.87,26.08,25.74,25.867,5769
20210301,26.21,26.43,26.2,26.43,850
20210302,26.295,26.295,26.25,26.25,235
20210303,26.0083,26.03,25.95,25.95,965
20210304,25.6,25.6,25.5,25.5,2287
20210305,25.42,26.03,25.29,26.03,5782
20210308,26.19,26.2,25.96,26,875
20210309,26.3228,26.34,26.31,26.31,2532
20210310,26.31,26.4,26.31,26.39,3060
20210315,26.55,26.6418,26.5,26.6418,1700
20210316,26.69,26.69,26.63,26.63,3318
20210317,26.58,26.69,26.57,26.69,5472
20210318,26.7089,26.7089,26.7089,26.7089,375
20210319,26.43,26.48,26.43,26.4601,1070
20210322,26.47,26.77,26.47,26.77,2563
20210323,26.66,26.75,26.58,26.58,3982
20210324,26.57,26.6,26.4841,26.5,2908
20210325,26.341,26.341,26.33,26.33,800
20210326,26.55,26.675,26.55,26.675,1296
20210330,26.65,26.8999,26.65,26.82,3404
20210331,26.95,26.99,26.92,26.99,15496
20210401,27.08,27.13,27.08,27.12,3458
20210405,27.2242,27.39,27.2242,27.39,3062
20210406,27.32,27.398,27.2736,27.38,1920
20210407,27.4,27.4,27.4,27.4,100
20210408,27.42,27.42,27.329,27.3809,1908
20210409,27.4041,27.42,27.4041,27.419,608
20210412,27.47,27.52,27.419,27.419,1408
20210414,27.5561,27.59,27.5262,27.5262,3341
20210415,27.67,27.71,27.635,27.71,2860
20210416,27.69,27.7,27.645,27.6999,5324
20210419,27.559,27.5985,27.559,27.5662,1060
20210420,27.45,27.45,27.389,27.42,3964
20210421,27.52,27.6259,27.52,27.54,1730
20210422,27.69,27.69,27.42,27.4441,1529
20210423,27.56,27.68,27.54,27.68,2551
20210427,27.79,27.79,27.71,27.71,1613
