Date,Open,High,Low,Close,Volume
20090602,45.74,45.75,45.48,45.48,318279
20090603,45.5,45.55,45.49,45.55,66423
20090604,45.51,45.53,45.47,45.49,100748
20090605,45.32,45.33,45.19,45.21,144581
20090608,45.2,45.2,45.12,45.12,57335
20090609,45.22,45.22,45.16,45.2,57272
20090610,45.2,45.22,45.14,45.17,38002
20090611,45.16,45.21,45.14,45.19,9598
20090612,45.2,45.25,45.18,45.24,17612
20090615,45.29,45.29,45.25,45.28,3984
20090616,45.27,45.31,45.26,45.3,7644
20090617,45.33,45.36,45.33,45.35,32664
20090618,45.27,45.29,45.25,45.27,8711
20090619,45.25,45.3,45.25,45.3,4050
20090622,45.34,45.35,45.32,45.35,82322
20090623,45.35,45.38,45.33,45.36,10795
20090624,45.37,45.4,45.33,45.35,24066
20090625,45.37,45.44,45.37,45.41,54991
20090626,45.45,45.46,45.44,45.46,35280
20090629,45.46,45.47,45.43,45.45,54992
20090630,45.41,45.45,45.39,45.45,52799
20090701,45.44,45.5,45.44,45.49,47331
20090702,45.54,45.54,45.51,45.53,9111
20090706,45.56,45.57,45.54,45.57,13575
20090707,45.57,45.57,45.54,45.56,6046
20090708,45.57,45.62,45.55,45.62,4324
20090709,45.6,45.6,45.58,45.6,7913
20090710,45.6,45.63,45.6,45.62,10359
20090713,45.64,45.64,45.6,45.6,16697
20090714,45.56,45.6,45.56,45.57,3615
20090715,45.54,45.54,45.46,45.48,71517
20090716,45.53,45.54,45.5,45.53,3681
20090717,45.5,45.52,45.49,45.49,5032
20090720,45.49,45.54,45.49,45.54,69301
20090721,45.53,45.59,45.53,45.59,5825
20090722,45.61,45.61,45.57,45.57,2158
20090723,45.56,45.56,45.48,45.49,15131
20090724,45.5,45.52,45.49,45.52,2188
20090727,45.45,45.5,45.45,45.49,6285
20090728,45.49,45.51,45.44,45.45,10312
20090729,45.45,45.45,45.39,45.43,7190
20090730,45.42,45.43,45.39,45.43,14647
20090731,45.47,45.52,45.47,45.52,7973
20090803,45.48,45.48,45.41,45.44,9718
20090804,45.46,45.46,45.39,45.4,5872
20090805,45.37,45.47,45.37,45.4,6742
20090806,45.4,45.42,45.39,45.42,24604
