Date,Open,High,Low,Close,Volume
20100225,39.83,39.93,39.8,39.93,12700
20100226,39.93,39.93,39.85,39.87,12850
20100301,39.86,39.86,39.86,39.86,190
20100302,39.85,39.85,39.85,39.85,100
20100304,39.9126,39.9674,39.91,39.9674,6200
20100305,40.12,40.12,40.02,40.02,7960
20100308,40.04,40.04,40.04,40.04,500
20100309,39.96,39.96,39.96,39.96,4000
20100311,40.12,40.16,40.12,40.16,450
20100312,40.21,40.32,40.19,40.19,6070
20100315,40.18,40.18,40.15,40.15,500
20100317,40.05,40.06,40.05,40.05,4200
20100318,40.12,40.17,40.12,40.15,1650
20100319,40.17,40.23,40.17,40.23,400
20100322,40.19,40.19,40.16,40.17,2100
20100324,40.28,40.35,40.28,40.35,300
20100325,40.38,40.38,40.33,40.33,12320
20100326,40.37,40.37,40.22,40.25,11180
20100329,40.25,40.27,40.2,40.26,31770
20100330,40.28,40.28,40.26,40.28,8000
20100331,40.22,40.23,40.16,40.162,11350
20100401,40.22,40.25,40.22,40.25,1100
20100405,40.53,40.54,40.44,40.53,2870
20100406,40.5,40.5,40.44,40.45,2120
20100407,40.39,40.42,40.21,40.24,66100
20100408,40.13,40.23,40.13,40.23,1800
20100409,40.3,40.3,40.22,40.25,47040
20100412,40.2,40.2,40.2,40.2,800
20100413,40.08,40.17,40.08,40.16,2170
20100414,40.16,40.17,40.16,40.17,2640
20100416,39.95,39.95,39.92,39.92,620
20100419,39.95,39.97,39.95,39.97,6780
20100420,40.06,40.06,40.06,40.06,500
20100421,40.12,40.12,40.03,40.03,1410
20100422,39.97,40.07,33.59,40.07,4900
20100423,40.16,40.16,40.16,40.16,120
20100426,40.07,40.14,40.07,40.14,450
20100427,40.06,40.06,39.87,39.87,2950
20100428,39.99,40.02,39.94,39.98,2120
20100429,39.96,39.97,39.9,39.9,1810
20100430,39.87,39.94,39.79,39.79,4100
20100503,39.95,39.95,39.78,39.9,5650
20100504,39.78,39.78,39.73,39.7372,2200
20100505,39.62,39.62,39.449,39.54,7190
20100506,39.61,39.61,37.2946,39.2,5830
20100510,39.5,39.52,39.5,39.52,3950
20100511,39.48,39.48,39.48,39.48,1000
20100512,39.52,39.52,39.49,39.49,1600
20100513,39.52,39.52,39.5,39.5,780
20100514,39.28,39.28,39.279,39.279,2000
20100517,39.33,39.331,39.2911,39.3,1400
20100518,39.33,39.33,39.33,39.33,100
20100519,39.31,39.31,39.19,39.19,420
20100520,39.18,39.19,39.14,39.19,850
20100521,39.13,39.17,39.13,39.17,480
20100525,39.26,39.26,39.26,39.26,240
20100526,39.34,39.39,39.34,39.39,280
20100527,39.4,39.4,39.4,39.4,1000
20100528,39.29,39.31,39.18,39.18,400
20100601,39.21,39.21,39.21,39.21,150
20100602,39.18,39.25,39.18,39.25,220
20100603,39.28,39.33,39.28,39.33,880
20100604,39.13,39.13,39.13,39.13,3500
20100608,39.12,39.13,39.12,39.13,6800
