Date,Open,High,Low,Close,Volume
20081230,350.55,353.3,332.7,333.1,3150
20081231,333.2,333.2,314,323,1310
20090102,316.9,316.9,280.05,283.45,1150
20090105,289.15,291.6,272.3,280.3,2000
20090106,271.9,272,248.8,256.6,2980
20090107,271.8,288.5,269.7,285.05,6120
20090108,287.3,294.3,275.9,278.3,7850
20090109,278.8,297.95,278.8,295.35,7720
20090112,291.5,317.8,291.5,315.5,4820
20090113,313.95,324.05,301.1,311.6,4180
20090114,325.8,350.4,325,344.9,4230
20090115,347.95,369.8,332.8,337.2,8500
20090116,317.7,350.3,314.35,325.25,3910
20090120,332.01,376.44,331.96,376.39,3820
20090121,353.5,362.85,315.5,315.5,5340
20090122,342.5,352.45,321.25,334.8,6500
20090123,349.09,353.45,303.82,318.76,7170
20090126,316.1,317.5,296.45,308.75,5200
20090127,300.15,307,290.5,295.8,2120
20090128,280.55,282.3,260.5,266.55,8850
20090129,278.15,292.45,278.15,291.05,4980
20090130,289.3,318.05,286.85,315.9,5010
20090202,330.9,330.9,300.05,304.8,9590
20090203,305,318.8,286.05,289.4,6690
20090204,289,289,263.05,283.15,12590
20090205,317,317,259.2,266.7,14510
20090206,262.7,264.9,233.84,238.6,6450
20090209,239.25,243.7,232.6,235.85,3750
20090210,241.35,268.95,233.4,264.9,7590
20090211,263.85,273.65,256.25,263.9,7730
20090212,272.8,280.95,258.45,258.45,7980
20090213,254.6,259.95,248.35,257,2460
20090217,280,293.5,278.8,291.5,6350
20090218,287.15,299.7,278,290.3,4560
20090219,290.05,319.5,288.15,317.15,7470
20090220,335.05,335.05,307.75,317.4,6610
20090223,310.25,361.25,310.25,357.4,9080
20090224,352.1,355.3,316.05,324.45,20410
20090225,327.65,347.35,304.8,322.55,9160
20090226,313,333.26,298.95,332.05,24860
20090227,335.75,344.97,318.51,332.85,17770
20090302,347,369.5,331.35,365.1,7480
20090303,353.65,374.95,343.75,364.25,18330
20090304,350.56,351.76,320.76,337.34,16970
20090305,349.15,371.25,337.8,367.55,18540
20090306,363.55,403.2,353.75,378.8,11400
20090309,389.1,411,360.65,407.15,8830
20090310,382,390.35,320.6,324.05,11970
20090311,310.5,319.4,288.2,296.5,10070
20090312,294.9,305,271.15,272.9,4920
20090313,272.4,285.1,269.7,275.1,9390
20090316,269.45,288.5,266.1,287.6,20140
20090317,281.15,285.9,255.65,255.65,18560
20090318,259.85,261.55,232.5,242.95,19060
20090319,232,243.7,232,239.25,11930
20090320,237.45,255.4,228.65,251.05,11330
20090323,232.5,239,204.5,204.65,10660
20090324,210.25,214.3,203.95,212.4,9140
20090325,208.45,226,198.3,211.5,11870
20090326,203.85,203.85,187.5,187.5,22260
20090327,195.4,202.55,195.1,200.5,21760
20090330,214.5,227.2,213.45,218.6,30720
20090331,210.4,212.31,193.75,207.35,20070
20090401,216.6,216.9,189.55,192.05,13790
20090402,180.6,181.7,162.2,173.75,27980
20090403,165.55,175.5,165.05,166.4,17310
20090406,174.3,180.75,170.55,171.8,19710
20090407,179.5,187.5,177.2,184.4,25710
20090408,179.45,182.4,170.75,175,18170
20090409,164.4,167.45,157.2,159.3,27610
20090413,163.5,166.5,157.7,160.75,17760
