Date,Open,High,Low,Close,Volume
20081111,21.16,21.48,21.03,21.3,321750
20081113,20.46,20.46,20.46,20.46,159
20081114,21.16,21.16,21.16,21.16,170
20081117,20.86,20.89,20.86,20.89,1945
20081118,20.63,20.63,20.63,20.63,482
20081119,20.1,20.14,20.1,20.14,856
20081121,19.38,19.38,19.38,19.38,485
20081201,20.37,20.37,20.35,20.35,516
20081202,20.37,20.42,20.24,20.24,2873
20081204,20.79,20.83,20.79,20.83,454
20081208,21.32,21.32,21.29,21.3,2036
20081210,21.54,21.54,21.52,21.52,2041
20081211,21.46,21.55,21.46,21.55,1552
20081212,20.98,20.98,20.98,20.98,1204
20081217,21.92,22.08,21.78,21.86,6872
20081219,22.53,22.53,22.53,22.53,204
20081222,22.4,22.4,21.48,21.48,680
20081229,21.42,21.42,21.33,21.34,2051
20081230,21.68,21.8,21.68,21.8,2001
20081231,22.04,22.14,22.04,22.14,36599
20090105,22.51,22.51,22.35,22.4,2020
20090107,21.98,21.98,21.98,21.98,778
20090108,21.99,22.02,21.99,22.02,1051
20090112,22.45,22.45,21.6,21.6,1815
20090113,22.15,22.15,21.43,21.43,11250
20090114,20.9,20.9,20.87,20.87,1969
20090115,20.9,21.02,20.55,21.02,1493
20090120,20.54,20.54,20.54,20.54,112
20090127,20.79,20.79,20.79,20.79,432
20090128,21.32,21.32,21.32,21.32,484
20090202,20.52,20.6,20.41,20.6,731
20090204,20.81,20.85,20.48,20.53,259424
20090205,20.62,20.79,20.62,20.79,268
20090209,21.25,21.25,21.25,21.25,112
20090210,21.24,21.24,20.45,20.45,2862
20090217,20,20,20,20,1000
20090218,19.902,19.95,19.902,19.95,290
20090220,19.451,19.65,19.451,19.65,226
20090223,19.18,19.18,19.18,19.18,36503
20090224,19.21,19.21,19.21,19.21,1800
20090225,19.58,19.58,19.58,19.58,1372
20090302,18.726,18.739,18.57,18.57,350
20090303,18.518,18.552,18.34,18.34,8379
20090306,18.084,18.29,18.084,18.29,226
20090309,18.29,18.29,18.29,18.29,113
20090310,18.611,18.673,18.531,18.542,1931
20090313,19.428,19.428,19.41,19.41,224
20090317,19.57,19.57,19.57,19.57,264
20090318,19.71,19.721,19.71,19.71,9059
20090323,20.25,20.35,20.25,20.35,2244
20090330,19.92,19.92,19.92,19.92,1346
20090401,19.912,20.33,19.912,20.33,1091
20090407,20.7,20.7,20.7,20.7,115
20090409,21.05,21.12,21.05,21.12,4629
20090413,21.26,21.26,21.14,21.14,830
20090414,21.13,21.26,21.1,21.1,944
20090416,21.24,21.33,21.21,21.33,1349
20090417,21.58,21.58,21.58,21.58,157
20090420,20.91,20.91,20.91,20.91,191
20090424,21.63,21.63,21.63,21.63,962
20090427,21.49,21.49,21.49,21.49,112
20090428,21.46,21.46,21.42,21.42,11426
20090429,21.77,21.77,21.77,21.77,135
20090506,22.41,22.42,22.38,22.38,1646
20090507,22.38,22.38,22.2,22.2,786
20090508,22.58,22.58,22.46,22.46,1126
20090511,22.57,22.57,22.45,22.45,1688
20090513,22.11,22.11,22.01,22.01,1124
20090514,22.07,22.13,22.07,22.13,224
20090515,22.22,22.26,22.14,22.26,562
20090518,22.31,22.31,22.22,22.22,900
20090519,22.57,22.57,22.57,22.57,675
20090520,22.77,22.77,22.77,22.77,357
20090526,22.57,22.57,22.57,22.57,112
20090528,23.16,23.16,22.32,22.32,728
20090603,22.88,22.88,22.88,22.88,124
20090604,23.11,23.11,23.11,23.11,118
20090605,23.23,23.23,23.23,23.23,112
20090608,22.86,22.86,22.86,22.86,225
20090610,23.25,23.25,23.25,23.25,900
20090611,23.25,23.25,23.25,23.25,478
20090612,23.09,23.09,23.02,23.02,4669
20090616,22.78,22.85,22.77,22.85,5624
20090617,22.34,22.41,22.3,22.38,11476
20090618,22.64,22.64,22.62,22.62,1746
20090622,22.45,22.45,22.21,22.21,1461
20090625,22.57,22.57,22.57,22.57,450
20090629,22.77,22.9,22.77,22.87,901
20090702,22.5,22.5,22.43,22.43,4083
20090706,22.18,22.42,22.18,22.42,3880
20090707,22.42,22.42,22.3,22.3,899
20090708,22.05,22.05,22.04,22.04,1350
20090713,21.96,21.97,21.96,21.97,787
20090714,22.57,22.57,22.41,22.41,562
20090716,23.1,23.1,23.1,23.1,117
20090720,23.35,23.35,23.35,23.35,1688
20090721,23.47,23.47,23.4,23.4,6662
20090722,23.61,23.61,23.61,23.61,900
20090724,23.88,23.88,23.88,23.88,1434
20090727,23.94,23.94,23.94,23.94,112
20090728,23.87,23.87,23.87,23.87,4499
20090731,24.24,24.28,24.24,24.28,1133
20090803,24.53,24.54,24.48,24.54,1102
20090804,24.46,24.46,24.46,24.46,180
20090805,24.31,24.31,24.31,24.31,474
20090806,24.52,24.52,24.52,24.52,112
20090807,25.15,25.15,24.58,24.69,8978
20090810,24.54,24.54,24.54,24.54,181
20090812,24.68,24.68,24.68,24.68,112
20090814,24.55,24.55,24.52,24.52,5777
20090818,24.23,24.24,24.23,24.24,449
20090820,24.7,24.7,24.7,24.7,124
20090821,25.02,25.02,25.02,25.02,403
20090824,25.09,25.09,25.06,25.06,4747
20090825,25.24,25.25,25.14,25.14,779
20090826,25.03,25.11,25.03,25.11,518
20090827,24.93,24.93,24.93,24.93,112
20090828,25.1,25.17,25.1,25.17,613
20090831,24.9,24.94,24.9,24.94,725
20090901,25.03,25.03,24.57,24.57,3472
20090902,24.57,24.57,24.57,24.57,200
20090903,24.58,24.58,24.57,24.57,224
20090908,25.05,25.16,25.05,25.16,1348
20090909,25.29,25.34,25.29,25.34,776
20090910,25.24,25.44,25.24,25.44,284
20090914,25.46,25.46,25.46,25.46,112
20090915,25.7,25.7,25.7,25.7,116
20090916,25.84,26.12,25.84,26.12,583
20090917,26.2,26.2,26.2,26.2,2250
20090918,26.21,26.21,26.21,26.21,562
20090923,26.34,26.34,26.34,26.34,112
20090924,25.92,25.92,25.73,25.73,1084
20091001,25.53,25.53,25.36,25.45,1092
20091002,25.04,25.21,25.04,25.21,1911
20091007,25.86,25.88,25.83,25.83,2428
20091012,26.35,26.35,26.24,26.24,462
20091013,26.21,26.21,26.03,26.05,1317
20091015,26.54,26.63,26.54,26.63,1249
20091016,26.44,26.45,26.36,26.45,4545
20091022,26.05,26.25,25.47,26.21,2966
20091023,26.41,26.41,26.41,26.41,112
20091026,26.54,26.54,26.54,26.54,112
20091027,25.89,25.94,25.89,25.94,582
20091028,25.69,25.69,25.51,25.51,805
20091029,25.67,25.67,25.67,25.67,310
20091104,25.72,25.81,25.6,25.6,3002
20091106,25.97,25.97,25.97,25.97,112
20091109,26.39,26.39,26.37,26.37,225
20091111,26.68,26.68,26.45,26.45,939
20091113,26.56,26.56,26.34,26.34,4950
20091116,26.68,26.95,26.68,26.95,338
20091118,26.77,26.78,26.77,26.78,4049
20091119,26.44,26.44,26.44,26.44,484
20091120,26.36,26.37,26.28,26.37,1266
20091123,26.64,26.83,26.64,26.71,690
20091124,26.6,26.61,26.6,26.61,225
20091125,26.74,26.74,26.74,26.74,933
20091127,26.15,26.15,26.15,26.15,141
20091130,26.38,26.38,26.38,26.38,143
20091201,26.78,26.78,26.78,26.78,112
20091204,26.73,26.75,26.73,26.75,559
20091207,26.7,26.8,26.7,26.8,22725
20091208,26.48,26.64,26.48,26.56,6493
20091209,26.43,26.43,26.43,26.43,405
20091210,26.58,26.58,26.54,26.54,226
20091211,26.61,26.61,26.61,26.61,6442
20091214,26.77,26.89,26.77,26.89,485
20091215,26.76,26.76,26.76,26.76,112
20091216,26.71,26.71,26.71,26.71,225
20091217,26.7,26.7,26.64,26.64,802
20091218,26.6,26.6,26.57,26.57,3988
20091222,26.89,26.9,26.89,26.9,529
20091223,27.06,27.06,27.06,27.06,112
20091224,27.22,27.22,26.66,27.02,6523
20091228,27.14,27.15,27.14,27.15,738
20091229,27.17,27.17,27.17,27.17,1104
20091230,27.13,27.14,27.13,27.14,718
20091231,27.1,27.1,27.08,27.08,449
20100104,27.34,27.34,27.33,27.33,1611
20100105,27.35,27.35,27.33,27.35,737
20100106,27.4,27.4,27.4,27.4,258
20100107,27.29,27.49,27.29,27.49,4566
20100108,27.46,27.49,27.43,27.49,13377
20100111,27.71,27.71,27.57,27.57,7755
20100112,27.48,27.48,27.37,27.39,9747
20100113,27.45,27.61,27.45,27.61,988
20100114,27.6,27.6,27.6,27.6,276
20100115,27.41,27.41,27.41,27.41,210
20100119,27.42,27.66,27.42,27.66,259
20100120,27.5,27.5,27.3,27.3,469
20100121,27.05,27.06,26.99,26.99,1162
20100122,26.81,26.81,26.81,26.81,552
20100125,26.78,26.78,26.62,26.73,1019
20100126,26.47,26.65,26.47,26.65,1756
20100127,26.65,26.65,26.65,26.65,729
20100128,26.33,26.47,26.29,26.47,1032
20100129,26.22,26.22,26.22,26.22,221
20100201,26.22,26.37,26.22,26.37,1296
20100202,26.6,26.67,26.54,26.67,1034
20100203,26.68,26.69,26.68,26.69,486
20100204,26.06,26.06,25.99,25.99,549
20100205,25.9,25.9,25.88,25.88,220
20100208,25.85,25.85,25.71,25.71,911
20100211,26.12,26.12,26.12,26.12,3092
20100212,26,26,26,26,193
20100216,26.34,26.34,26.27,26.27,757
20100217,26.64,26.66,26.61,26.62,1384
20100218,26.63,26.77,26.63,26.77,977
20100219,26.58,26.58,26.58,26.58,193
20100223,26.58,26.58,26.58,26.58,118
20100224,26.68,26.68,26.68,26.68,442
20100225,26.43,26.69,26.43,26.69,1623
20100226,26.72,26.72,26.72,26.72,414
20100301,26.79,26.79,26.79,26.79,552
20100302,27.11,27.11,27.11,27.11,158
20100303,27.04,27.04,27.04,27.04,613
20100305,27.4,27.4,27.39,27.39,653
20100308,27.52,27.52,27.52,27.52,110
20100309,27.43,27.61,27.35,27.6,4491
20100310,27.65,27.67,27.65,27.65,2478
20100311,27.55,27.69,27.55,27.69,662
20100312,27.77,27.77,27.72,27.72,982
20100315,27.59,27.73,27.59,27.73,3069
20100316,27.84,27.84,27.79,27.84,1634
20100317,28.08,28.08,28.08,28.08,14368
20100318,28.02,28.02,28.02,28.02,6994
