Date,Open,High,Low,Close,Volume
20150611,50.2,50.37,50.2,50.37,1700
20150612,50.02,50.13,50.02,50.06,7000
20150615,50.13,50.13,50.13,50.13,500
20150617,49.9,49.9,49.8595,49.86,878
20150619,50.2754,50.28,50.2754,50.28,1076
20150622,49.9,49.9,49.9,49.9,550
20150623,50.05,50.05,50.02,50.02,6950
20150624,50.08,50.08,49.94,49.95,12400
20150626,49.91,50.05,49.8225,49.8225,900
20150629,50,50.1,49.9541,49.9541,5178
20150630,50.04,50.1,50.04,50.1,7400
20150702,50.15,50.15,50.15,50.15,100
20150706,50.21,50.21,50.1599,50.1599,2255
20150708,50.32,50.32,50.32,50.32,100
20150715,50.4099,50.4099,50.4099,50.4099,140
20150722,50.34,50.345,50.34,50.345,807
20150804,49.85,49.8501,49.82,49.8201,800
20150806,49.8,49.8,49.77,49.8,1000
20150824,49.36,49.36,49.33,49.36,829
20150827,49.318,49.318,49.1774,49.1774,403
20150901,49.4,49.4,49.4,49.4,151
20150903,49.2293,49.4,49.2293,49.25,11680
20150914,49.52,49.52,49.52,49.52,495
20150918,48.95,48.96,48.95,48.96,10201
20150921,48.74,48.75,48.7,48.72,25100
20150922,48.52,48.52,48.52,48.52,200
20150923,48.5771,48.5771,48.5771,48.5771,128
20150930,47.82,47.82,47.82,47.82,100
20151002,48.07,48.08,48.07,48.08,1488
20151021,48.68,48.7359,48.68,48.68,1021
20151027,48.97,48.97,48.97,48.97,603
20151103,48.9399,48.9399,48.9399,48.9399,173
20151104,48.99,48.99,48.98,48.98,500
20151105,48.7723,48.7723,48.7723,48.7723,100
20151124,47.94,47.94,47.9,47.9,5300
20151125,47.8532,47.8532,47.8532,47.8532,156
20151203,48.21,48.21,48.21,48.21,141
20151204,48,48,48,48,127
20151211,47.3201,47.3201,47.3201,47.3201,100
20151217,47.02,47.07,47.02,47.07,776
20151218,46.96,46.96,46.94,46.95,2071
20151222,47.01,47.01,47.01,47.01,213
20160106,47.231,47.231,46.9101,46.9101,3000
20160108,47.2,47.2,47.2,47.2,4000
20160122,46.2,46.24,46.2,46.23,3700
20160127,46.0163,46.0163,46.0163,46.0163,140
20160128,46.07,46.07,46.0233,46.062,4967
20160208,45.7767,45.7767,45.7767,45.7767,150
20160224,45.89,45.89,45.89,45.89,2000
20160225,46.02,46.03,46.02,46.03,2203
20160226,45.88,45.88,45.88,45.88,555
20160302,46.46,46.46,46.46,46.46,100
20160310,46.9983,46.9983,46.9983,46.9983,215
20160318,47.74,47.74,47.74,47.74,215
20160330,47.42,47.42,47.42,47.42,560
20160405,47.5679,47.5679,47.5679,47.5679,200
20160411,47.38,47.38,47.25,47.27,4340
20160421,48.1686,48.22,48.1,48.1,2500
20160425,48.11,48.11,48.11,48.11,100
20160503,48.32,48.34,48.26,48.26,1500
20160504,48.03,48.03,48.03,48.03,101
20160510,47.8,48.23,47.78,48.23,1337
20160518,47.78,48.06,47.5,47.5,4299
20160524,47.7,47.7,47.5499,47.6,900
20160525,47.8,48.09,47.6899,48.09,1400
20160531,47.96,47.96,47.46,47.82,650
20160601,47.8,48.22,47.8,48.18,1900
20160602,47.94,48.03,47.94,48.03,300
20160603,47.98,48.0699,47.98,48.03,300
20160609,48.13,48.52,48.13,48.52,700
20160614,47.83,47.83,47.83,47.83,400
20160622,48.29,48.29,47.8,48.21,1600
20160628,47.8,47.81,47.7597,47.7597,1100
20160629,47.87,47.87,47.87,47.87,100
20160705,48,48.04,48,48.04,500
20160706,49.32,49.32,48.11,48.14,400
20160712,48.53,48.53,48.53,48.53,200
20160718,48.55,48.55,48.55,48.55,105
20160721,48.88,48.88,48.764,48.764,300
20160722,49.1446,49.16,48.85,49.15,1800
20160725,49.109,49.109,49.109,49.109,200
20160801,48.86,48.86,48.86,48.86,200
20160802,48.66,48.7,48.42,48.56,19898
20160804,48.75,48.77,48.46,48.6425,2600
20160809,49.09,49.09,49.09,49.09,100
20160812,49.35,49.42,49.35,49.4,2305
20160815,49.39,49.39,49.38,49.39,1500
20160824,49.31,49.42,49.25,49.42,600
20160825,49.3,49.53,49.3,49.34,1700
20160826,49.6,49.6,49.3,49.35,500
20160829,49.61,49.61,49.54,49.54,400
20160901,49.29,49.3,49.29,49.3,200
20160902,49.46,49.53,49.46,49.53,200
20160908,49.5,49.5,49.5,49.5,100
20160913,49.43,49.43,49.43,49.43,200
20160921,49.5199,49.5199,49.5199,49.5199,392
20160928,49.4,49.4,49.4,49.4,382
20161003,49.1,49.1,48.9001,48.9001,329
20161006,49.53,49.53,49.53,49.53,100
20161014,49.6686,49.6686,49.6686,49.6686,161
20161020,49.8704,49.8704,49.8704,49.8704,370
20161021,49.96,49.9699,49.95,49.95,300
20161024,49.8799,49.8799,49.8799,49.8799,200
20161027,49.63,49.84,49.63,49.84,2110
20161107,49.45,49.59,49.45,49.59,500
20161109,49.34,49.34,49.33,49.34,1000
20161110,48.93,49.1724,48.9,49.1724,1390
20161115,48.95,48.96,48.86,48.87,2513
20161117,49.1,49.1,49.1,49.1,100
20161121,49.07,49.07,49.07,49.07,101
20161206,48.798,48.798,48.798,48.798,150
20161207,49.3458,49.3458,49.134,49.134,315
20161209,49.138,49.138,49.138,49.138,350
20161213,49.4063,49.46,49.4063,49.46,1201
20161214,49.6,49.6,49.6,49.6,100
20161216,49.44,49.44,49.44,49.44,200
20161221,49.63,49.63,49.63,49.63,500
20161222,49.728,49.728,49.63,49.63,1154
20161223,49.6199,49.62,49.324,49.457,1043
20161228,49.629,49.629,49.629,49.629,100
20170103,49.74,49.74,49.68,49.69,644
20170104,49.66,49.66,49.66,49.66,100
20170105,49.63,49.685,49.6299,49.685,16816
20170109,49.6506,49.6506,49.6506,49.6506,155
20170110,49.599,49.599,49.599,49.599,120
20170112,49.6499,49.6499,49.6499,49.6499,100
20170117,49.6462,49.65,49.6004,49.65,745
20170118,49.65,49.65,49.5945,49.64,550
20170123,49.65,49.65,49.65,49.65,2000
20170125,49.6499,49.6499,49.6499,49.6499,211
20170127,49.65,49.65,49.5629,49.5629,784
20170130,49.65,49.65,49.65,49.65,100
20170201,49.6499,49.65,49.506,49.506,1000
20170202,49.6399,49.64,49.6399,49.64,362
20170203,49.65,49.65,49.65,49.65,200
20170208,49.89,49.89,49.89,49.89,300
20170213,49.9499,49.95,49.9499,49.95,256
20170214,49.99,49.99,49.99,49.99,173
20170215,49.69,49.7,49.68,49.68,7192
20170216,49.8851,50.12,49.8851,50.12,200
20170217,49.9599,49.9599,49.9599,49.9599,168
20170223,50.059,50.059,50.059,50.059,500
20170224,49.5301,50.11,49.5301,50.1,368
20170301,49.78,49.9551,49.78,49.9551,1343
20170302,50.13,50.13,49.61,49.61,200
20170303,50.02,50.22,49.6449,49.7145,1189
20170306,49.9238,50.125,49.9238,50.125,200
