Date,Open,High,Low,Close,Volume
20171027,44.63,44.74,44.62,44.72,4713
20171030,44.75,44.81,44.72,44.81,5590
20171031,44.85,44.95,44.84,44.95,56624
20171101,45.3,45.3,45.16,45.2,123704
20171102,45.18,45.3,45.18,45.3,61857
20171103,45.23,45.3,45.09,45.17,70632
20171106,45.04,45.16,45.04,45.14,16723
20171107,45.14,45.14,44.95,45.03,14840
20171108,45.1,45.15,45.05,45.14,59786
20171109,44.82,44.9,44.66,44.88,5199
20171110,44.74,44.75,44.68,44.74,1461
20171113,44.24,44.46,44.24,44.46,4116
20171114,44.31,44.41,44.31,44.37,60508
20171115,43.93,44.14,43.88,44.09,4301
20171116,44.37,44.52,44.37,44.45,4078
20171117,44.29,44.34,44.28,44.33,2994
20171120,44.4,44.41,44.38,44.38,4239
20171121,44.66,44.72,44.66,44.68,2436
20171122,44.83,44.89,44.69,44.81,4267
20171124,45.18,45.19,45.12,45.14,1806
20171127,45.02,45.02,44.84,44.85,503115
20171128,44.97,45,44.96,45,2245
20171129,45.12,45.12,44.96,44.97,3031
20171130,45.31,45.31,45.06,45.08,226092
20171201,45,45,44.88,44.98,4153
20171204,45.02,45.02,44.81,44.81,95458
20171205,44.82,44.88,44.74,44.76,58724
20171206,44.49,44.57,44.49,44.52,8300
20171207,44.6,44.73,44.6,44.65,11677
20171211,45.08,45.1,45.07,45.07,2357
20171212,45.04,45.17,45.04,45.16,3406
20171213,45.16,45.25,45.13,45.24,2469
20171214,45.09,45.11,44.98,45,5164
20171215,44.91,45,44.91,44.96,58868
20171218,45.41,45.55,45.41,45.44,8025
20171219,45.52,45.52,45.35,45.44,8359
20171220,45.54,45.55,45.42,45.45,61047
20171221,45.56,45.65,45.56,45.58,205036
20171222,45.57,45.65,45.52,45.65,2860
20171226,45.64,45.74,45.64,45.67,4047
20171227,45.82,45.83,45.71,45.71,45492
20171228,46,46,45.83,45.83,3767
20171229,46,46,45.84,45.84,4136
20180102,46.14,46.3,46.14,46.3,4561
20180103,46.49,46.71,46.48,46.71,3595
20180104,47.23,47.26,47.16,47.22,64812
20180105,47.44,47.53,47.39,47.53,8658
20180108,47.6,47.6,47.46,47.51,6622
20180109,47.57,47.62,47.54,47.62,4661
20180110,47.7,47.77,47.64,47.64,26869
20180111,47.9,48.02,47.9,48.02,653437
20180112,48.22,48.48,48.22,48.48,6939
20180116,48.65,48.65,48.36,48.41,352914
20180117,48.48,48.76,48.41,48.65,6290
20180118,48.44,48.52,48.38,48.46,53792
20180119,48.77,48.8,48.66,48.74,23199
20180122,48.85,49.07,48.85,49.07,6110
20180123,49.06,49.15,49.02,49.1,8182
20180124,49.42,49.44,49.1,49.29,19062
20180125,49.43,49.43,49.06,49.16,21573
20180126,49.32,49.49,49.32,49.46,37470
20180129,49.25,49.25,49.11,49.14,42426
20180130,48.82,48.82,48.65,48.66,32812
20180131,48.75,48.75,48.49,48.58,49424
20180201,48.57,48.86,48.57,48.76,66388
20180202,48.27,48.27,47.75,47.75,38609
20180205,47.22,47.22,45.7,45.7,41879
20180206,45.57,46.73,45.57,46.61,8798
20180207,46.16,46.38,45.99,46.23,2182
20180208,46.11,46.11,44.87,44.87,6966
20180209,44.89,45.05,44,45,8155
20180212,45.23,45.61,45.22,45.53,29595
20180213,45.25,45.44,45.25,45.44,4906
20180214,45.68,46.14,45.68,46.14,16855
20180215,46.47,46.51,46.07,46.47,24863
20180216,46.81,46.81,46.68,46.72,5566
20180220,46.47,46.48,46.43,46.48,2214
20180221,46.35,46.39,46.35,46.39,5867
20180222,46.35,46.44,46.24,46.24,1493
20180223,46.53,46.75,46.53,46.75,13935
20180226,47.03,47.17,46.88,47.15,3805
20180227,46.95,46.96,46.57,46.57,6285
20180228,46.61,46.61,46.16,46.16,2063
20180301,45.83,45.88,45.32,45.49,27947
20180302,45.08,45.53,45.01,45.53,6426
20180305,45.07,45.6,45.07,45.6,2431
20180306,46.14,46.14,45.95,45.99,5241
20180307,45.81,45.99,45.75,45.99,3590
20180308,46.14,46.14,45.99,45.99,28176
20180309,46.05,46.3,46.05,46.3,1395
20180312,46.48,46.52,46.46,46.51,2747
20180313,46.65,46.65,46.16,46.17,3951
20180314,46.5,46.5,46.23,46.34,4996
20180315,46.33,46.38,46.3,46.33,2701
20180316,46.23,46.34,46.18,46.25,8509
20180319,46.04,46.04,45.68,45.74,1736
20180320,45.9,46.01,45.9,45.95,9244
20180321,45.9,46.11,45.88,46.02,2854
20180322,45.5,45.55,45.14,45.14,7928
