Date,Open,High,Low,Close,Volume
20190102,25.02,25.25,25.02,25.23,1164346
20190103,25.15,25.15,24.9765,24.9765,69215
20190104,25.06,25.35,25.06,25.35,47761
20190107,25.37,25.4799,25.37,25.43,37010
20190108,25.42,25.52,25.4062,25.52,30480
20190109,25.58,25.63,25.52,25.56,8561
20190110,25.52,25.63,25.52,25.63,2671
20190111,25.57,25.64,25.5681,25.6221,10651
20190114,25.62,25.62,25.62,25.62,998
20190115,25.62,25.72,25.62,25.62,24231
20190116,25.73,25.7728,25.65,25.65,19045
20190117,25.74,25.83,25.74,25.81,23668
20190118,25.89,25.95,25.89,25.9182,2083
20190122,25.84,25.8999,25.71,25.79,22174
20190123,25.88,25.88,25.774,25.8444,1875
20190125,25.96,25.96,25.9599,25.96,1900
20190128,25.87,25.88,25.77,25.77,26683
20190129,25.8287,25.87,25.8287,25.87,11976
20190130,25.94,25.95,25.93,25.95,2719
20190131,26.04,26.09,26.04,26.09,5700
20190201,26.0211,26.1,26.0201,26.05,8184
20190204,26.16,26.16,26.06,26.1325,4872
20190205,26.14,26.2148,26.14,26.1801,3946
20190206,26.18,26.2367,26.12,26.12,4975
20190207,26.1,26.1293,26.01,26.12,36585
20190208,26.15,26.15,26.15,26.15,400
20190211,26.2,26.2,26.1101,26.1989,21553
20190212,26.27,26.3,26.259,26.3,963
20190213,26.295,26.33,26.25,26.2501,2150
20190215,26.3278,26.3675,26.3278,26.3675,2031
20190219,26.38,26.4,26.33,26.3762,3710
20190220,26.36,26.36,26.35,26.35,1108
20190221,26.3501,26.3501,26.3501,26.3501,135
20190222,26.49,26.49,26.48,26.48,1685
20190225,26.5388,26.54,26.53,26.53,3726
20190228,26.4416,26.4416,26.4416,26.4416,284
20190301,26.465,26.5,26.465,26.5,15151
20190304,26.42,26.42,26.42,26.42,400
20190305,26.48,26.48,26.48,26.48,100
20190306,26.4399,26.44,26.4399,26.44,257
20190307,26.43,26.43,26.43,26.43,200
20190312,26.48,26.49,26.47,26.47,770
20190313,26.51,26.51,26.51,26.51,234
20190314,26.51,26.51,26.51,26.51,2905
20190315,26.5001,26.5001,26.5001,26.5001,115
20190318,26.5564,26.5637,26.5201,26.5564,2641
20190319,26.65,26.65,26.64,26.64,59580
20190320,26.55,26.55,26.5201,26.5201,1279
20190325,26.48,26.48,26.475,26.475,715
20190326,26.61,26.62,26.4701,26.4701,800
20190327,26.47,26.47,26.47,26.47,222
20190401,26.66,26.67,26.65,26.67,3977
20190402,26.694,26.694,26.694,26.694,200
20190403,26.7341,26.7341,26.7341,26.7341,335
20190404,26.71,26.71,26.71,26.71,113
20190409,26.77,26.8,26.77,26.8,7693
20190412,26.8581,26.8581,26.8581,26.8581,743
20190416,26.87,26.87,26.87,26.87,8900
20190424,26.9,26.97,26.88,26.9643,2839
20190425,26.9,26.9,26.9,26.9,72947
20190426,26.8901,26.93,26.8901,26.93,1439
20190429,27.01,27.01,27.01,27.01,132
20190502,26.83,26.8635,26.81,26.8635,11551
20190503,26.9374,26.9374,26.92,26.92,3836
20190506,26.88,26.88,26.88,26.88,5078
20190510,26.7741,26.79,26.7741,26.7891,2200
20190514,26.75,26.75,26.75,26.75,654
20190516,26.9,26.91,26.895,26.895,1921
20190517,26.9,26.9,26.9,26.9,483
20190522,26.84,26.84,26.84,26.84,208
20190530,26.64,26.64,26.5101,26.5101,453
20190531,26.4595,26.46,26.4595,26.46,1000
20190603,26.46,26.4601,26.39,26.39,2300
20190604,26.5717,26.66,26.5621,26.634,5806
20190605,26.6501,26.6501,26.6501,26.6501,760
20190606,26.8055,26.83,26.7981,26.7981,4134
20190610,27,27,26.9653,26.9653,378
20190612,26.9596,26.9596,26.9596,26.9596,500
20190614,26.9,26.9268,26.9,26.9268,1595
20190617,26.9483,26.99,26.9308,26.985,20054
20190618,27.09,27.09,27.0245,27.045,17057
20190619,27.0127,27.04,27.0127,27.04,804
20190621,27.18,27.18,27.1283,27.1555,688
20190624,27.18,27.18,27.1001,27.17,3398
20190625,27.17,27.17,27.108,27.11,3314
20190627,27.0801,27.14,27.0801,27.129,3606
20190701,27.25,27.25,27.2,27.2399,36003
20190702,27.239,27.2696,27.2315,27.2696,975
20190703,27.2859,27.2859,27.285,27.285,295
20190705,27.31,27.31,27.2509,27.3,4483
20190708,27.2727,27.28,27.27,27.28,20359
20190709,27.27,27.28,27.2241,27.28,1959
20190710,27.34,27.34,27.31,27.31,640
20190711,27.33,27.33,27.25,27.32,5431
20190715,27.37,27.37,27.3429,27.37,4859
20190716,27.29,27.329,27.29,27.329,8842
20190717,27.3054,27.3054,27.3054,27.3054,378
20190718,27.265,27.265,27.265,27.265,243
20190722,27.2657,27.2689,27.2657,27.2689,316
20190724,27.345,27.37,27.345,27.37,980
20190726,27.3531,27.3531,27.3531,27.3531,365
20190731,27.3799,27.38,27.31,27.31,6404
20190801,27.28,27.339,27.1701,27.1701,295208
20190802,27.1201,27.169,27.1201,27.1496,1386
20190806,26.96,27.01,26.8793,26.9649,1786
20190807,26.9506,26.9506,26.9506,26.9506,656
20190809,27.37,27.37,27.37,27.37,137
20190814,26.9,26.9,26.9,26.9,1091
20190815,26.8635,26.8635,26.8635,26.8635,550
20190816,26.99,26.99,26.99,26.99,434
20190819,27.1299,27.1299,27.1299,27.1299,118
20190820,27.1,27.1001,27.1,27.1001,1364
20190821,27.13,27.1589,27.1201,27.1589,2959
20190822,27.1503,27.1503,27.13,27.13,2593
20190823,27,27,27,27,216
20190826,26.9507,27.0092,26.9507,27.0092,517
20190827,27.001,27.001,27.001,27.001,600
20190828,27,27,27,27,2400
20190829,27.07,27.12,27.07,27.12,634
20190903,27.08,27.1218,27.07,27.1218,1755
20190904,27.15,27.15,27.15,27.15,3938
20190906,27.42,27.42,27.42,27.42,100
20190909,27.301,27.301,27.301,27.301,603
20190910,27.28,27.28,27.28,27.28,144
20190911,27.351,27.374,27.351,27.374,462
20190913,27.4317,27.4317,27.4317,27.4317,5905
20190917,27.4189,27.4206,27.4189,27.4206,245
20190918,27.37,27.37,27.37,27.37,301
20190919,27.4706,27.4706,27.411,27.434,1485
20190923,27.46,27.46,27.46,27.46,365
20190924,27.373,27.373,27.32,27.3714,5819
20190925,27.33,27.376,27.32,27.3725,1511
20190926,27.33,27.409,27.33,27.409,528
20190927,27.3535,27.3535,27.3535,27.3535,800
20191001,27.252,27.252,27.25,27.25,10162
20191002,27.104,27.141,27.104,27.125,2208
20191003,27.09,27.12,27.09,27.12,1600
20191007,27.291,27.33,27.291,27.33,840
20191008,27.2565,27.32,27.18,27.24,4999
20191009,27.21,27.21,27.21,27.21,499
20191010,27.3,27.3471,27.3,27.3471,1673
20191011,27.47,27.48,27.47,27.48,825
20191014,27.4799,27.48,27.465,27.4727,1350
20191015,27.52,27.568,27.48,27.568,1884
20191016,27.5133,27.5133,27.5054,27.5054,201
20191017,27.52,27.5729,27.52,27.5729,1300
20191018,27.565,27.5685,27.56,27.56,10506
20191021,27.5735,27.5899,27.5735,27.587,2900
20191023,27.59,27.6,27.59,27.6,3000
20191024,27.6,27.6,27.58,27.58,284
20191025,27.659,27.66,27.611,27.611,5462
20191028,27.6697,27.678,27.6614,27.678,1399
20191030,27.6676,27.6676,27.6599,27.6599,307
20191031,27.66,27.66,27.64,27.64,474
20191101,27.6881,27.6881,27.6881,27.6881,906
20191105,27.7136,27.7136,27.7136,27.7136,311
20191106,27.687,27.687,27.687,27.687,500
20191107,27.76,27.76,27.76,27.76,6586
20191108,27.755,27.76,27.73,27.73,635
20191112,27.7436,27.77,27.729,27.77,6648
20191114,27.7704,27.7704,27.7704,27.7704,1440
20191115,27.8,27.8247,27.8,27.8247,26304
20191118,27.83,27.83,27.779,27.8299,6820
20191119,27.8163,27.84,27.7796,27.8001,12396
20191120,27.83,27.83,27.7904,27.8172,1351
20191121,27.7887,27.83,27.7886,27.83,3050
20191122,27.8,27.84,27.8,27.84,7881
20191125,27.86,27.86,27.859,27.86,1463
20191126,27.8248,27.86,27.8187,27.86,2027
20191127,27.86,27.8725,27.8326,27.8432,3593
20191202,27.71,27.86,27.71,27.78,716
20191203,27.83,27.84,27.8084,27.84,1882
20191205,27.86,27.86,27.79,27.79,2827
