Date,Open,High,Low,Close,Volume
20210324,24.9,24.9592,24.6814,24.6814,5261
20210325,24.32,24.859,24.32,24.8367,21309
20210326,25.039,25.3569,25.0144,25.3569,441
20210329,25.09,25.1767,25.01,25.1427,10201
20210330,24.8,24.91,24.8,24.8171,682605
20210331,27.44,28.21,24.86,25.07,1223640
20210401,25.26,25.42,24.8,25.37,945426
20210405,25.51,25.51,25,25.18,68388
20210406,25.21,25.5,25.21,25.28,24403
20210407,25.27,25.59,25.27,25.5257,17181
20210408,25.59,25.59,25.12,25.4993,28001
20210409,25.44,25.47,25.16,25.2444,12991
20210412,25.23,25.37,25.123,25.1599,22548
20210413,25.23,25.28,25.0001,25.205,8361
20210414,25.23,25.69,25.23,25.5328,20561
20210415,25.53,25.8099,25.38,25.7919,9576
20210416,25.8199,25.8199,25.46,25.5,8775
20210419,25.42,25.61,25.42,25.5345,9101
20210420,25.46,25.46,24.9301,25.21,11959
20210421,25.17,25.54,25.17,25.51,20147
20210422,25.63,25.63,25.24,25.25,27099
20210423,25.1401,25.65,25.1401,25.65,14864
20210426,25.78,25.8605,25.7788,25.7876,15525
20210427,25.86,25.99,25.791,25.9572,12996
20210428,26.29,26.5699,26.26,26.4716,5104
20210429,26.82,26.89,26.5,26.735,17738
20210430,26.66,26.77,26.4501,26.4501,41924
20210503,26.61,26.776,26.6,26.72,8797
20210504,26.661,26.945,26.661,26.84,34826
20210505,26.95,27.4377,26.95,27.2666,7412
20210506,27.34,27.44,27.04,27.433,27269
20210507,27.65,27.809,27.4,27.6801,15607
20210510,28.1052,28.19,27.87,27.925,12434
20210511,27.68,27.795,27.3,27.694,20650
20210512,27.98,28.27,27.38,27.6434,21377
20210513,27.64,27.81,27.36,27.7383,14848
20210514,28.2401,28.345,28.175,28.3445,15096
20210517,28.2,28.6676,28.1654,28.6676,10469
20210518,28.7,28.7,28.5679,28.5679,7701
20210519,28.5,28.5,27.96,28.0581,10033
20210520,27.95,28.56,27.95,28.45,234210
20210521,28.73,28.74,28.35,28.45,43454
20210524,28.58,28.73,28.45,28.6606,22832
20210525,28.72,28.72,28.15,28.1655,26483
20210526,28.12,28.305,28.06,28.2857,19873
20210527,28.41,28.519,28.2857,28.3763,293240
20210528,28.49,28.49,28.25,28.36,8818
20210601,28.2,28.9596,28.2,28.8953,13240
20210602,29.07,29.4,29,29.32,21053
20210603,29.06,29.49,29.06,29.4302,12026
20210604,29.84,30.07,29.72,30.0308,7058
20210607,30.07,30.5398,30.07,30.4188,12258
20210608,30.44,30.75,30.2,30.64,24475
20210609,30.51,30.6439,30.426,30.426,15830
20210610,30.69,30.82,30.58,30.78,4312
20210611,30.93,31.0899,30.885,30.918,12280
20210614,30.99,31.28,30.82,30.9528,25090
20210615,31.16,31.1897,30.8549,31.1265,9074
20210616,31.12,31.34,30.9348,31.17,7524
20210617,31.5,31.5,29.71,30.0648,31746
20210618,29.67,29.7612,29.322,29.322,24164
20210621,29.49,30.1,29.49,30.047,6265
20210622,29.695,30,29.68,29.995,9980
20210623,30.16,30.25,29.9142,29.948,6414
20210624,29.8523,29.9297,29.76,29.9162,10361
20210625,29.89,29.89,29.6,29.68,86027
20210628,29.26,29.26,28.89,29.0955,16274
20210629,29.23,29.28,29.005,29.0236,17694
20210630,29,29.43,29,29.35,6013
20210701,29.5,29.7696,29.465,29.6546,18408
20210702,29.605,29.7503,29.5514,29.71,20517
20210706,29.71,29.71,29.06,29.384,13013
20210707,29.025,29.1668,29.01,29.01,8248
20210708,28.55,28.99,28.5,28.8602,19774
20210709,29.12,29.56,29.12,29.52,31169
20210712,29.53,29.53,29.16,29.3992,10796
20210713,29.36,29.37,29.06,29.06,5975
20210714,29.02,29.272,28.4501,28.5593,13148
20210715,28.33,28.4827,28.13,28.2653,11768
20210716,28.43,28.43,27.8987,27.9748,8966
20210719,27.86,27.86,26.6743,27,34372
20210720,27.2,27.7699,27.2,27.64,8471
20210721,27.98,28.475,27.98,28.1186,5257
20210722,27.901,28.13,27.8,28.0642,8514
20210723,28.11,28.11,27.67,27.9548,10196
