Date,Open,High,Low,Close,Volume
20120208,51.65,51.65,51.65,51.65,100
20120210,50.53,50.53,50.53,50.53,200
20120213,52.33,52.33,52.33,52.33,300
20120217,54.4,54.4,54.4,54.4,100
20120221,56.48,56.48,56.48,56.48,500
20120222,57.56,58.75,57.56,58.74,2600
20120223,59.62,60.18,58.49,60.12,2100
20120224,59.85,62.45,59.56,62.45,1600
20120227,60,60,60,60,800
20120228,59.2,59.2,57.95,57.95,1200
20120229,58.19,58.83,53.85,58.83,4000
20120301,59.24,64.64,59.24,64.64,900
20120302,61.17,61.17,59.16,59.16,1800
20120305,60.08,60.08,58.88,59.77,700
20120306,57.62,57.62,57.19,57.19,1000
20120308,62.49,62.97,57.5,62.63,4800
20120309,63,63,63,63,400
20120312,61.56,61.56,61.56,61.56,1300
20120315,61.01,61.01,58.76,60.4,400
20120316,61.46,62.87,61.46,62.87,600
20120321,61.32,61.32,61.25,61.25,1000
20120322,59.42,59.42,59.42,59.42,200
20120323,64.5,64.5,61.98,62.08,1800
20120326,63.08,63.08,62.93,62.93,1000
20120327,62.21,62.21,62.21,62.21,100
20120328,60.31,60.31,60.31,60.31,100
20120329,58.83,59,57.84,57.84,500
20120330,58.82,58.82,58.82,58.82,100
20120405,58.81,58.81,58.81,58.81,100
20120410,56.5,56.5,55.5,55.5,300
20120411,54.74,54.74,54.74,54.74,400
20120412,55.25,57.2,55.25,57.2,1100
20120413,57.28,57.28,56.91,56.91,2400
20120418,52.75,53.13,52.46,53.05,1500
20120419,53.05,53.05,53.05,53.05,100
20120427,54.6,54.6,54.6,54.6,200
20120430,54.89,54.89,54.89,54.89,500
20120501,55.41,55.41,55.41,55.41,100
20120503,50.79,50.79,50.79,50.79,100
20120507,46.21,46.21,46.18,46.18,600
20120508,44.61,46,43.52,46,3800
20120509,45.85,45.85,45.85,45.85,200
20120514,43.68,43.68,43.68,43.68,100
20120515,44.3,44.3,43.95,43.98,500
20120516,42.5,42.5,42.5,42.5,100
20120518,39.75,39.75,39.75,39.75,200
20120521,40.36,40.36,40.36,40.36,100
20120523,39.24,39.24,37.71,37.71,400
20120524,38.55,38.55,38.37,38.37,200
20120525,39.24,39.24,39.24,39.24,400
20120530,35.33,35.33,35.33,35.33,100
20120601,31.15,31.15,29.93,30.65,900
20120604,30.65,31.01,30.65,31.01,400
20120605,30.45,30.74,30.45,30.74,500
20120606,31.78,32.57,31.78,32.57,400
20120607,32.54,32.54,32.54,32.54,200
20120608,30.92,31.65,29.8,31.65,4000
20120611,29.65,29.65,29.65,29.65,100
20120612,29.77,30.71,29.57,29.62,6000
20120613,29,30,29,29.3,5300
20120614,29,29.09,28.91,28.91,1400
20120618,28.75,28.75,28.09,28.09,1000
20120619,29.1,29.21,28.75,28.75,1100
20120620,27.67,27.67,25.96,25.98,9100
20120621,25.42,25.42,22.93,23.12,5000
20120622,23.97,24.7,23.85,24.44,4500
20120625,23.7,24.5,23.47,24.5,8500
20120626,25.1,25.64,21.15,25.55,9600
20120627,26.25,26.3,25.9,26.12,1200
20120628,25.76,25.76,24.82,24.82,1400
20120629,26.99,29.38,26.99,29.11,7600
20120702,28,29.12,27.52,29.12,6700
20120703,31.94,33,31.4,31.71,3100
20120705,31.51,32.28,31.46,31.65,1600
20120706,29.34,29.39,28.95,29.39,1000
20120709,29.55,33.25,29.55,30.8,4600
20120710,30.04,30.8,29.99,30.29,600
20120711,30.4,31.16,26.3,31.16,10000
20120712,29.71,31.34,29.71,31.04,2400
20120713,32,33,32,33,3600
