Date,Open,High,Low,Close,Volume
20211014,100.5,100.5,100.4571,100.5,542
20211018,100.09,100.2,100.0714,100.1678,608
20211019,100.1,100.1,99.93,99.93,366
20211025,99.92,99.92,99.8551,99.8551,249
20211029,100.133,100.2036,100.133,100.2036,101
20211105,100.93,100.93,100.93,100.93,272
20211109,100.95,100.95,100.945,100.945,250
20211110,100.338,100.338,100.255,100.255,100
20211111,100.24,100.24,100.105,100.105,250
20211221,99.57,99.7954,99.57,99.7954,100
20220124,98.061,98.0757,97.98,97.98,200
