Date,Open,High,Low,Close,Volume
20140204,23.7,23.82,23.7,23.71,38500
20140205,23.71,23.71,23.7,23.71,2600
20140206,23.71,23.71,23.71,23.71,3300
20140207,23.71,23.71,23.71,23.71,500
20140210,23.7,23.7,23.7,23.7,4300
20140211,23.71,23.71,23.7,23.7,13700
20140212,23.71,23.71,23.7,23.7,1600
20140213,23.7,23.71,23.66,23.71,11100
20140214,23.66,23.66,23.66,23.66,300
20140218,23.65,23.65,23.65,23.65,100
20140219,23.67,23.7,23.67,23.7,600
20140221,23.7,23.7,23.7,23.7,500
20140225,23.7,23.7,23.7,23.7,500
20140227,23.69,23.7,23.69,23.7,1300
20140228,23.7,23.7,23.7,23.7,200
20140305,23.68,23.7,23.66,23.7,3200
20140313,23.7,23.7,23.7,23.7,400
20140314,23.69,23.69,23.69,23.69,100
20140317,23.68,23.68,23.68,23.68,200
20140321,23.64,23.64,23.64,23.64,200
20140326,23.68,23.68,23.68,23.68,300
20140327,23.64,23.64,23.64,23.64,300
20140402,23.69,23.69,23.69,23.69,100
20140421,23.65,23.65,23.65,23.65,200
20140424,23.69,23.69,23.66,23.68,55500
20140428,23.69,23.69,23.65,23.65,30900
20140429,23.69,23.69,23.66,23.68,3400
20140430,23.69,23.69,23.65,23.65,5200
20140501,23.69,23.69,23.65,23.65,58100
20140502,23.68,23.68,23.65,23.65,28500
20140505,23.65,23.68,23.65,23.68,3000
20140506,23.65,23.65,23.65,23.65,1200
20140509,23.65,23.65,23.65,23.65,100
20140515,23.68,23.68,23.66,23.68,4200
20140522,23.68,23.68,23.68,23.68,200
20140529,23.63,23.63,23.63,23.63,1900
20140604,23.67,23.67,23.67,23.67,7400
20140609,23.63,23.63,23.63,23.63,500
20140612,23.63,23.63,23.63,23.63,100
20140623,23.63,23.63,23.63,23.63,800
20140626,23.66,23.66,23.66,23.66,100
20140714,23.62,23.62,23.62,23.62,1700
20140718,23.66,23.66,23.63,23.65,22200
20140721,23.66,23.66,23.64,23.65,4600
20140723,23.66,23.66,23.66,23.66,300
20140725,23.67,23.67,23.67,23.67,300
20140728,23.62,23.66,23.62,23.66,1700
20140729,23.63,23.63,23.62,23.62,300
20140731,23.66,23.66,23.66,23.66,100
20140804,23.66,23.66,23.66,23.66,100
20140805,23.66,23.66,23.66,23.66,100
20140806,23.66,23.66,23.66,23.66,100
20140808,23.66,23.66,23.66,23.66,400
20140812,23.66,23.66,23.66,23.66,100
20140814,23.66,23.66,23.66,23.66,100
20140815,23.67,23.67,23.67,23.67,100
20140902,23.64,23.67,23.64,23.67,200
20140903,23.68,23.68,23.63,23.63,2300
20140904,23.68,23.68,23.64,23.65,800
20140924,23.67,23.67,23.63,23.63,4300
20140930,23.65,23.65,23.65,23.65,100
20141002,23.63,23.63,23.63,23.63,100
20141021,23.65,23.65,23.65,23.65,400
20141031,23.55,23.55,23.55,23.55,200
20141112,23.53,23.53,23.53,23.53,2600
20141113,23.59,23.59,23.59,23.59,100
20141120,23.53,23.55,23.53,23.55,15900
20141121,23.53,23.53,23.53,23.53,200
20141125,23.58,23.58,23.53,23.56,1100
20141209,23.58,23.58,23.53,23.53,400
20141217,23.61,23.61,23.56,23.56,400
20141226,23.56,23.56,23.56,23.56,200
20150123,23.61,23.61,23.57,23.57,200
20150202,23.56,23.57,23.55,23.57,8700
20150224,23.61,23.61,23.58,23.58,2100
20150302,23.64,23.64,23.64,23.64,6300
20150309,23.46,23.46,23.46,23.46,400
20150407,23.59,23.72,23.54,23.64,3300
20150420,23.75,23.76,23.72,23.72,600
20150609,23.64,23.64,23.64,23.64,100
20150615,23.76,23.76,23.76,23.76,300
20150623,23.75,23.76,23.55,23.71,50300
20150624,23.75,23.76,23.55,23.6,41600
20150625,23.68,23.68,23.68,23.68,200
20150626,23.71,23.76,23.61,23.73,7700
20150629,23.75,23.76,23.56,23.63,17500
20150630,23.61,23.76,23.61,23.68,6500
