Date,Open,High,Low,Close,Volume
20111017,503.8,503.8,468,473.5,320
20111018,446,504.3,430,503.5,6320
20111019,486.5,489.8,446.3,450.1,10750
20111020,439.6,460.2,402.4,425.4,40080
20111021,455,461.1,443.1,457,3330
20111024,463.2,485,463.2,471.8,4610
20111025,467.6,549,461.6,545.4,16000
20111026,568,570.1,538.6,548.3,11200
20111027,575.1,648.7,564.7,631,21210
20111028,640,646.2,615.2,637.9,25090
20111031,608.9,608.9,582.5,593.2,11560
20111101,550.1,558,493.4,533.7,24540
20111102,566.1,586.7,556.9,578.7,19300
20111103,603.9,606.3,560.5,595.6,7940
20111104,578.4,588.3,565.2,574,5010
20111107,598.5,620,597.3,617.8,15210
20111108,614,636.4,600.7,615.7,21120
20111109,600.8,606.6,559.2,571.1,18790
20111110,573.7,574.2,530.4,568.7,6710
20111111,574.1,609.8,574.1,601,28670
20111114,593.1,594.4,568,580.5,13630
20111115,593,607,570,595.2,28880
20111116,568.1,581.7,545,550.5,35800
20111117,518,519.7,424.3,443.4,23900
20111118,458.4,486.2,450.7,473,10310
20111121,432,444.6,405.3,443.3,31740
20111122,449.6,500,447.8,488.2,59350
20111123,443.8,458.6,426.4,448,9850
20111125,415.1,444.3,410.4,413,8110
20111128,454.9,461.6,449.2,453.2,4290
20111129,446,454.8,439.99,445.8,15260
20111130,465.3,490.6,461.2,486.5,13390
20111201,495.5,512.1,472.9,481.2,21140
20111202,503.7,506.3,461.8,473.5,13310
20111205,486.6,491.4,443.5,445.2,28540
20111206,442.9,487,432.4,484.7,15650
20111207,481,483.2,460.1,470,5020
20111208,455.3,455.8,423,428.4,15350
20111209,444,460.9,439.9,454,8710
20111212,413.8,417.9,400,416.64,15180
20111213,418.5,440.6,381.1,389.9,27030
20111214,329.3,342.5,305,317.8,52950
20111215,330.1,331.1,307.5,321.9,25180
20111216,338.4,348.5,333,345.3,13710
20111219,323.24,329.53,310.67,312.36,12520
20111220,335,341.3,330.5,338.9,23770
20111221,331.1,340,324.5,334,25930
20111222,328.4,332.3,320,324.5,9310
20111223,333.1,333.1,322,323.2,2910
20111227,314.5,325.4,307.9,309.2,35220
20111228,298.8,298.8,252.4,256.5,57920
20111229,241.7,280.1,236.8,280.04,54310
20111230,284.3,298,273.2,274.6,41240
20120103,306.3,336.8,305.8,333.3,32250
20120104,319.3,330.6,314.7,318,10880
20120105,305.6,326,304.4,322.1,12250
20120106,324.5,324.89,299.1,302.4,29360
20120109,316.1,318.1,305,309.9,13740
20120110,345.1,349.9,338,340.4,24640
20120111,336.9,350.9,332.6,343.5,18560
20120112,359.8,366.4,342.5,349.4,17110
20120113,335.2,342.7,325,331.7,22040
20120117,351,358.3,340.1,343.7,25460
20120118,349.5,364.1,346.4,359.9,14170
20120119,359.2,366.7,355.8,363.9,9540
20120120,362.71,419.79,359.82,419.79,26450
20120123,416.7,442.9,416.5,426.5,28340
20120124,421.8,428.1,411.5,413.7,16140
20120125,407.8,469.5,396.8,465.2,63800
20120126,485.4,486.3,463.8,467.7,22060
20120127,470.5,492.3,469.4,491.2,16880
20120130,470,481.4,463.9,472.4,21500
20120131,495.5,496.2,450,460.1,20320
20120201,490,494.1,475.2,482,24940
20120202,484.7,511.3,480.9,507.9,26730
20120203,490,494.9,464.7,478,31330
20120206,465.5,487,465.3,479.6,10030
20120207,471.6,509.5,464.7,504,26400
20120208,503.4,511.7,480,492.8,23140
20120209,508.2,512.1,483.6,487.5,18180
20120210,471.4,486.3,464,470.5,15470
20120213,479.7,485.6,469.9,481,12540
20120214,481.8,485.5,460.1,471.7,9460
20120215,487,487,456.1,467.6,24550
20120216,445,473.2,437.9,472.1,31690
20120217,475.1,475.1,453.4,458.8,15700
20120221,486.3,510,484.3,507.2,45440
20120222,493,513.2,490.4,509.8,40530
20120223,527,561.5,517.6,552,59140
20120224,554.7,563.8,544.2,553.2,23250
20120227,549.9,562.5,542.9,550.8,65980
20120228,582.2,637.8,578,621,126620
20120229,629.5,651.3,478.2,501.1,182280
20120301,509.2,548.42,507.8,540.1,84420
20120302,516.5,521.1,492,506.2,61560
20120305,498.7,498.7,453.2,473.4,68320
20120306,420.2,434.3,410.5,429.2,72670
20120307,429.3,452.8,423.4,444.8,76270
20120308,458.2,468.3,445.1,462.5,41070
20120309,445.8,486.2,438.8,478.7,65190
20120312,464.8,464.8,443.2,451.9,28160
20120313,440.8,459.87,429.08,436,44200
20120314,417.3,432.5,375.2,395.7,67400
20120315,393.4,420.4,387.6,405,53830
20120316,409.9,414.81,402.39,407.6,23930
20120319,406.9,428.2,404.6,421.7,36280
20120320,397.8,405.3,379.2,388.5,65630
20120321,389.5,400.5,384.1,391.5,52510
20120322,365.6,373.1,353,364.6,98060
20120323,376.7,394.4,372.3,388.9,60670
20120326,408.7,417.79,404.8,415.7,81570
20120327,420.9,425.4,402,402,76240
20120328,398.4,401.4,375.1,385.5,80460
20120329,380.6,392.6,369.8,392.2,66500
20120330,401,405.5,391.2,393.3,79510
20120402,398.9,427.9,397.3,418.7,35460
20120403,418.6,430,398.7,401.2,54520
20120404,362.6,368.1,341.2,349,142970
20120405,357.1,368.1,356.2,362.9,75220
20120409,365.7,367,352.1,356.8,44320
20120410,360.6,369,345,364.9,149550
20120411,363,368.6,353.4,358.9,84180
20120412,361.1,394,361.1,385.9,118930
20120413,381,381,349,354.2,120850
20120416,357,361.5,348.5,354.9,76250
20120417,363.2,368.7,350.7,361.4,44270
20120418,355.8,359.7,349.5,356.3,62900
20120419,364.6,372,359.3,362,25710
20120420,361,363.6,357.7,359.3,18550
20120423,327.5,332.2,320,332.1,72830
20120424,336.8,340.2,326,329.9,39310
20120425,332.8,332.8,303,327.5,62390
20120426,328.6,344.7,326.1,338,86450
20120427,348,349.2,340.6,344.7,27240
20120430,326.8,337.4,320.7,336.1,73090
20120501,342.9,345.7,331,333.5,35810
20120502,319.95,323.25,314.95,323.25,64450
20120503,314,316.6,298.5,307.1,48570
20120504,304.5,315.8,303.1,311.1,26260
20120507,309.9,309.9,292,304.9,35020
20120508,285,288.1,275.9,287,95150
20120509,269.4,281.1,266.2,277.8,125900
20120510,280.9,285,273,274,39020
20120511,259.3,274.6,255.7,268.9,92960
20120514,257.2,257.2,249.3,250.4,136140
20120515,246.5,251,232.9,234.8,132670
20120516,229.8,243.6,212,221.4,98070
20120517,235.8,250.2,230.6,243.3,115570
20120518,253.7,266,253.2,259.3,78240
20120521,245.15,255.14,242.96,254.75,35810
20120522,250.7,262.4,240.5,245.1,117630
20120523,234.9,238.3,218.2,237.8,220200
20120524,252.5,253.3,241,247.7,148370
20120525,247.9,255.9,245.7,252.9,39900
20120529,255.6,258.9,234,237.7,107030
20120530,228.9,244.8,224.4,238.4,67450
20120531,239.1,243,228.5,233.7,97700
20120601,247.8,257.9,244,251.5,142220
20120604,250.3,250.3,238.9,246.1,70500
20120605,248.2,254.2,246.6,254.2,103450
20120606,282.9,288.8,271.8,275.8,123660
20120607,282.2,282.5,247.4,253.4,158320
20120608,241.3,253,241,253,87000
20120611,255.4,255.4,245,253,67840
20120612,261,265.2,255,263.3,97330
20120613,265,266.6,257.9,259.4,73190
20120614,260.3,260.4,241.8,253.5,149270
20120615,254.1,257.3,251.8,253.5,50120
20120618,246.3,258.6,244.5,255.7,96880
20120619,256.5,257.6,244.8,248,184610
20120620,241.4,252.5,228.8,237.9,159180
20120621,226,227.9,206.1,207.8,93030
20120622,204.7,208.1,200,208.1,120520
20120625,204.7,223.9,203.2,221.4,243180
20120626,214.6,216.9,203.6,210.5,69320
20120627,214.6,215.7,203.1,206.5,59100
20120628,203.5,204,188,194.6,131240
20120629,218.6,224.3,211.9,217,60010
20120702,217.5,220.6,213.8,218.6,25960
20120703,232.9,240.4,231.9,238.4,77060
20120705,220.1,226.9,218.6,221.6,104450
20120706,211,211.8,203.5,207.3,86810
20120709,210,215.9,209,212.3,44760
20120710,214.4,214.6,198.5,200.8,114600
20120711,204,209.9,200.2,205.6,61010
20120712,194.9,212.6,193,208.1,58660
20120713,209.7,216.6,209.6,210.3,40600
20120716,212,213.5,208,210.7,14570
20120717,211,213.8,199.2,209.6,58410
20120718,205.8,211.3,205.8,209.1,61780
20120719,212.6,213.9,207.1,209.4,45500
20120720,201.3,213.6,200.5,210.5,169700
20120723,200.8,207.4,198.3,203.7,74650
20120724,206.9,207.5,195.1,203.9,76830
20120725,210,215.8,205.7,211.4,115110
20120726,218.5,220.5,211.9,215.3,77320
20120727,218,221.7,211.5,220.9,97920
20120730,219.4,232.23,218.88,231.3,42160
20120731,230.9,232.2,224.5,225.4,113970
20120801,208.6,216.6,206,210.5,103230
20120802,207.8,210.3,201.6,205,89110
20120803,210.6,223.2,209,219.3,166020
20120806,218.4,224.9,217,222.9,77830
20120807,227.6,229.6,225,228,65290
20120808,225.65,230.95,224.45,226.05,83790
20120809,224.9,229.9,224.7,228.2,122410
20120810,220.5,233.9,218.3,227.3,119500
20120813,225.1,226.3,218.7,219,106160
20120814,219,221.1,217.8,220.2,82000
20120815,222,224.8,219.3,220.6,15130
20120816,222.4,231.5,220,229.7,136620
20120817,231.7,231.7,224.8,226.6,95450
20120820,227.34,245.16,227.14,244.56,85610
20120821,254.5,262.1,254.1,256.2,135710
20120822,260.7,273.3,258.9,271.2,128700
20120823,291.7,297.5,285.3,290,160780
20120824,289,295.1,286.9,294.2,202300
20120827,299,308.9,293.7,293.9,144440
20120828,298.9,301.3,293.5,299.4,79760
20120829,299.7,300,290.3,294.3,100530
20120830,298.5,299,280.2,284.5,61920
20120831,295.1,324.7,281.3,324.7,194650
20120904,337.6,344.3,330.2,341.7,148850
20120905,339.9,341.7,333.6,338.6,49240
20120906,351.4,360.4,346,351.8,113460
20120907,375.6,385.9,370.4,384.2,110450
20120910,378.7,389.6,369.6,372.1,78340
20120911,385.6,388,374.09,376.2,47070
20120912,388.3,388.3,343.2,369.1,162870
20120913,366.3,423.1,350.9,417.6,226830
20120914,414.3,418.4,406.1,417.1,66450
20120917,412.4,415,386.4,394.2,119460
20120918,405.4,429.6,402.6,420.8,157000
20120919,416.1,420.8,407.5,415,95440
20120920,409.1,417.6,395,415.3,127540
20120921,432,433,404.3,412,143930
20120924,387.5,400,385.8,391.7,132400
20120925,400.7,404.6,381,383,133830
20120926,381.3,393.7,372.9,390.1,106230
20120927,401.7,418.4,398.2,414.9,100580
20120928,414.2,418.3,401.5,411.2,127160
20121001,422.2,433.7,412.3,417.7,147390
20121002,420.8,422.8,405,412.8,75470
20121003,419.4,419.4,409,412.3,46870
20121004,420,429.7,416.2,426.3,76340
20121005,421.2,423.7,401.5,408.2,108830
20121008,388.8,395.3,386.5,390.9,61190
20121009,387.9,392.6,374.8,386,102270
20121010,386.7,395,383.1,390.9,82310
20121011,395.1,400.6,389,389.2,58910
20121012,380,384.7,372.5,373.1,89190
