Date,Open,High,Low,Close,Volume
20111004,2427000000,2448000000,2058000000,2058000000,160
20111005,1974599936.46,1988999936,1813799941.64,1813799941.64,120
20111006,1811400000,1878000000,1740000000,1740000000,400
20111007,1705800000,1857600000,1684800000,1765200000,230
20111010,1654800000,1656000000,1559400000,1559400000,340
20111011,1570200063.9,1572600064,1491000060.68,1506000061.3,230
20111012,1394400000,1394400000,1248600000,1287600000,350
20111013,1332000060.8,1402200064,1296600059.18,1296600059.18,230
20111014,1173600060.5,1241400064,1148400059.21,1168800060.26,310
20111017,1157400053.1,1395000064,1157400053.1,1395000064,630
20111018,1384800000,1477200000,1191000000,1302000000,930
20111019,1260000000,1483200000,1236216000,1446600000,880
20111020,1465194452.4851,1567800064,1427994593.33,1449114513.367,740
20111021,1352399938.22,1400999936,1301999940.52,1301999940.52,650
20111024,1270200064,1270200064,1138350057.3566,1142400057.56,660
20111025,1174732315.9,1311000064,1174732315.9,1293586173.1036,630
20111026,1189799944.6,1374599936,1177199945.19,1190117944.5893,720
20111027,943800000,991800000,856080000,873000000,1530
20111028,904800000,918600000,846600000,857400000,900
20111031,938400000,1039800000,923400000,1039800000,1410
20111101,1355400000,1408800000,1261800000,1344600000,2010
20111102,1247400059.0573,1351800064,1232400058.35,1261560059.728,1230
20111103,1189800000,1341600000,1132020000,1143180000,1620
20111104,1197599939.715,1271399936,1152599941.98,1186199940.289,1090
20111107,1199400000,1260000000,1163994000,1164360000,1150
20111108,1132800000,1196400000,1050000000,1054620000,1410
20111109,1212599946.8813,1460999936,1196759947.575,1445399936.6834,2290
20111110,1275161015.71,1424999936,1254158363.7,1262559424.4932,1720
20111111,1168793945.3555,1170599936,1127994156.7,1157190005.4668,1220
20111114,1191372855.51,1258800000,1186333816.241,1212368852.46,870
20111115,1256400000,1279200000,1169400000,1189200000,1430
20111116,1263600061.238,1320600064,1176000057,1304400063.21,1890
20111117,1324200057.3,1479000064,1300800056.29,1428600061.82,2070
20111118,1347000000,1426800000,1330800000,1330800000,1830
20111121,1472400063.818,1476600064,1347600058.41,1363860059.1135,1840
20111122,1378200000,1405200000,1299600000,1306860000,1810
20111123,1369200000,1430400000,1350600000,1424400000,1970
20111125,1434000000,1471200000,1378800000,1461000000,900
20111128,1266600000,1350000000,1244160000,1321620000,1610
20111129,1296600000,1322400000,1240440000,1266000000,1470
20111130,1095600062.93,1114200064,1036200059.52,1041000059.8,1910
20111201,1050000000,1054800000,980400000,993984000,1070
20111202,936600000,993000000,904200000,988200000,1960
20111205,907200000,1006200000,904500000,985200000,1630
20111206,985200000,997800000,951000000,975600000,1410
20111207,1005000059.3906,1083000064,1004316059.3502,1038000061.3407,1820
20111208,1095828774.27,1149600000,1080225516.8094,1131236166.2142,1600
20111209,1102800000,1105200000,972462000,976800000,1800
20111212,1012200000,1050000000,979200000,979200000,1750
20111213,940144138.79,1009800000,898752598.1819,971342285.0692,2160
20111214,968400000,1016400000,943800000,975000000,2150
20111215,907194128.19,927000000,878988310.7553,902394159.2611,2050
20111216,843165977.55,914400000,843165977.55,892375664.5009,2110
20111219,873000000,888000000,837000000,872400000,1810
20111220,796200000,796200000,765000000,768600000,1730
20111221,750600000,772800000,662400000,664800000,2080
20111222,635400000,678000000,609900000,664200000,1760
20111223,645600000,709200000,643800000,699600000,1600
20111227,690000000,694800000,669600000,688200000,960
20111228,679800000,747000000,679800000,742800000,1430
20111229,733200000,734400000,705000000,707400000,1010
20111230,707394187.39,730200000,701994231.7647,729594004.9794,870
20120103,662400000,670200000,645000000,652200000,1600
20120104,671222896.33,682200000,625634924.82,627434450.01,1760
20120105,644400000,657000000,597000000,598692000,2230
20120106,588600000,612000000,567600000,579600000,2140
20120109,568800000,578400000,556200000,562200000,1760
20120110,528000000,544800000,517800000,538800000,1990
20120111,547800000,559200000,544800000,554400000,1740
20120112,550200000,590400000,538800000,540000000,2010
20120113,566400000,601200000,564000000,568800000,2670
20120117,532200000,566400000,514800000,560400000,2410
20120118,553200000,565800000,518400000,520794000,2630
