Date,Open,High,Low,Close,Volume
20161209,26.02,26.12,25.56,25.98,265852
20161212,29.27,29.49,26.96,27.22,1957168
20161213,28.5,28.5734,27.2,27.96,1281239
20161214,26.98,27.97,25,25.1303,4260870
20161215,24.2,25.91,24.1,25.38,3278128
20161216,25.92,26.84,25.58,26.6,2413709
20161219,26.4,27,26.02,26.24,1609447
20161220,27.49,27.75,26.8056,27.06,2395466
20161221,27.3,27.44,25.58,25.89,3055895
20161222,26.21,26.8411,25.99,25.99,1827084
20161223,25.98,26.73,25.85,26.62,2221177
20161227,27.23,28.16,27.23,27.75,1732634
20161228,28.12,28.58,27.833,27.89,1348818
20161229,27.95,28.34,27.421,27.68,1518723
20161230,27.29,27.7,27.2095,27.67,1378447
20170103,29.58,29.679,25.2,25.76,5420008
20170104,25.76,26.97,25.26,26.5944,3648274
20170105,27.47,28.13,26.15,27.47,4832960
20170106,27.91,28.28,26.92,27.37,2944491
20170109,26.23,26.23,24.6201,24.75,4907857
20170110,25.07,25.128,23.14,23.18,4783130
20170111,24.01,25.78,23.09,25.07,5881200
20170112,26.59,26.73,25.75,26.2,3706289
20170113,25.55,26.13,25.08,25.34,3306594
20170117,26.6,26.67,25.2474,25.37,2820461
20170118,23.85,25.02,23.17,23.68,7290637
20170119,24.15,24.42,23.3,23.75,3242232
20170120,25.5,25.74,24.98,25.04,5684892
20170123,23.93,24.9694,23.86,24.6,2611394
20170124,24.89,25.582,24.8802,24.91,3052805
20170125,24.44,25.49,24.28,24.57,3721578
20170126,25.38,26.26,25.25,25.9201,4229259
20170127,25.06,25.34,24.2,25.02,4077043
20170130,24.75,24.7583,23.99,24.33,2941098
20170131,25,25.55,24.26,24.55,3831241
20170201,25.21,26.0079,24.58,25.53,4553102
20170202,26.16,26.3,25.23,25.8,3032195
20170203,25.6,26.42,25.4485,25.91,2756191
20170206,25.8,25.95,24.62,24.94,4094866
20170207,23.73,23.88,23.12,23.7,7488123
20170208,23.22,24.24,22.7,23.89,4637389
20170209,24.87,24.92,24.31,24.65,3793025
20170210,25.8,26.11,25.53,25.73,5667397
20170213,24.75,24.93,24.28,24.48,3451140
20170214,25.45,25.46,24.6401,24.8,2729796
20170215,24.52,25.3,24.41,24.66,2707194
20170216,25.2,25.26,24.1,25,4046049
20170217,24.45,25.029,24.32,24.94,2745739
20170221,26.43,26.44,25.64,25.78,4094017
20170222,24.77,24.87,24.42,24.72,3443971
20170223,26.22,26.51,25.52,25.71,4354662
20170224,25.19,25.59,25.17,25.28,1793859
20170227,25.91,25.9668,25.215,25.34,2515791
20170228,24.58,25.3,24.15,25.25,8753595
20170301,25.6,25.81,24.87,24.93,5197385
20170302,23.65,24.22,23.3,23.44,10949306
20170303,23.57,24.35,23.51,24.13,4509339
20170306,24.39,24.5838,23.86,24.12,4559725
20170307,24.74,24.75,23.97,24,4227992
20170308,23.07,23.67,19.908,20.2,14446359
20170309,19.6,19.6699,18.18,19.42,9594016
20170310,19.31,19.31,17.87,18.0499,7377062
20170313,18.04,18.2913,17.7,17.99,4343097
20170314,17.06,17.61,16.62,17.54,7773187
20170315,18.09,18.6,17.78,18.4472,6692332
20170316,18.51,18.56,18.01,18.37,4631674
20170317,18.65,18.7,18.16,18.29,2538144
20170320,17.81,18.3678,17.6302,17.92,2896692
20170321,18.06,18.24,16.8999,17.12,5858914
20170322,16.59,17.23,15.9,17.0899,6089321
20170323,16.74,16.85,16.47,16.59,3624653
20170324,16.75,17,16.43,16.94,2997524
20170327,16.13,16.72,15.93,16.69,3508321
20170328,17.06,17.65,16.96,17.21,3994533
20170329,17.39,18.49,17.38,18.33,4778196
20170330,18.9,19.52,18.71,19.38,5708202
20170331,19.12,19.9,19.08,19.77,3357961
20170403,19.63,19.73,19.13,19.27,2419804
20170404,19.69,20.31,19.52,20.205,3207766
20170405,20.94,21.17,19.82,19.98,6320697
20170406,20.82,21.1,20.7114,20.95,2861722
20170407,21.22,21.67,21.1,21.56,4187627
20170410,22.3,22.69,22.1,22.6323,3582809
20170411,22.62,23.09,22.186,22.8,4558724
20170412,23.25,23.45,22.314,22.4667,5191501
20170413,22.92,23.05,22.46,22.63,2899972
20170417,22.62,22.72,22.05,22.13,1940747
20170418,21.85,22.4235,21.49,22.085,3669092
20170419,22.03,22.11,19.014,19.57,9011045
20170420,19.38,19.9,19.02,19.16,4731690
20170421,19.2,19.2,17.55,17.96,8591373
20170424,17.79,17.88,17.38,17.575,5073438
20170425,17.46,18.23,17.22,18.16,5607770
20170426,17.47,18.64,17.41,17.6401,8588735
20170427,16.97,17.59,16.49,17.52,9086901
20170428,17.77,17.95,17.1215,17.48,5273531
20170501,17.25,17.35,16.8908,17.07,3869972
20170502,17.14,17.14,15.61,15.91,10595286
20170503,16.04,16.28,15.55,15.98,7657100
20170504,15.04,15.07,13.53,13.645,15863630
20170505,13.7,14.79,13.7,14.4953,9641818
20170508,14.49,14.94,13.94,14.54,6933050
20170509,14.4,14.56,13.72,14.12,6305236
20170510,14.7,15.75,14.61,15.39,9537219
20170511,15.95,16.19,15.5501,15.75,7592807
20170512,15.84,15.94,15.33,15.81,3464944
20170515,17.34,17.3518,16.6472,16.87,6682247
20170516,17.11,17.3099,16.45,16.5299,4592170
20170517,16.97,17.45,16.5,16.9,7153410
20170518,16.58,17.55,16.46,17.23,6100436
20170519,17.96,18.46,17.9101,18.37,6585123
20170522,18.78,19.029,18.54,18.71,4283817
20170523,18.97,19.29,18.72,19.25,5117797
20170524,19.1,19.59,18.73,19.03,6043285
20170525,18.53,18.93,15.928,16.125,13808634
20170526,16.51,17.29,16.3,17.18,7004777
20170530,16.67,17.2699,16.45,16.99,4428734
20170531,15.75,16.04,15.15,15.66,10371380
20170601,15.88,16.55,15.41,15.415,9533798
20170602,14.98,15.49,14.57,15.2,7013389
