Date,Open,High,Low,Close,Volume
20210210,25.02,25.02,25,25,200000
20210211,25.03,25.05,25.025,25.025,310
20210212,25.0289,25.04,25.0289,25.035,4362
20210216,25.02,25.02,25.02,25.02,318
20210217,25.05,25.05,25.05,25.05,1
20210218,25.06,25.09,25.06,25.07,1266
20210219,25.045,25.045,25.045,25.045,20
20210222,25.0445,25.0445,25.0445,25.0445,2
20210223,25.05,25.05,25.05,25.05,34
20210224,25.035,25.035,25.035,25.035,9
20210225,24.985,24.985,24.985,24.985,8
20210301,25.02,25.02,25.02,25.02,1
20210302,25.05,25.05,25.05,25.05,2
20210303,25.025,25.025,25.025,25.025,4
20210304,25.02,25.02,25.02,25.02,4
20210305,25.04,25.04,25.035,25.035,187
20210308,25.015,25.015,25.015,25.015,5
20210309,25.025,25.025,25.025,25.025,6
20210310,25.035,25.035,25.035,25.035,11
20210312,25.015,25.015,25.015,25.015,2
20210315,25.03,25.03,25.03,25.03,1
20210316,25.02,25.02,25.02,25.02,2
20210318,25.005,25.005,25.005,25.005,1
20210319,25.015,25.015,25.015,25.015,2
20210322,24.96,24.96,24.96,24.96,50
20210323,24.97,24.97,24.97,24.97,2
20210324,24.97,24.97,24.97,24.97,3
20210325,24.975,24.975,24.975,24.975,4
20210326,24.97,24.97,24.97,24.97,42
20210331,24.93,24.93,24.93,24.93,1
20210406,24.97,24.98,24.95,24.95,1360
20210408,24.965,24.965,24.965,24.965,2
20210409,24.955,24.955,24.955,24.955,1
20210412,24.955,24.955,24.955,24.955,1
20210415,25.02,25.02,24.995,24.995,140
20210416,25.02,25.02,24.99,24.99,105
20210419,24.985,24.985,24.985,24.985,2
20210420,24.98,24.98,24.96,24.96,303
20210421,24.989,24.99,24.965,24.965,561
20210423,24.96,24.96,24.96,24.96,102
20210426,24.95,24.95,24.95,24.95,1
20210427,24.94,24.945,24.9257,24.945,600
20210429,24.935,24.935,24.935,24.935,1
20210430,24.955,24.955,24.955,24.955,2
20210503,25.01,25.01,24.98,24.98,387
20210506,25.1,25.1,24.995,24.995,280
20210507,25.1,25.1,25.01,25.01,220
20210510,25.049,25.049,25.015,25.015,300
20210511,25.0156,25.04,25.015,25.015,760
20210512,25.03,25.0321,25,25,750
20210513,25.04,25.04,25.005,25.005,200
20210517,25.05,25.05,25.015,25.015,829
20210518,25.03,25.03,25.005,25.005,390
20210521,25,25,24.97,24.97,150
20210524,24.975,24.975,24.975,24.975,40
20210526,24.985,24.985,24.985,24.985,1
20210601,24.99,24.99,24.99,24.99,133
20210602,24.99,24.99,24.99,24.99,1
20210607,24.98,25.01,24.98,25.01,300
20210609,24.99,24.99,24.99,24.99,8
20210611,25.02,25.02,25.02,25.02,1
20210615,25.04,25.04,25.02,25.02,408
20210617,25,25,25,25,5
20210621,24.97,25,24.965,24.965,23457
20210623,24.99,25.13,24.968,24.975,18833
20210624,24.98,25.02,24.98,24.985,15689
20210625,24.97,24.97,24.965,24.965,602
20210628,24.98,25.11,24.98,25,6591
20210629,24.98,24.98,24.975,24.975,281
20210630,24.99,25,24.985,24.99,4937
20210701,24.985,24.99,24.985,24.985,3646
20210707,25.039,25.05,25.039,25.045,6245
20210708,25.06,25.07,25.06,25.06,1955
20210709,25.035,25.035,25.035,25.035,1000
20210712,25.04,25.04,25.03,25.03,14875
20210714,25.03,25.03,25.03,25.03,12909
20210715,25.04,25.15,25.04,25.06,71370
20210716,25.04,25.04,25.03,25.03,150910
20210720,25.04,25.04,25.04,25.04,52
20210721,25.045,25.045,25.045,25.045,81
20210726,25.045,25.045,25.045,25.045,1
20210728,25.065,25.065,25.065,25.065,15
20210729,25.04,25.04,25.04,25.04,1
20210730,25.05,25.05,25.05,25.05,2
20210803,25.069,25.07,25.06,25.06,385
20210805,25.049,25.06,25.0458,25.05,2162
20210810,25.01,25.01,25.01,25.01,2400
20210811,25.04,25.04,25.03,25.03,122
20210818,25.06,25.35,25.06,25.065,47520
20210819,25.07,25.07,25.055,25.055,1000
20210820,25.02,25.02,25.015,25.015,413
20210823,25.02,25.04,25.019,25.0198,12455
20210824,25.011,25.02,25.01,25.015,7198
20210825,25.019,25.019,25,25.005,5427
20210826,25,25.01,25,25.01,601
20210827,25.03,25.03,25.02,25.025,858
20210830,25.035,25.035,25.035,25.035,99
20210831,25.04,25.04,25.035,25.035,2801
20210901,25.04,25.04,25.03,25.03,402
20210902,25.035,25.035,25.035,25.035,5
20210903,25.035,25.035,25.035,25.035,2
20210908,25.03,25.08,25.02,25.08,23600
20210909,25.0327,25.04,25.0327,25.04,1365
20210914,25.04,25.04,25.04,25.04,1
20210915,25.03,25.03,25.03,25.03,1
20210920,25,25,25,25,1
20210921,25.005,25.005,25.005,25.005,1
20210923,24.975,24.975,24.975,24.975,1
20210924,24.979,24.979,24.97,24.97,121
20210927,24.97,24.98,24.97,24.97,392
20210928,24.969,24.97,24.965,24.965,701
20210929,24.971,24.975,24.97,24.975,2281
20210930,24.99,24.99,24.99,24.99,1
20211001,24.99,24.995,24.9,24.995,1661
20211004,25.01,25.02,25.01,25.01,916
20211006,24.9999,24.9999,24.985,24.985,492
20211012,24.98,24.98,24.98,24.98,1
20211014,24.965,24.965,24.965,24.965,1
20211020,24.901,24.901,24.9,24.9,125
20211025,24.889,24.889,24.889,24.889,21
20211026,24.88,24.88,24.88,24.88,14
20211028,24.87,24.87,24.87,24.87,94
20211029,24.8851,24.8851,24.8851,24.8851,1
20211101,24.86,24.86,24.86,24.86,1
20211103,24.879,24.88,24.879,24.88,408
20211108,24.89,24.89,24.89,24.89,43
20211109,24.91,24.91,24.91,24.91,4
20211111,24.84,24.84,24.84,24.84,1
20211115,24.83,24.84,24.83,24.84,731
20211122,24.809,24.809,24.78,24.785,401
20211126,24.84,24.84,24.84,24.84,5
20211129,24.8148,24.8148,24.8148,24.8148,45
20211201,24.8112,24.8112,24.8112,24.8112,2
20211202,24.795,24.795,24.795,24.795,1
20211206,24.795,24.795,24.795,24.795,4
20211217,24.815,24.815,24.815,24.815,1
20211223,24.759,24.76,24.745,24.745,330
20211227,24.72,24.75,24.72,24.75,176
20211230,24.755,24.755,24.755,24.755,2
20220107,24.685,24.685,24.685,24.685,1
20220110,24.66,24.69,24.66,24.67,2106
20220112,24.68,24.68,24.68,24.68,3
20220114,24.689,24.69,24.651,24.665,710
20220119,24.6598,24.6598,24.6598,24.6598,21
20220124,24.67,24.675,24.67,24.675,182
20220125,24.665,24.665,24.665,24.665,18
20220126,24.6151,24.6151,24.6151,24.6151,3
20220128,24.6253,24.6253,24.6253,24.6253,28
20220131,24.5902,24.5902,24.5902,24.5902,3
20220201,24.6202,24.6202,24.6202,24.6202,12
20220204,24.54,24.54,24.52,24.53,800
20220210,24.4345,24.4345,24.4345,24.4345,1
20220211,24.47,24.5103,24.45,24.5103,400
20220214,24.41,24.41,24.41,24.41,500
20220215,24.44,24.44,24.4,24.44,4600
