Date,Open,High,Low,Close,Volume
20141211,23.37,23.75,23.37,23.57,21043
20141212,23.31,23.32,23.07,23.07,19281
20141215,28.22,28.22,22.83,22.94,68312
20141216,22.99,23.13,22.83,22.83,18870
20141217,22.9,23.36,22.9,23.35,35296
20141218,23.64,23.74,23.5,23.74,46142
20141219,23.93,23.93,23.75,23.88,25289
20141222,24.17,24.17,23.82,23.94,31117
20141223,24.65,24.65,23.98,23.98,19763
20141224,24.01,24.1,23.98,24.06,15409
20141226,24.16,24.21,24.11,24.18,16486
20141229,24.22,24.23,24.15,24.2,35995
20141230,24.15,24.16,24.13,24.16,17570
20141231,24.13,24.24,24.01,24.04,33460
20150102,23.98,23.98,23.71,23.82,22239
20150105,23.6,23.6,23.4,23.4,18666
20150106,23.43,23.47,22.99,23.11,148098
20150107,23.27,23.39,23.27,23.38,15575
20150108,23.6,23.88,23.6,23.86,22751
20150109,23.79,23.8,23.57,23.63,21190
20150112,24.25,24.25,23.34,23.42,20549
20150113,23.71,23.8,23.2,23.36,31205
20150114,23.19,23.31,23.06,23.31,78346
20150115,23.69,23.69,22.82,22.82,21446
20150116,22.8,23.21,22.8,23.21,11359
20150120,24.08,24.08,23.11,23.3,28491
20150121,23.2,23.35,23.2,23.23,19967
20150122,23.27,23.49,23.27,23.49,126758
20150123,23.65,23.65,23.59,23.6,10994
20150126,23.7,23.78,23.7,23.78,15018
20150127,23.59,23.79,23.59,23.7,15602
20150128,23.54,23.54,23.22,23.22,18374
20150129,23.9,23.9,23.14,23.51,13270
20150130,24,24,23.08,23.16,16879
20150202,23.67,23.67,22.93,23.28,28356
20150203,23.74,23.74,23.6,23.74,17483
20150204,23.81,23.86,23.75,23.76,15547
20150205,23.93,23.97,23.93,23.97,8184
20150206,24.02,24.12,23.96,23.96,8449
20150209,24.14,24.14,23.93,23.95,16088
20150210,23.91,24.02,23.91,24.02,8323
20150211,24.38,24.38,23.89,24.01,12538
20150212,24.16,24.28,24.16,24.23,11468
20150213,24.37,24.48,24.3,24.48,6843
20150217,24.63,24.63,24.38,24.53,17006
20150218,24.9,24.9,24.47,24.49,7848
20150219,24.49,24.66,24.49,24.61,9771
20150220,24.77,24.77,24.42,24.71,8383
20150223,24.84,24.84,24.59,24.66,16613
20150224,24.82,24.84,24.71,24.78,8767
20150225,24.75,24.84,24.74,24.8,30869
20150226,24.88,24.88,24.74,24.83,4941
20150227,24.85,24.86,24.74,24.74,6167
20150302,24.91,24.91,24.77,24.84,4755
20150303,24.78,24.78,24.74,24.75,1564
20150304,24.65,24.67,24.62,24.66,2656
20150305,24.69,24.74,24.69,24.7,2550
20150306,25.12,25.12,24.39,24.41,19296
20150309,24.37,24.51,24.34,24.47,3599
20150310,24.18,24.26,24.18,24.21,1618
20150311,24.54,24.54,24.16,24.29,3493
20150312,24.41,24.58,24.41,24.55,5045
20150313,24.65,24.65,24.31,24.46,11923
20150316,24.78,24.78,24.61,24.66,22514
20150317,24.62,24.76,24.57,24.74,11972
20150318,24.72,25.07,24.69,25.04,5216
20150319,24.98,25.03,24.95,24.98,7043
20150320,25.29,25.29,25.01,25.27,17320
20150323,25.31,25.39,25.21,25.34,3234
20150324,25.29,25.33,25.26,25.26,5193
20150325,25.22,25.22,24.67,24.67,11755
20150326,24.65,24.66,24.42,24.48,5285
20150327,24.55,24.57,24.44,24.57,3182
20150330,24.79,24.98,24.79,24.97,35059
20150331,24.96,25.01,24.83,24.83,4127
20150401,24.82,24.9,24.82,24.88,2816
20150402,25.08,25.08,24.99,25.01,1235
20150406,25.01,25.07,24.79,25.04,3451
20150407,25.12,25.12,24.95,24.95,6387
20150408,25.13,25.2,25.06,25.15,23830
20150409,25.22,25.22,25.09,25.21,11254
20150410,25.24,25.3,25.19,25.25,10453
20150413,25.33,25.34,25.19,25.19,8630
20150414,25.19,25.19,25.05,25.1,3580
20150415,25.35,25.49,25.32,25.48,4923
20150416,25.45,25.45,25.35,25.39,4074
20150417,25.11,25.11,24.91,24.96,6958
20150420,25.25,25.31,25.23,25.24,17006
20150421,25.45,25.45,25.25,25.28,5378
20150422,25.22,25.35,24.69,25.31,42043
20150423,25.37,25.58,25.37,25.52,2943
20150424,25.45,25.46,25.38,25.39,4852
20150427,25.52,25.54,25.2,25.21,5240
20150428,25.22,25.22,25.14,25.14,3051
20150429,25.05,25.09,25.01,25.06,5433
20150430,24.93,24.98,24.63,24.68,7295
