Date,Open,High,Low,Close,Volume
20100105,41.34,41.37,41.34,41.37,1259
20100106,41.05,41.05,41.05,41.05,839
20100107,40.95,40.95,40.95,40.95,559
20100108,40.88,40.88,40.88,40.88,280
20100111,40.96,40.96,40.86,40.87,945
20100112,41.29,41.29,41.28,41.28,1118
20100113,41.27,41.27,41.04,41.04,2081
20100114,41.17,41.17,41.17,41.17,259
20100115,41.77,41.77,41.69,41.69,3376
20100119,41.62,41.66,41.61,41.61,8349
20100120,41.78,41.87,41.78,41.87,2936
20100121,41.83,42.07,41.83,42.05,1553
20100122,42.03,42.14,42.03,42.09,4263
20100125,41.87,41.97,41.87,41.89,1934
20100126,42.09,42.09,41.88,41.89,6598
20100127,42.03,42.03,41.93,41.93,35194
20100128,41.64,41.81,41.64,41.77,5156
20100129,41.81,42.14,41.79,42.14,13388
20100201,42.02,42.02,41.93,41.93,2186
20100202,41.83,41.91,41.83,41.91,2187
20100203,41.76,41.76,41.55,41.58,7889
20100204,41.58,42.01,41.58,42.01,147691
20100205,42.01,42.27,42.01,42.18,4319
20100208,42.16,42.24,42.14,42.24,5653
20100209,42.09,42.14,41.88,41.88,1131
20100210,41.88,42.02,41.48,41.55,21027
20100211,41.47,41.51,41.34,41.38,4103
20100212,41.57,41.57,41.51,41.51,7921
20100216,41.38,41.65,41.38,41.65,3928
20100217,41.48,41.48,41.2,41.2,2768
20100218,41.34,41.34,40.97,41.1,18846
20100219,41.16,41.22,41.05,41.22,21145
20100222,41.17,41.17,41.14,41.14,1644
20100223,41.23,41.66,41.23,41.66,6822
20100224,41.58,41.74,41.58,41.7,8401
20100225,41.92,41.92,41.8,41.86,7061
20100226,41.98,42.14,41.95,42.12,10592
20100301,42.08,42.08,42.08,42.08,903
20100302,41.85,42,41.79,41.96,6144
20100303,41.92,42.04,41.88,42.04,3435
20100304,42.09,42.09,42.03,42.03,3021
20100305,41.6,41.71,41.52,41.63,22510
20100308,41.45,41.55,41.45,41.49,6135
20100310,41.32,41.48,41.26,41.47,6157
20100311,41.42,41.64,41.35,41.64,23528
20100312,41.36,41.73,41.36,41.68,8673
20100315,41.56,41.56,41.56,41.56,139
20100316,41.82,41.91,41.79,41.9,2976
20100317,42.14,42.19,42.02,42.19,2321
20100319,42.17,42.17,42.17,42.17,486
20100322,42.16,42.17,42.03,42.04,14802
20100323,42.03,42.06,41.92,42,6662
20100324,41.58,41.72,41.4,41.43,10116
20100325,41.14,41.34,41.02,41.07,19976
20100326,41.04,41.2,41.04,41.19,4064
20100329,41.12,41.12,41.03,41.09,7781
