Date,Open,High,Low,Close,Volume
20150311,23.91,23.91,23.91,23.91,800
20150313,24.02,24.07,23.94,24.07,900
20150317,24.3,24.3,24.3,24.3,400
20150318,24.47,24.55,24.47,24.55,800
20150323,24.77,24.77,24.77,24.77,800
20150325,24.42,24.42,24.29,24.29,1000
20150327,24.31,24.39,24.3,24.39,1300
20150330,24.63,24.69,24.63,24.67,1000
20150331,24.58,24.58,24.45,24.46,1000
20150401,24.33,24.39,24.28,24.34,1600
20150402,24.4,24.46,24.4,24.44,1000
20150406,24.44,24.66,24.44,24.62,1000
20150407,24.62,24.67,24.52,24.52,1000
20150408,24.57,24.57,24.57,24.57,100
20150409,24.48,24.63,24.48,24.63,1400
20150410,24.7,24.7,24.7,24.7,100
20150413,24.71,24.72,24.59,24.59,800
20150414,24.59,24.65,24.51,24.62,2000
20150415,24.74,24.74,24.67,24.68,2700
20150416,24.59,24.68,24.59,24.63,2000
20150420,24.58,24.58,24.58,24.58,300
20150422,24.66,24.67,24.66,24.66,500
20150430,24.33,24.33,24.31,24.33,600
20150619,24.63,24.63,24.63,24.63,211
20150714,24.79,24.79,24.79,24.79,209
20150721,24.57,24.57,24.57,24.57,522
20150730,24.67,24.68,24.67,24.67,9601
20150731,24.85,24.85,24.85,24.85,209
20150806,24.63,24.63,24.63,24.63,104
20150810,24.73,24.87,24.73,24.87,769
20150824,23.63,23.63,23.31,23.6,684
20150825,23.14,23.17,23.14,23.17,312
20150826,22.94,22.94,22.94,22.94,104
20150827,23.55,23.55,23.55,23.55,156
20150901,23.06,23.06,23.06,23.06,104
20150903,23.54,23.54,23.54,23.54,208
20150924,23.06,23.06,23.06,23.06,104
20151002,23.1,23.1,23.1,23.1,104
20151009,24.17,24.19,24.17,24.19,208
20151013,24.29,24.29,24.29,24.29,156
20151023,24.84,24.84,24.77,24.77,208
20151030,24.86,24.86,24.86,24.86,421
20151104,24.96,24.96,24.93,24.93,21305
20151105,24.93,24.94,24.92,24.92,26500
20151111,24.72,24.72,24.71,24.72,2078
20151112,24.42,24.43,24.42,24.43,1039
20151116,24.33,24.53,24.33,24.53,2703
20151117,24.64,24.64,24.64,24.64,104
20151120,25.01,25.01,25,25,9353
20151127,25.07,25.12,25.07,25.1,12445
20151201,25.19,25.19,25.16,25.17,1245
20151204,24.75,24.91,24.75,24.91,519
20151209,24.69,24.69,24.69,24.69,104
20151215,24.73,24.73,24.73,24.73,1141
20151228,24.99,24.99,24.97,24.97,10452
20151229,25.2,25.22,25.17,25.19,25039
20151230,25.18,25.18,25.07,25.07,2586
20160106,24.35,24.35,24.35,24.35,13667
20160107,24.15,24.15,23.94,23.94,414
20160108,23.94,23.94,23.94,23.94,207
20160111,23.68,23.68,23.68,23.68,259
20160119,23.69,23.69,23.69,23.69,103
20160122,23.53,23.63,23.53,23.63,620
20160128,23.72,23.72,23.71,23.71,207
20160129,23.96,23.96,23.96,23.96,103
20160216,24.21,24.21,24.2,24.21,310
20160225,24.8,24.8,24.8,24.8,100
20160226,24.85,24.86,24.85,24.85,5500
20160303,24.87,25,24.87,25,220
20160304,25.18,25.18,25.18,25.18,350
20160307,25.18,25.18,25.18,25.18,190
20160317,25.797,25.797,25.797,25.797,116
20160318,25.88,25.883,25.88,25.883,300
20160323,25.81,25.82,25.81,25.82,1638
