Date,Open,High,Low,Close,Volume
20101101,31.13,31.16,30.84,31.03,30423
20101102,31.4,31.42,31.28,31.4,66682
20101103,31.51,31.73,31.29,31.73,123851
20101104,32.45,33.47,31.87,32.33,146779
20101105,32.21,32.29,32.12,32.25,144912
20101108,32.17,32.44,31.92,32.07,149832
20101109,32.18,32.18,31.5,31.5,114280
20101110,31.61,31.65,31.26,31.61,107644
20101111,31.31,31.31,31.08,31.21,42814
20101112,31.18,31.18,30.73,30.86,71251
20101115,31.02,31.04,30.73,30.73,46806
20101116,30.59,30.59,29.96,30.13,129007
20101117,30.21,30.32,30.15,30.19,60559
20101118,30.61,30.71,30.55,30.66,40468
20101119,30.33,30.4,30.13,30.39,32676
20101122,30.15,30.26,29.81,30.15,53024
20101123,29.67,29.67,29.33,29.44,72079
20101124,29.87,29.91,29.74,29.9,63510
20101126,29.48,29.56,29.42,29.47,23249
20101129,29.42,29.55,29.21,29.53,65280
20101130,29.2,29.46,29.14,29.32,29537
20101201,29.98,30.11,29.82,30.06,30842
20101202,30.1,30.55,30.1,30.55,41845
20101203,30.42,30.68,30.36,30.65,17319
20101206,30.43,30.58,30.36,30.56,48366
20101207,30.88,30.88,30.44,30.46,56583
20101208,30.45,30.52,30.25,30.42,33219
20101209,30.51,30.51,30.27,30.4,26506
20101210,30.43,30.53,30.34,30.53,72321
20101213,30.71,30.87,30.6,30.68,120658
20101214,31.13,31.21,30.77,30.82,49018
20101215,30.76,30.8,30.42,30.47,44116
20101216,30.55,30.55,30.31,30.53,24403
20101217,30.47,30.47,30.25,30.29,16644
20101220,30.53,30.53,30.26,30.39,217556
20101221,30.77,30.77,30.6,30.65,25896
20101222,30.9,30.93,30.85,30.93,17502
20101223,31.27,31.27,30.88,30.97,319538
20101227,30.97,31.04,30.84,31.04,64391
20101228,31.13,31.13,30.94,30.98,36023
20101229,31.39,31.39,31.23,31.32,48435
20101230,31.33,31.34,31.23,31.34,32577
20101231,31.34,31.55,31.28,31.54,23785
20110103,31.93,31.93,31.64,31.73,117149
20110104,32.01,32.01,31.63,31.84,59526
20110105,31.81,32,31.79,31.98,38741
20110106,31.96,31.96,31.53,31.64,40437
20110107,31.82,31.82,31.32,31.53,38828
20110110,31.44,31.44,31.17,31.4,54371
20110111,31.65,31.65,31.45,31.52,40408
20110112,31.97,32.02,31.79,32,41990
20110113,32.44,32.44,31.96,32.01,37311
20110114,31.95,32.1,31.88,32.07,40046
20110118,32.21,32.21,31.94,32.05,62954
20110119,32.3,32.3,31.8,31.91,89786
20110120,31.79,31.79,31.38,31.57,33107
20110121,31.81,31.81,31.48,31.53,26240
20110124,31.64,31.8,31.48,31.74,58334
20110125,31.67,31.73,31.47,31.73,37536
20110126,31.91,31.91,31.73,31.86,23692
20110127,31.78,31.78,31.56,31.69,212863
20110128,31.69,31.69,30.97,31.05,74617
20110131,31.58,31.58,31.1,31.22,20005
20110201,31.57,31.77,31.39,31.7,86648
20110202,31.92,31.92,31.56,31.68,25969
20110203,31.85,31.85,31.55,31.78,45806
20110204,31.92,31.92,31.54,31.79,39241
20110207,32.1,32.1,31.58,31.74,36008
20110208,32.03,32.03,31.48,31.72,28272
20110209,31.68,31.68,31.11,31.25,41738
20110210,31.28,31.39,30.68,30.97,34211
20110211,31.33,31.33,30.54,30.95,25274
20110214,31.23,31.23,31.05,31.15,29272
20110215,31.03,31.04,30.88,30.92,37907
20110216,30.94,31.32,30.94,31.27,38346
20110217,31.32,31.51,31.25,31.48,22369
20110218,31.59,31.6,31.42,31.55,13586
20110222,31.1,31.1,30.61,30.66,42274
20110223,30.66,30.87,30.54,30.78,23326
20110224,30.9,30.9,30.48,30.77,20412
20110225,31.14,31.28,31.09,31.28,29314
20110228,31.43,31.63,31.43,31.57,19957
20110301,31.81,31.81,31.25,31.32,136785
20110302,31.42,31.54,31.29,31.4,262144
20110303,31.72,31.88,31.57,31.85,89097
20110304,31.89,31.9,31.55,31.74,102302
20110307,32.1,32.1,31.43,31.49,26461
20110308,31.55,31.74,31.55,31.64,21395
20110309,31.79,31.79,31.6,31.75,26340
20110310,31.38,31.38,31.01,31.07,30725
20110311,30.76,31.14,30.76,31.12,15523
20110314,30.48,30.54,30.27,30.54,34519
20110315,29.2,29.8,28.92,29.73,228648
20110316,29.56,29.61,28.78,29.05,58892
20110317,29.66,29.86,29.56,29.77,18801
20110318,30.21,30.44,30.21,30.39,8623
20110321,30.74,31.15,30.74,31.12,78639
20110322,31.07,31.07,30.79,30.94,71995
20110323,30.91,31.2,30.7,31.14,98020
20110324,31.38,31.46,31.1,31.43,45211
20110325,31.24,31.34,31.12,31.12,62192
