Date,Open,High,Low,Close,Volume
20040130,38.08,38.31,38.08,38.28,14699
20040202,38.42,38.62,38.2,38.55,9026
20040203,38.38,38.47,38.35,38.4,5288
20040204,38.24,38.24,37.97,37.97,3353
20040205,38,38.12,38,38.07,903
20040206,38.31,38.73,38.31,38.73,6963
20040209,38.86,38.86,38.78,38.8,14699
20040210,38.88,38.97,38.86,38.89,3096
20040211,38.95,39.32,38.9,39.32,4900
20040212,39.32,39.35,39.25,39.28,9930
20040213,39.31,39.31,38.87,38.87,11734
20040217,39.11,39.45,39.11,39.43,5932
20040218,39.45,39.45,39.17,39.17,6964
20040219,39.49,39.49,39.03,39.03,6964
20040220,38.68,38.78,38.53,38.78,6576
20040223,38.84,38.84,38.46,38.46,3481
20040224,38.28,38.52,38.23,38.39,6449
20040225,38.53,38.73,38.53,38.73,3481
20040226,38.63,39,38.63,38.95,2580
20040227,39.11,39.3,38.97,39.3,6835
20040301,39.49,39.75,39.42,39.71,132028
20040302,39.76,39.8,39.56,39.56,7996
20040303,39.52,39.52,39.45,39.45,1934
20040304,39.56,39.73,39.56,39.71,5416
20040305,39.57,39.92,39.56,39.92,2709
20040308,39.9,39.9,39.45,39.45,9543
20040309,39.28,39.28,39.28,39.28,258
20040310,39.1,39.1,38.47,38.47,4902
20040311,38.35,38.52,37.94,37.94,6191
20040312,38.07,38.42,38.06,38.41,5030
20040315,38.45,38.45,37.93,37.93,6834
20040316,38.13,38.18,37.83,38.06,5418
20040317,38.34,38.66,38.34,38.66,5933
20040318,38.55,38.56,38.37,38.39,3224
20040319,38.55,38.62,38.28,38.28,3224
20040322,37.94,37.94,37.62,37.65,6706
20040323,37.85,37.85,37.59,37.76,2708
20040324,37.69,37.72,37.49,37.49,3997
20040325,37.84,38.16,37.84,38.16,516
20040326,38.3,38.48,38.3,38.48,4513
20040329,38.51,38.8,38.51,38.65,6705
20040330,38.73,39.03,38.7,39.03,3741
20040331,39.03,39.2,38.95,39.2,7478
20040401,39.3,39.38,39.24,39.28,2322
20040402,39.79,39.79,39.61,39.67,6189
20040405,39.69,39.74,39.64,39.71,5545
20040406,39.63,39.73,39.56,39.59,7609
20040407,39.45,39.49,39.44,39.49,1935
20040408,39.82,39.82,39.4,39.45,5029
20040412,39.59,39.59,39.36,39.45,3998
20040413,39.6,39.6,38.97,39.02,5131
20040414,38.69,38.91,38.48,38.48,3741
20040415,38.45,38.45,38.45,38.45,516
20040416,38.58,38.83,38.58,38.8,2192
20040419,38.62,38.69,38.62,38.65,2450
20040420,38.94,39.07,38.39,38.41,7479
20040421,38.28,38.58,38.26,38.58,5158
20040422,38.72,39.27,38.72,39.23,3741
20040423,39.21,39.27,39.05,39.18,5545
20040426,39.27,39.36,39.18,39.18,25880
20040427,39.17,39.23,39.03,39.03,3739
20040428,38.71,38.71,38.46,38.49,6448
20040429,38,38,37.69,37.82,2579
20040430,37.91,37.91,37.55,37.59,1930
20040503,37.54,37.9,37.54,37.77,5029
20040504,37.85,38.14,37.85,37.96,2837
20040505,37.99,38.13,37.99,38.13,2192
20040506,37.85,37.9,37.52,37.61,3740
20040507,37.67,37.82,37.05,37.14,5029
20040510,36.84,36.84,36.29,36.29,7479
20040511,36.55,36.91,36.55,36.81,2708
20040512,36.93,36.93,36.3,36.3,3467
20040513,36.93,36.97,36.93,36.97,774
20040514,36.99,37.03,36.99,37.03,387
20040517,36.47,36.6,36.39,36.4,2708
20040518,36.61,36.78,36.61,36.72,2321
20040519,37.21,37.36,36.94,36.94,4127
20040520,36.74,36.74,36.66,36.69,903
20040521,36.86,37,36.78,36.86,15085
20040524,37.2,37.2,37.09,37.17,7608
20040525,37.16,37.85,37.16,37.85,3096
20040526,38.02,38.13,38.02,38.04,1290
20040527,38.37,38.42,38.07,38.22,3610
20040528,38.33,38.5,38.33,38.5,3353
20040601,38.49,38.51,38.41,38.43,2451
20040602,38.66,38.68,38.44,38.62,9541
20040603,38.41,38.44,38.28,38.28,2709
20040604,38.42,38.55,38.38,38.52,7995
20040607,38.61,38.92,38.61,38.92,1935
20040608,38.95,39,38.89,38.98,2193
20040609,38.98,38.98,38.68,38.68,1032
20040610,38.58,38.75,38.58,38.66,5932
20040614,38.61,38.61,38.25,38.28,5803
20040615,38.51,38.73,38.47,38.52,7094
20040617,38.46,38.59,38.46,38.59,387
20040618,38.66,38.79,38.66,38.72,2709
20040621,38.77,38.8,38.7,38.7,16632
20040622,38.6,38.87,38.54,38.87,21404
20040623,38.74,39.15,38.74,39.15,5288
20040624,39.26,39.4,39.26,39.4,2966
20040625,39.36,39.36,39.21,39.21,2579
20040628,39.51,39.51,39.33,39.33,3353
20040630,39.26,39.27,39.21,39.27,1935
20040701,39.27,39.27,39,39.13,7480
20040702,38.97,39,38.97,38.98,1161
20040706,38.8,38.8,38.52,38.53,5029
20040707,38.38,38.72,38.38,38.52,2966
20040708,38.39,38.44,38.2,38.2,1161
20040709,38.3,38.3,38.13,38.13,903
20040712,38.3,38.3,37.96,38.2,3095
20040714,38.08,38.08,38.08,38.08,258
20040715,38.23,38.28,38.19,38.28,4771
20040716,38.32,38.38,38.07,38.07,7221
20040719,38.07,38.07,37.93,38.04,5029
20040720,38.07,38.22,37.97,38.22,2838
20040721,38.55,38.55,37.81,37.81,6319
20040722,37.57,37.65,37.41,37.52,3997
20040723,37.23,37.38,37.15,37.3,7479
20040726,37.33,37.33,36.89,36.9,4514
20040727,36.94,37.12,36.94,37.12,2192
20040728,37,37,36.84,36.84,1290
20040729,37.45,37.67,37.41,37.67,2322
20040730,37.6,37.75,37.6,37.75,2579
20040802,37.48,37.75,37.45,37.75,7220
20040803,37.68,37.69,37.49,37.49,1290
20040804,37.31,37.43,37.17,37.36,2580
20040805,37.36,37.37,36.71,36.77,3352
20040806,36.45,36.45,36.07,36.1,15730
20040809,36.27,36.27,36.17,36.17,6706
20040810,36.31,36.57,36.31,36.48,11605
20040811,36.38,36.45,36.35,36.35,2837
20040812,36.17,36.17,35.98,36,7351
20040813,35.99,36.04,35.9,35.9,1806
20040816,36.14,36.14,36.14,36.14,6576
20040817,36.76,36.8,36.76,36.76,2451
20040818,36.71,37.26,36.71,37.26,18696
20040819,37.1,37.21,37.03,37.03,6317
20040820,37.03,37.49,37.03,37.49,1548
20040823,37.58,37.58,37.39,37.39,7221
20040824,37.58,37.58,37.25,37.33,2580
20040825,37.39,37.66,37.38,37.66,1419
20040826,37.69,37.74,37.61,37.74,3353
20040827,37.78,37.92,37.78,37.92,2063
20040830,37.85,37.85,37.61,37.67,1677
20040831,37.62,37.65,37.51,37.51,4772
20040901,37.92,37.95,37.8,37.9,3869
20040902,38,38.3,38,38.3,1677
20040903,38.21,38.22,38.15,38.22,1161
20040907,38.48,38.58,38.44,38.46,3740
20040908,38.47,38.47,38.28,38.28,1677
20040909,38.29,38.44,38.27,38.44,1548
20040910,38.52,38.65,38.52,38.65,645
20040913,38.73,38.93,38.73,38.76,17277
20040914,38.9,38.9,38.76,38.85,3482
20040915,38.7,38.7,38.61,38.61,2320
20040916,38.74,38.93,38.74,38.84,1935
20040917,39,39.03,38.97,38.97,1032
20040920,38.9,39,38.86,38.86,1161
20040921,38.95,39.16,38.93,39.16,6577
20040922,39,39,38.78,38.79,6835
20040923,38.78,38.78,38.62,38.73,4514
20040924,38.75,38.83,38.74,38.77,2966
20040927,38.5,38.62,38.5,38.59,8123
20040928,38.59,38.74,38.59,38.74,903
20040929,38.86,38.88,38.8,38.83,9929
20040930,38.99,39.09,38.9,39.09,516
20041001,39.55,39.76,39.55,39.71,4514
20041004,40.01,40.14,39.96,40.01,18825
20041005,39.87,39.92,39.75,39.82,3999
20041006,39.83,39.97,39.83,39.97,6964
20041007,40.03,40.03,39.71,39.71,2838
20041008,39.65,39.72,39.38,39.42,5288
20041011,39.4,39.43,39.4,39.4,1806
20041012,39.32,39.32,39.11,39.22,3481
20041013,39.18,39.18,39.01,39.01,1290
20041014,38.83,38.95,38.83,38.84,2580
20041015,38.97,39.1,38.81,39.02,3612
20041018,39.01,39.13,39.01,39.13,3739
20041019,39.34,39.34,39.14,39.14,774
20041020,38.78,39.02,38.68,39.02,2709
20041021,39.07,39.45,39.07,39.42,2967
20041022,39.42,39.42,39.14,39.14,3869
20041025,39.09,39.25,39.09,39.24,2193
20041026,39.34,39.67,39.24,39.66,206987
20041027,39.69,40.1,39.62,40.1,4514
20041028,40.15,40.21,39.87,40.21,7865
20041029,40.07,40.32,40.07,40.24,4901
20041101,40.42,40.42,40.24,40.32,23598
20041102,40.32,40.64,40.32,40.35,20632
20041103,40.91,40.95,40.75,40.8,9671
20041104,40.87,41.43,40.84,41.43,7737
20041105,41.61,41.76,41.46,41.57,26178
20041108,41.48,41.56,41.48,41.49,9543
20041109,41.57,41.61,41.49,41.61,8899
20041110,41.62,41.8,41.59,41.68,8640
20041111,41.69,42.05,41.69,42.05,13538
20041112,42.16,42.54,42.07,42.54,7867
20041115,42.58,42.64,42.5,42.56,22307
20041116,42.48,42.55,42.39,42.39,12509
20041117,42.67,42.91,42.5,42.5,16506
20041118,42.7,42.71,42.47,42.71,7609
20041119,42.81,42.81,42.31,42.32,12510
20041122,42.37,42.7,42.25,42.7,4772
20041123,42.77,42.96,42.66,42.87,7609
20041124,43.06,43.19,43.02,43.19,11348
20041126,43.43,43.45,43.37,43.37,4128
20041129,43.56,43.56,42.91,43.25,5675
20041130,43.24,43.24,43.07,43.17,21403
20041201,43.33,43.67,43.33,43.67,9929
20041202,43.63,43.63,43.39,43.49,6061
20041203,43.51,43.67,43.51,43.64,8253
20041206,43.67,43.68,43.43,43.6,15343
20041207,43.7,43.7,43.07,43.07,25660
20041208,43.01,43.26,43.01,43.12,6706
20041209,42.98,43.43,42.95,43.43,4643
20041210,43.43,43.61,43.37,43.54,6061
20041213,43.77,43.85,43.63,43.85,7093
20041214,43.94,44.16,43.86,44.15,9027
20041215,44.21,44.42,44.15,44.42,18183
20041216,44.44,44.44,44.08,44.12,10960
20041217,44.17,44.22,44,44.22,10573
20041220,44.26,44.36,44.1,44.12,5675
20041221,44.26,44.52,44.26,44.46,9027
20041222,44.6,44.67,44.54,44.63,7610
20041223,44.64,44.7,44.56,44.56,31978
20041227,44.75,44.75,44.31,44.41,14529
20041228,44.42,44.71,44.42,44.71,7136
20041229,44.78,44.87,44.68,44.87,11214
20041230,44.9,44.97,44.78,44.96,7262
20041231,44.89,45.14,44.89,44.98,9682
20050103,45.06,45.08,44.25,44.26,12865
20050104,44.31,44.32,43.51,43.51,21789
20050105,43.58,43.59,43.08,43.08,24472
20050106,43.14,43.44,43.08,43.37,10577
20050107,43.38,43.38,43.04,43.28,248873
20050110,43.22,43.51,43.16,43.33,15166
20050111,43.36,43.36,43.02,43.11,8156
20050112,43.19,43.31,42.76,43.31,12614
20050113,43.3,43.55,43.3,43.48,5861
20050114,43.42,43.59,43.42,43.54,12493
20050118,43.61,43.94,43.61,43.94,1324832
20050119,43.99,43.99,43.63,43.63,7008
20050120,43.52,43.52,43.32,43.35,1298952
20050121,43.49,43.5,43.16,43.16,13511
20050124,43.24,43.24,42.78,42.78,9940
20050125,43.09,43.09,42.86,42.86,1294361
20050126,43.04,43.19,42.89,43.19,13508
20050127,43.22,43.4,43.22,43.34,8666
20050128,43.33,43.33,42.98,43.15,1246293
20050131,43.35,43.7,43.35,43.69,15674
20050201,43.62,44.01,43.62,43.97,10063
20050202,44.16,44.25,44.09,44.25,4077
20050203,44.12,44.16,44.04,44.13,5350
20050204,44.32,44.8,44.32,44.8,18735
20050207,44.85,44.93,44.68,44.75,16440
20050208,44.74,44.84,44.66,44.78,12491
20050209,44.78,44.86,44.28,44.28,23836
20050210,44.49,44.53,44.33,44.51,813311
20050211,44.55,45.02,44.45,45,16314
20050214,45.08,45.08,44.86,45,14017
20050215,44.89,45.27,44.89,45.18,26252
20050216,45.03,45.33,45.01,45.22,6114
20050217,45.37,45.37,45,45.01,13251
20050218,45.06,45.11,44.96,45.06,8790
20050222,45.04,45.04,44.29,44.34,15162
20050223,44.57,44.61,44.42,44.61,23954
20050224,44.64,45.01,44.58,44.95,8154
20050225,45.05,45.57,45,45.48,9431
20050228,45.6,45.61,45.07,45.33,28163
20050301,45.44,45.62,45.44,45.58,15166
20050302,45.34,45.74,45.28,45.58,10448
20050303,45.77,45.78,45.45,45.68,23962
20050304,45.8,46.25,45.8,46.19,40915
20050307,46.29,46.49,46.28,46.41,37862
20050308,46.42,46.42,46.1,46.12,11213
20050309,46.15,46.15,45.56,45.57,15422
20050310,45.52,45.52,45.11,45.4,8793
20050311,45.62,45.69,45.3,45.4,19883
20050314,45.53,45.6,45.48,45.57,28556
20050315,45.88,45.92,45.4,45.48,9428
20050316,45.33,45.34,44.99,45.01,11595
20050317,45.1,45.26,45.01,45.24,8664
20050318,45.24,45.24,44.83,45.03,15930
20050321,44.91,44.93,44.71,44.87,15040
20050322,44.96,45.25,44.63,44.63,9935
20050323,44.59,44.59,44.33,44.39,164976
20050324,44.47,44.74,44.47,44.53,10956
20050328,44.63,44.63,44.45,44.45,7134
20050329,44.35,44.58,43.93,43.93,10959
20050330,44.08,44.53,44.06,44.53,12235
20050331,44.55,44.91,44.55,44.8,212786
