Date,Open,High,Low,Close,Volume
20040929,32.29,32.39,32.29,32.39,38391
20040930,32.45,32.45,32.45,32.45,152
20041006,33.56,33.56,33.56,33.56,30469
20041008,33.67,33.67,33.67,33.67,305
20041011,33.51,33.51,33.4,33.4,3046
20041019,33.13,33.13,33.13,33.13,152
20041020,33.04,33.04,32.94,32.94,456
20041021,32.79,32.9,32.72,32.9,5025
20041022,32.68,32.7,32.62,32.62,1066
20041025,32.27,32.27,32.27,32.27,305
20041026,32.6,32.6,32.55,32.55,304
20041027,32.89,32.94,32.89,32.94,15234
20041028,32.98,33.14,32.98,33.06,1828
20041029,33.27,33.33,33.27,33.29,1675
20041101,33.19,33.58,33.19,33.58,27877
20041102,33.72,33.92,33.71,33.75,63674
20041103,33.94,34.02,33.92,33.92,5179
20041104,34.2,34.28,34.2,34.28,457
20041105,34.51,34.53,34.51,34.53,4418
20041108,34.59,34.65,34.59,34.65,761
20041109,34.51,34.59,34.47,34.59,9901
20041110,34.72,34.89,34.7,34.72,7923
20041111,34.82,35.04,34.8,35.04,16301
20041112,34.97,35.07,34.97,35.07,1828
20041115,35.43,35.43,35.06,35.12,31381
20041116,35.06,35.1,34.95,35.03,16300
20041117,35.53,35.53,34.97,34.97,20110
20041118,35.09,35.24,35.09,35.23,761
20041119,34.95,34.95,34.78,34.78,15386
20041122,34.88,34.99,34.88,34.99,761
20041123,34.77,34.9,34.73,34.79,56671
20041124,34.81,34.81,34.72,34.78,4112
20041126,35.03,35.03,34.97,35.01,27420
20041129,35.24,35.24,34.95,35.15,42960
20041130,35.09,35.09,34.92,35.04,79522
20041201,35.39,35.56,35.39,35.56,5941
20041202,36.06,36.42,36.06,36.1,14927
20041203,36.09,36.23,36.04,36.09,18279
20041206,35.94,35.94,35.86,35.93,1371
20041207,35.95,35.95,35.55,35.55,8531
20041208,35.27,35.41,35.27,35.3,96432
20041209,35.11,35.56,35.05,35.56,40370
20041210,35.58,35.58,35.58,35.58,457
20041213,36.04,36.04,35.93,36.04,3045
20041214,36.1,36.12,35.91,36.06,40676
20041215,36.15,36.15,35.85,35.95,26811
20041216,36.05,36.05,36.05,36.05,609
20041217,36.08,36.08,35.99,36.03,762
20041220,36.27,36.27,36.27,36.27,152
20041221,36.21,36.3,36.21,36.29,762
20041222,36.41,36.5,36.41,36.47,3628
20041223,36.5,36.5,36.46,36.5,3176
20041227,36.4,36.4,36.4,36.4,151
20041228,36.29,36.46,36.29,36.46,31151
20041229,36.5,36.5,36.45,36.47,1663
20041230,36.48,36.52,36.39,36.52,4688
20041231,36.39,36.45,36.31,36.31,1360
20050103,36.47,36.6,36.23,36.23,1813
20050104,36.09,36.09,36.09,36.09,151
20050105,35.81,35.82,35.63,35.64,8165
20050106,35.73,35.73,35.68,35.68,3477
20050107,35.81,35.88,35.81,35.88,2570
20050110,35.63,35.7,35.49,35.49,1662
20050111,35.47,35.47,35.47,35.47,605
