Date,Open,High,Low,Close,Volume
20140122,22.46,22.55,22.46,22.54,27534
20140123,22.35,22.35,22.35,22.35,258
20140124,22.01,22.01,22.01,22.01,111
20140127,21.85,21.87,21.75,21.85,37218
20140128,21.87,21.88,21.79,21.88,7645
20140129,21.81,21.81,21.68,21.69,12350
20140130,21.89,21.89,21.86,21.89,35702
20140131,21.75,21.82,21.75,21.78,13236
20140203,21.16,21.17,21.16,21.17,5281
20140204,21.24,21.28,21.22,21.24,6391
20140205,21.17,21.22,21.13,21.13,6990
20140206,21.33,21.38,21.33,21.38,10410
20140207,21.54,21.55,21.54,21.55,236
20140210,21.55,21.56,21.55,21.56,687
20140211,21.8,21.8,21.8,21.8,829
20140212,21.85,21.93,21.84,21.84,4530
20140213,21.96,21.96,21.96,21.96,111
20140214,22.04,22.21,22.04,22.21,1753
20140218,22.17,22.35,22.1,22.31,7109
20140219,22.27,22.3,22.14,22.14,4116
20140220,22.31,22.34,22.31,22.34,2011
20140221,22.38,22.38,22.38,22.38,315
20140224,22.48,22.57,22.48,22.49,16403
20140225,22.46,22.52,22.44,22.44,35153
20140226,22.55,22.61,22.49,22.51,20290
20140227,22.49,22.58,22.49,22.57,250373
20140228,22.66,22.73,22.61,22.61,86912
20140303,22.45,22.56,22.43,22.47,63474
20140304,22.84,22.9,22.82,22.89,219413
20140305,22.84,22.84,22.81,22.82,82321
20140306,22.96,22.96,22.88,22.88,71907
20140307,22.96,22.97,22.85,22.91,156842
20140310,22.86,22.9,22.86,22.9,59445
20140311,22.85,22.85,22.67,22.7,69625
20140312,22.65,22.74,22.65,22.72,123608
20140313,22.76,22.76,22.47,22.51,69176
20140314,22.63,22.66,22.56,22.57,170052
20140317,22.8,22.8,22.73,22.75,31499
20140318,22.83,22.98,22.83,22.96,96389
20140319,22.98,22.98,22.76,22.79,24769
20140320,22.89,22.95,22.88,22.92,29380
20140321,23.05,23.13,22.83,22.83,29392
20140324,22.85,22.85,22.74,22.81,38472
20140325,22.94,22.94,22.83,22.88,35389
20140326,22.9,22.9,22.72,22.72,61556
20140327,22.66,22.74,22.53,22.61,62965
20140328,22.83,22.89,22.73,22.74,91188
20140331,22.91,23.06,22.91,23.06,54559
20140401,23.15,23.19,23.1,23.13,57965
20140402,23.27,23.34,23.27,23.34,33560
20140403,23.33,23.33,23.2,23.26,66375
20140404,23.4,23.4,22.96,23,133429
20140407,22.83,22.9,22.7,22.78,149003
20140408,22.7,22.88,22.7,22.88,80155
20140409,22.89,23.04,22.86,23.04,76064
20140410,23.01,23.04,22.59,22.63,32977
20140411,22.42,22.55,22.34,22.37,29160
20140414,22.4,22.57,22.4,22.49,47864
20140415,22.57,22.64,22.3,22.64,43359
20140416,22.7,22.76,22.7,22.74,107355
20140417,22.72,22.92,22.72,22.84,24118
20140421,22.89,22.95,22.84,22.93,68291
20140422,23.02,23.13,23.02,23.1,45424
20140423,23.08,23.11,23.07,23.09,87048
20140424,23.14,23.14,22.97,23.02,75113
20140425,22.93,22.96,22.75,22.83,117951
20140428,22.75,22.93,22.58,22.84,85127
20140429,22.92,22.92,22.83,22.84,176830
20140430,22.81,22.96,22.8,22.96,94632
20140501,22.84,23.01,22.84,22.85,136678
20140502,23.06,23.06,22.96,22.96,182605
20140505,22.85,22.96,22.84,22.94,48384
20140506,22.88,22.88,22.77,22.77,38311
20140507,22.67,22.83,22.67,22.83,53207
20140508,23.02,23.02,22.71,22.78,46666
20140509,22.76,22.9,22.74,22.9,45100
20140512,22.96,23.23,22.96,23.23,122827
20140513,23.19,23.22,23.11,23.12,113817
20140514,22.97,23,22.86,22.86,154487
20140515,22.56,22.71,22.56,22.68,82344
20140516,22.63,22.77,22.62,22.77,221466
20140519,22.83,23.27,22.83,22.88,49168
20140520,22.74,22.75,22.62,22.68,56437
20140521,22.77,22.81,22.74,22.81,79702
20140522,22.87,22.93,22.87,22.89,56971
20140523,22.94,23.01,22.94,23.01,30972
20140527,23.15,23.2,23.12,23.12,53392
20140528,23.06,23.15,23.06,23.15,53808
20140529,23.11,23.21,23.11,23.21,50434
20140530,23.25,23.25,23.18,23.21,270177
20140602,23.11,23.21,23.11,23.19,42938
20140603,23.22,23.22,23.09,23.16,70992
20140604,23.16,23.24,23.16,23.21,43295
20140605,23.24,23.52,23.24,23.48,78361
20140606,23.66,23.69,23.64,23.64,22142
20140609,23.72,23.77,23.71,23.73,49698
20140610,23.74,23.74,23.62,23.66,117447
20140611,23.63,23.63,23.55,23.61,211098
20140612,23.53,23.53,23.42,23.44,64327
20140613,23.44,23.53,23.44,23.51,29239
20140616,23.55,23.58,23.54,23.56,62803
20140617,23.56,23.7,23.56,23.69,48079
20140618,23.69,23.8,23.66,23.8,35383
20140619,23.82,23.86,23.79,23.86,40985
20140620,23.88,23.92,23.85,23.91,79073
20140623,23.97,23.97,23.88,23.88,50636
20140624,23.88,23.97,23.69,23.73,44906
20140625,23.66,23.81,23.66,23.81,136977
20140626,23.67,23.76,23.67,23.76,87949
20140627,23.74,23.88,23.74,23.88,131654
20140630,23.89,23.94,23.89,23.94,69834
