Date,Open,High,Low,Close,Volume
20181129,24.49,24.68,24.49,24.65,506
20181203,25.92,25.92,25.92,25.92,405
20181204,25.67,25.67,24.11,24.11,374
20181206,22.4,23.46,22.4,23.46,3439
20181207,23.19,23.19,21.44,21.44,606
20181210,20.94,21.28,20.94,21.28,232
20181211,21.7,21.7,21.7,21.7,30
20181212,22.83,23.12,22.83,23.12,369
20181213,22.59,22.59,21.75,21.78,1526
20181214,21.51,21.51,21.09,21.09,586
20181217,20.12,20.12,20.12,20.12,536
20181218,19.842,19.842,19.842,19.842,940
20181219,20.33,20.49,19.796,19.796,1547
20181220,17.933,18.352,17.304,17.344,1502
20181221,16.197,16.197,16.197,16.197,30
20181224,15.525,15.525,15.525,15.525,131
20181226,16.068,17.927,16.018,17.927,1951
20181227,17.492,17.917,16.494,17.892,3671
20181228,18.56,18.57,18.169,18.254,2152
20181231,18.699,18.699,18.613,18.654,1354
20190102,17.658,19.165,17.658,19.084,6173
20190103,18.389,18.689,17.987,17.987,4210
20190104,18.966,19.964,18.936,19.796,3720
20190107,20.43,21.36,20.22,21.07,4749
20190108,22.3,22.3,21.17,21.76,5442
20190109,22.05,22.32,21.57,22.32,6189
20190110,21.55,21.89,21.05,21.78,4055
20190111,21.93,21.93,21.93,21.93,131
20190114,21.87,21.87,21.22,21.78,1907
20190115,21.89,22.16,21.67,22.08,9116
20190116,22.39,22.39,22.05,22.05,2279
20190117,21.9,22.58,21.89,22.38,11427
20190118,22.78,23.61,22.78,23.23,10274
20190122,23.36,23.36,21.75,22.24,21530
20190123,22.85,22.85,22.28,22.37,879
20190124,22.37,22.7,22.35,22.67,1200
20190125,24.59,24.59,23.34,23.37,4125
20190128,22.98,22.98,22.41,22.9,2904
20190129,22.56,22.56,22.56,22.56,1671
20190130,23.24,23.83,23.23,23.77,1141
20190131,23.83,24.55,23.83,24.55,2407
20190201,24.07,24.07,23.33,23.43,3333
20190204,23.33,23.85,23.33,23.84,4772
20190205,24.54,24.64,24.49,24.58,2815
