Date,Open,High,Low,Close,Volume
20181004,75.06,75.06,75.03,75.03,533
20181005,74.76,74.76,74.76,74.76,67
20181010,74.76,74.76,74.76,74.76,33
20181012,75,75,75,75,33
20181015,74.94,74.94,74.94,74.94,67
20181019,74.61,74.61,74.61,74.61,67
20181022,74.52,74.52,74.52,74.52,33
20181025,74.7,74.7,74.7,74.7,174
20181026,74.85,74.85,74.85,74.85,33
20181031,74.43,74.43,74.25,74.25,300
20181101,74.34,74.4,74.34,74.35,223
20181102,74.25,74.25,74.15,74.15,95
20181105,74.25,74.25,74.25,74.25,33
20181107,74.43,74.43,74.37,74.37,168
20181108,74.13,74.13,74.13,74.13,13356
20181109,74.09,74.19,74.09,74.19,232
20181113,74.13,74.19,74.13,74.19,100
20181115,74.1,74.1,74.1,74.1,33
20181119,74.46,74.49,74.46,74.49,100
20181129,74.43,74.43,74.43,74.43,33
20181203,74.48,74.48,74.48,74.48,66
20181204,74.72,74.72,74.72,74.72,66
20181207,74.9,74.9,74.84,74.84,100
20181210,74.9,74.9,74.9,74.9,66
20181212,74.93,74.93,74.91,74.91,99
20181213,75.08,75.08,75.08,75.08,126
20181217,75.23,75.23,75.23,75.23,95
20181219,75.79,76.02,75.79,75.94,198
20181220,75.9,75.9,75.78,75.78,165
20181221,75.62,75.62,75.62,75.62,33
20181226,75.59,75.59,75.59,75.59,33
20181227,75.71,75.71,75.71,75.71,130
20181228,75.83,75.83,75.83,75.83,50
20190102,76.65,76.65,76.65,76.65,33
20190103,76.52,76.56,76.52,76.56,293
20190104,76.38,76.38,76.38,76.38,133
20190107,76.8,76.8,76.76,76.76,179
20190108,76.92,76.92,76.92,76.92,33
20190109,76.75,76.75,76.74,76.75,133
20190110,77.1,77.1,76.8,76.8,545
20190111,76.92,76.92,76.92,76.92,66
20190115,76.8,76.83,76.8,76.83,241
20190116,76.83,76.83,76.83,76.83,424
20190117,76.41,76.41,76.41,76.41,125
20190118,76.77,76.8,76.77,76.8,259
20190122,77.1,77.19,77.1,77.14,132
20190123,77.13,77.13,77.13,77.13,59906
20190125,77.13,77.13,77.13,77.13,33
20190131,78.11,78.13,78.08,78.13,231
20190201,78.07,78.07,77.95,77.95,198
20190204,77.86,77.86,77.86,77.86,99
20190206,78.16,78.16,78.16,78.16,99
20190208,78.1,78.1,78.1,78.1,33
20190211,77.92,77.92,77.92,77.92,462
20190213,77.8,77.8,77.8,77.8,100
20190215,77.83,77.83,77.83,77.83,66
20190225,78.1,78.1,78.01,78.01,132
20190226,78.65,78.65,78.36,78.36,495
20190227,78.24,78.24,78.22,78.22,162
20190304,77.95,77.95,77.95,77.95,99
20190305,77.78,77.92,77.77,77.92,264
20190313,78.32,78.37,78.31,78.37,658
20190314,78.34,78.34,78.31,78.31,165
20190315,78.56,78.56,78.56,78.56,448
20190318,78.52,78.52,78.52,78.52,132
20190319,78.89,78.89,78.89,78.89,33
20190320,78.77,79.44,78.77,79.16,522
20190321,79.53,79.53,79.53,79.53,33
20190326,79.65,79.65,79.65,79.65,527
20190327,79.83,79.83,79.8,79.8,362
20190328,79.47,79.47,79.44,79.47,8482
20190329,79.47,79.47,79.47,79.47,294
20190401,79.26,79.26,79.26,79.26,251
20190402,79.49,79.51,79.48,79.51,296
20190403,79.32,79.35,79.29,79.29,723
20190405,79.81,79.81,79.81,79.81,33
20190409,79.69,79.69,79.66,79.66,137
20190410,79.79,79.9,79.78,79.9,4016
20190411,79.75,79.76,79.75,79.75,910
20190412,79.49,79.69,79.49,79.64,639
20190415,79.78,79.78,79.78,79.78,131
20190416,79.6,79.63,79.6,79.6,3657
20190417,79.69,79.69,79.68,79.68,460
20190422,79.48,79.48,79.48,79.48,320
20190423,79.87,79.87,79.57,79.57,194
20190424,79.83,79.83,79.81,79.81,487
20190425,79.71,79.72,79.64,79.66,62608
20190426,79.93,79.93,79.87,79.87,286
20190429,79.87,79.87,79.87,79.87,230
20190430,79.75,79.75,79.75,79.75,33
20190501,79.99,79.99,79.96,79.96,164
20190502,79.78,79.84,79.66,79.78,3006
20190503,79.53,79.75,79.53,79.75,164
20190506,79.87,79.93,79.87,79.93,158
20190507,80.14,80.14,80.14,80.14,3129
20190508,79.99,79.99,79.84,79.84,1902
20190509,79.84,79.87,79.83,79.83,2160
20190510,79.82,79.82,79.81,79.81,164
20190513,79.99,79.99,79.98,79.98,6816
20190514,79.99,79.99,79.88,79.88,224
20190515,80.05,83.04,80.05,80.14,26059
20190516,80.05,80.05,80.05,80.05,836
20190517,79.75,79.96,79.75,79.96,8549
20190520,79.87,79.87,79.84,79.84,336
20190523,80.23,80.6,80.23,80.6,6472
20190524,80.33,80.39,80.33,80.38,715
20190529,80.54,80.54,80.54,80.54,131
20190530,80.54,80.54,80.54,80.54,6531
20190531,80.74,80.97,80.74,80.95,758
20190603,81.36,81.36,81.02,81.02,370
20190604,81.05,81.15,81.05,81.12,245
