Date,Open,High,Low,Close,Volume
20210915,25.299,25.359,25.299,25.3073,6614
20210916,25.03,25.07,25.03,25.07,448
20210920,25.08,25.08,24.895,25.0047,419
20210921,25.335,25.39,25.3158,25.3158,425
20210922,26.075,26.075,25.9131,25.9131,529
20210923,25.93,25.976,25.91,25.976,337
20210924,25.71,25.71,25.4544,25.4544,1025
20210927,25.37,25.37,25.175,25.175,1823
20210928,25.38,25.38,25.09,25.1822,1514
20210929,24.91,24.91,24.91,24.91,487
20211004,24.63,24.63,23.94,23.94,1216
20211006,23.82,23.83,23.82,23.83,579
20211007,23.95,23.95,23.8848,23.8848,7907
20211008,23.41,23.41,23.41,23.41,539
20211011,22.95,23.219,22.95,23.0396,823
20211012,23.35,23.855,23.35,23.855,6538
20211013,24.03,24.4027,24.03,24.4027,7076
20211014,24.64,24.64,24.579,24.6072,1155
20211015,24.49,24.6899,24.459,24.64,5845
20211018,24.52,24.689,24.52,24.68,1612
20211019,24.92,25.18,24.92,25.065,3198
20211020,25.7,25.74,25.629,25.7289,767
20211021,25.43,25.56,25.43,25.5123,2701
20211025,25.73,25.935,25.73,25.9319,2339
20211026,25.75,25.75,25.4952,25.4952,2464
20211027,26.29,26.48,26.2701,26.2751,31881
20211028,26.52,26.96,26.52,26.9547,3504
20211029,26.5,26.56,26.31,26.4688,2168
20211101,26.6209,26.7663,26.6209,26.7663,245
20211102,26.38,26.38,26.03,26.03,3821
20211103,25.27,25.27,25.06,25.13,1476
20211104,25.94,26.29,25.94,26.09,5838
20211105,25.62,25.63,25.44,25.4829,3624
20211108,25.68,25.68,25.4601,25.5831,61434
20211109,25.36,25.37,25.3,25.3437,1143
20211110,24.88,24.88,24.7,24.7,1334
20211111,24.725,24.84,24.725,24.76,5499
20211112,24.9,24.9,24.9,24.9,249
20211115,24.61,24.61,24.32,24.3619,4639
20211116,24.3,24.34,24.3,24.3225,1213
20211117,24.64,24.64,24.535,24.5641,924
20211118,24.669,24.669,24.499,24.499,367
20211119,24.74,24.74,24.715,24.715,290
20211122,24.35,24.45,24.1533,24.1533,2214
20211123,23.86,23.86,23.5,23.5417,3968
20211124,23.54,23.6794,23.5,23.6794,847
20211126,23.65,23.65,23.65,23.65,272
20211129,23.82,23.8727,23.82,23.8727,223
20211130,23.88,23.88,23.65,23.736,501
20211201,23.97,24,23.4693,23.4693,654
20211202,23.36,23.39,23.35,23.39,2466
20211203,23.61,23.61,23.1,23.1,1793
20211207,23.76,23.76,23.6986,23.6986,895
20211208,23.899,23.9152,23.899,23.9152,379
20211209,23.9,23.9,23.9,23.9,1660
20211210,23.48,23.48,23.48,23.48,264
20211213,23.54,23.54,23.4,23.4,554
20211214,23.2399,23.2399,23.1973,23.1973,270
20211215,23.14,23.4785,23.14,23.4785,1039
20211216,23.94,23.94,23.563,23.563,375
20211220,22.73,22.73,22.6336,22.6336,1725
20211221,22.9,23.15,22.9,23.085,12670
20211222,23,23.129,22.96,23.107,3091
20211223,23.45,23.7199,23.45,23.6136,3999
20211227,23.4,23.4,23.3,23.315,2210
20211228,23.09,23.13,23.065,23.065,10037
20211229,23.04,23.04,22.97,22.99,2345
20211230,23.16,23.3071,23.04,23.1903,5404
20211231,23.41,23.4399,23.38,23.38,937
20220103,23.659,23.8398,23.659,23.7706,1998
20220104,23.39,23.39,23.39,23.39,20793
20220105,22.41,22.41,21.9397,21.9397,3140
20220106,21.85,21.85,21.85,21.85,178
20220107,21.57,21.59,21.52,21.55,2265
20220110,21.41,21.41,21.014,21.3005,2565
20220112,21.52,21.629,21.5,21.62,3115
20220113,21.699,21.699,21.34,21.34,1297
20220114,21.225,21.2643,21.125,21.2643,2437
20220118,21.18,21.189,21.0946,21.0946,907
20220119,21.349,21.349,21.232,21.232,1193
20220120,21.759,21.9,21.389,21.389,2747
20220121,21.08,21.08,21.08,21.08,684
20220124,20.34,20.6323,20.2,20.6323,1410
20220125,19.99,20.0122,19.9,20.0122,1051
20220126,20.75,20.85,20.4903,20.5141,2722
20220127,20.2701,20.2701,20.1545,20.1545,517
20220128,20.3,20.44,20.195,20.3924,8029
20220131,20.56,21.1516,20.56,21.1516,456
20220201,20.96,20.985,20.89,20.985,1601
20220202,21.079,21.079,21.02,21.02,388
20220203,20.79,20.79,20.74,20.74,750
20220204,20.66,20.7163,20.44,20.7163,7367
20220207,20.74,20.82,20.74,20.7773,1440
20220208,20.47,20.47,20.47,20.47,759
20220209,20.92,21.0958,20.92,21.0958,716
20220210,20.63,20.63,20.63,20.63,459
20220214,20.01,20.1299,19.96,20,1865
20220215,20.66,20.92,20.66,20.92,1396
20220218,20.74,20.74,20.74,20.74,250
