Date,Open,High,Low,Close,Volume
20170314,28.58,29.43,28.58,29.43,2900
20170315,28.6,29.11,28.16,28.16,4100
20170316,28.81,29.29,28.4,29.29,2300
20170320,28.94,30.06,28.75,30,4073
20170321,30.72,33.78,30.72,32.98,4469
20170322,28.38,34.07,28.38,32.8,2948
20170323,29.54,32.02,28.82,28.82,605
20170324,27.96,27.96,27.96,27.96,1128
20170328,28.56,29.35,28.56,29.35,3555
20170329,29.05,29.55,29.05,29.05,487
20170331,27.72,27.72,27.72,27.72,102
20170403,27.55,27.55,27.55,27.55,142
20170405,27.62,27.77,27.61,27.77,1812
20170411,27.23,27.47,27.2,27.47,509
20170413,27.56,27.56,27.56,27.56,102
20170425,28.13,28.2,28.13,28.19,2307
20170428,28.07,28.07,28.07,28.07,102
20170511,27.38,27.38,27.35,27.35,967
20170512,27.28,27.28,27.28,27.28,457
20170515,27.32,27.63,27.32,27.38,2133
20170516,27.31,27.4,27.31,27.4,559
20170518,27.09,27.09,27.09,27.09,152
20170519,27.26,27.3,27.26,27.27,609
20170601,26.92,27.93,26.92,27.89,2232
20170602,27.89,27.92,27.89,27.92,1093
20170607,27.98,27.98,27.98,27.98,406
20170622,28.09,28.09,28.09,28.09,102
20170717,27.9,28.07,27.9,28.05,2125
20170720,28.06,28.06,28.01,28.01,202
20170721,28,28,27.94,27.94,2530
20170725,28.37,28.37,28.37,28.37,423
20170807,28.4,28.43,28.2,28.2,3239
20170808,27.92,27.92,27.54,27.67,607
20170809,28.05,28.12,28.02,28.12,607
20170810,28.01,28.01,27.97,27.97,810
20170811,27.81,27.81,27.81,27.81,101
20170814,27.91,28.11,27.91,28.07,607
20170816,28.04,28.04,28.04,28.04,101
20170821,27.84,27.86,27.65,27.69,455
20170828,27.73,27.83,27.67,27.72,4959
20170906,28.31,28.35,28.31,28.34,4771
20170914,28.01,28.01,27.9,27.92,2020
20171012,28.57,28.57,28.57,28.57,126
20171019,28.7,28.7,28.7,28.7,100
20171020,28.68,28.69,28.68,28.69,343
20171027,28.96,28.96,28.96,28.96,100
20171030,28.78,28.91,28.67,28.67,5120
20171121,28.91,28.92,28.84,28.9,2014
20171128,28.89,28.89,28.89,28.89,1206
20171129,29.81,29.81,29.81,29.81,100
20171204,31.33,31.33,31.2,31.2,749
20171208,30.38,30.38,30.35,30.36,5527
20171211,31.06,31.06,31.06,31.06,603
20171218,31.39,31.43,31.36,31.43,1085
20171219,31.48,31.48,31.48,31.48,1105
20171222,30.56,31.58,30.56,31.58,3314
20171226,31.47,31.47,31.47,31.47,100
20180105,31.38,31.38,31.34,31.38,1200
20180108,32,32,32,32,150
20180110,31.4697,31.515,31.4697,31.515,600
20180111,31.711,31.711,31.711,31.711,175
20180117,33,33,32.503,32.503,1300
20180118,32.248,32.248,32.248,32.248,484
20180123,32.6098,32.815,32.6098,32.815,215
20180125,32.964,32.964,32.964,32.964,301
20180202,31.97,31.97,31.97,31.97,419
20180205,32,32,32,32,200
20180206,31.09,31.09,31.09,31.09,600
20180207,31.46,31.46,31.46,31.46,600
20180209,29.7511,30.2,29.566,30.18,950
20180212,30.75,30.75,30.74,30.74,1000
20180306,30.9962,31.0843,30.9962,31.07,700
20180307,31.1,31.1,31.1,31.1,100
20180315,31.09,31.09,31.09,31.09,200
20180316,31.1,31.11,31.07,31.1,1300
