Date,Open,High,Low,Close,Volume
20191002,21.46,21.46,21.02,21.25,5501
20191003,21.12,21.12,21.03,21.03,1704
20191004,21.1,23.83,21.1,23.83,3038
20191007,21.24,21.27,21.03,21.03,4680
20191008,21.22,21.22,20.9,20.93,2539
20191009,21.22,21.22,20.95,20.95,1305
20191010,21.19,21.27,21.19,21.27,1563
20191011,21.81,21.81,21.81,21.81,36
20191014,21.98,21.98,21.86,21.88,3299
20191015,21.8,22.2,21.8,22.2,5690
20191016,22.24,22.24,22.08,22.24,3489
20191017,22.2,22.2,22.2,22.2,36
20191018,22.17,22.37,22.17,22.36,1908
20191021,22.5,22.5,22.37,22.5,5512
20191022,22.49,22.49,22.36,22.43,4572
20191023,22.47,22.51,22.23,22.51,2542
20191024,22.62,22.62,22.45,22.45,1876
20191025,22.46,22.46,22.46,22.46,621
20191028,22.64,22.71,22.64,22.69,7201
20191029,22.73,22.73,22.68,22.68,1557
20191030,22.55,22.7,22.54,22.56,972
20191031,22.73,23.43,22.53,23.07,3230
20191101,22.72,22.85,22.72,22.85,6294
20191104,22.95,22.95,22.95,22.95,270
20191105,23.06,23.06,23.06,23.06,469
20191106,22.88,23.03,22.77,23.03,6666
20191107,23.09,23.09,23.09,23.09,1089
20191108,23.04,24.32,22.85,22.85,6446
20191111,22.89,22.89,22.86,22.86,1294
20191112,23,23,22.86,22.92,1711
20191113,22.83,24.12,22.7,22.74,2540
20191114,22.72,22.72,22.68,22.71,4218
20191115,23.04,23.04,22.86,22.9,3087
20191118,22.87,22.91,22.81,22.85,2249
20191119,22.93,22.95,22.85,22.91,1571
20191120,22.83,22.85,22.77,22.77,5115
20191121,22.83,22.86,22.67,22.74,2845
20191122,22.76,22.76,22.73,22.73,2233
20191125,22.94,22.94,22.94,22.94,614
20191126,22.91,22.91,22.91,22.91,36
20191127,23.03,23.07,23.03,23.07,1620
20191129,22.91,22.93,22.77,22.77,6482
20191202,22.71,22.77,22.71,22.77,759
20191203,22.56,22.56,22.56,22.56,36
20191204,22.79,22.79,22.79,22.79,36
20191205,22.94,22.94,22.85,22.87,2053
20191206,23.03,23.3,23.01,23.06,6912
20191209,22.98,23,22.96,22.96,2251
20191210,23.04,23.04,22.89,22.91,2849
20191211,23.14,23.16,23.12,23.12,1404
20191212,23.16,23.16,23.08,23.14,3672
20191213,23.35,23.6,23.35,23.54,3563
20191216,23.84,23.85,23.84,23.85,331
20191217,23.62,23.65,23.62,23.63,3774
20191218,23.54,23.54,23.53,23.53,1009
20191219,23.53,23.58,23.53,23.54,2265
20191220,23.53,23.55,23.53,23.54,2544
20191223,23.65,24.42,23.65,23.75,6038
20191224,23.73,23.93,23.6,23.83,12882
20191226,23.8,23.8,23.8,23.8,36
20191227,24.03,24.06,23.97,24.03,7871
20191230,24.12,24.12,23.66,23.67,508161
20191231,23.77,23.8,23.76,23.8,3453
20200102,23.8,24.18,23.8,23.96,128139
20200103,23.75,24.09,23.71,23.82,30946
20200106,23.83,25.66,23.62,23.94,12103
20200107,23.74,23.87,23.68,23.86,113941
20200108,23.72,23.73,23.65,23.68,3490
20200109,23.66,23.67,23.64,23.65,7612
20200110,23.64,23.71,23.33,23.48,17570
20200113,23.44,23.7,23.44,23.65,4034
20200114,23.68,24.07,23.58,23.7,12995
20200115,23.64,24.03,23.55,23.59,18705
20200116,23.75,23.9,23.64,23.84,53967
20200117,23.94,23.97,23.91,23.91,4660
20200121,23.85,23.85,23.65,23.69,176197
20200122,23.87,23.89,23.83,23.87,3590
20200123,23.88,23.88,23.53,23.71,7328
20200124,23.73,23.74,23.5,23.56,3070
20200127,23.08,24.53,23.08,23.15,11649
20200128,23.2,23.36,23.18,23.26,19485
20200129,23.16,23.24,23.16,23.17,4302
20200130,23.12,23.14,23.03,23.13,9659
20200131,23,23.19,22.82,22.92,50641
20200203,23.04,23.04,22.92,23,11775
20200204,23.31,23.44,23.22,23.31,9230
20200205,23.54,23.65,23.52,23.55,9920
20200206,23.54,23.63,23.44,23.56,29780
20200207,23.3,23.3,23.21,23.23,26970
20200210,23.28,23.3,23.21,23.26,18324
20200211,23.54,23.54,23.47,23.47,2617
20200212,23.66,23.71,23.55,23.71,25180
20200213,23.22,23.7,23.22,23.57,7939
20200214,23.61,23.61,23.47,23.53,3559
20200218,23.46,23.46,23.28,23.35,28332
20200219,23.5,23.51,23.45,23.51,7393
20200220,23.32,23.49,23.28,23.37,33395
20200221,23.21,23.32,23.21,23.27,30521
20200224,22.52,22.52,22.34,22.42,100470
20200225,22.5,22.5,21.84,21.97,4747
20200226,22.12,22.19,21.87,21.89,18025
20200227,21.39,21.7,21.37,21.39,131295
20200228,20.7,20.94,20.64,20.78,58201
20200302,20.76,21.03,20.76,21.03,17317
20200303,21.38,21.62,21,21.06,4945
20200304,21.4,21.58,21.4,21.58,3761
20200305,21.01,21.16,20.75,20.82,38030
20200306,20.51,20.63,20.5,20.57,21147
20200309,19.243,19.602,19.194,19.194,7014
20200310,19.953,19.953,19.363,19.893,36259
20200311,18.974,18.974,18.747,18.747,1720
20200312,17.619,19.423,16.987,16.995,133349
20200313,17.662,17.957,17.312,17.944,37699
20200316,16.132,16.662,16.038,16.397,16114
20200317,15.858,16.944,15.858,16.884,7654
20200318,15.67,15.721,15.179,15.508,14225
20200319,15.788,16.08,15.73,16.003,279802
20200320,16.264,16.431,15.711,15.884,24725
20200323,15.473,15.61,14.948,15.431,12188
20200324,16.238,16.775,16.217,16.319,7133
20200325,16.773,17.337,16.619,17.027,44992
20200326,17.325,17.645,17.2,17.525,19819
20200327,16.978,18.483,16.833,17.021,5227
20200330,16.824,17.004,16.824,17.004,3715
20200331,17.243,17.354,17.009,17.038,6741
20200401,16.482,16.542,15.533,16.277,6151
20200402,16.921,16.921,16.645,16.85,6279
20200403,16.516,16.559,16.123,16.174,23535
20200406,17.012,17.252,16.995,17.252,26913
20200407,17.799,18.093,17.508,17.551,22024
20200408,17.695,17.799,17.566,17.794,59567
20200409,17.987,18.337,17.987,18.294,16180
20200413,18.337,18.337,17.97,18.2,87007
20200414,18.457,18.696,18.371,18.448,11997
20200415,17.705,17.705,17.477,17.602,13250
20200416,17.385,17.465,17.363,17.42,5560
20200417,17.919,18.073,17.91,18.031,4976
20200420,17.91,17.944,17.735,17.806,5502
20200421,17.491,17.529,17.194,17.299,11638
20200422,17.585,17.619,17.559,17.579,4836
20200423,17.782,17.782,17.474,17.62,6492
20200424,17.568,17.628,17.465,17.628,27766
20200427,17.961,18.149,17.961,18.055,9543
20200428,18.393,18.406,18.269,18.363,7388
20200429,18.901,19.115,18.901,19.115,8657
20200430,18.759,18.759,18.525,18.713,9191
20200501,18.104,18.183,18.021,18.089,9411
