Date,Open,High,Low,Close,Volume
20140807,39.84,39.84,39.84,39.84,100
20140808,40.21,40.25,40.21,40.25,400
20140811,39.7299,39.95,39.67,39.91,7025
20140812,40,40.02,39.95,39.975,6625
20140813,39.77,39.79,39.7,39.7,11130
20140814,39.8,39.8,39.67,39.78,2480
20140815,39.7,39.85,39.56,39.81,7525
20140819,39.5,39.5,39.5,39.5,100
20140820,39.53,39.53,39.53,39.53,250
20140822,39.5299,39.5299,39.5299,39.5299,100
20140825,39.496,39.51,39.45,39.45,1150
20140826,39.25,39.38,39.25,39.37,300
20140827,39.47,39.47,39.3,39.3,2200
20140828,39.41,39.41,39.41,39.41,100
20140829,39.43,39.43,39.43,39.43,400
20140902,39.43,39.44,39.23,39.23,23700
20140903,39.294,39.354,39.294,39.3,580
20140904,39.34,39.61,39.34,39.61,4484
20140905,39.58,39.58,39.44,39.52,2350
20140908,39.52,39.52,39.52,39.52,800
20140909,39.5608,39.78,39.5608,39.78,2100
20140910,39.61,39.61,39.6,39.6,1050
20140911,39.65,39.7098,39.65,39.7098,600
20140912,39.77,39.82,39.77,39.82,3100
20140915,39.86,39.91,39.86,39.91,700
20140916,39.9076,39.9412,39.78,39.78,1400
20140917,39.74,39.79,39.5801,39.65,2428
20140919,39.51,39.51,39.5,39.5,700
20140922,39.5301,39.71,39.53,39.6,2750
20140923,39.7,39.85,39.7,39.85,4900
20140924,39.805,39.92,39.805,39.9199,2520
20140925,40,40.05,40,40.025,7350
20140926,40.132,40.1796,40.07,40.1796,1400
20140929,40.3564,40.3564,40.205,40.29,4230
20140930,40.06,40.06,39.82,39.82,2375
20141001,40.9475,41.03,39.8899,39.89,11133
20141002,39.93,39.93,39.8,39.85,4152
20141003,39.5301,39.5301,39.53,39.53,400
20141006,39.62,39.62,39.6,39.6,460
20141007,39.65,39.79,39.55,39.79,8500
20141008,39.66,39.77,39.59,39.59,10523
20141009,39.62,39.8,39.52,39.8,16600
20141010,39.65,40.01,39.65,40.01,10956
20141013,40.4,40.4,39.3,40.02,1150
20141015,40.2975,40.2975,40.01,40.16,4400
20141016,40.3175,40.39,40.12,40.13,1450
20141017,39.7799,39.7799,39.7799,39.7799,150
20141020,39.5523,39.5523,39.5523,39.5523,100
20141022,39.4398,39.46,39.4398,39.45,3178
20141023,39.3,39.32,39.25,39.25,3300
20141024,39.22,39.26,39.22,39.26,2775
20141027,39.32,39.32,39.32,39.32,200
20141028,39.4,39.4,39.15,39.22,1155
20141029,39.24,39.24,39.24,39.24,100
20141031,39.0901,39.256,39.08,39.256,3100
20141104,39.23,39.25,39.23,39.25,655
20141105,39.1733,39.2,39.1648,39.19,1760
20141106,39.135,39.135,39.1,39.12,1100
20141107,39.1601,39.1601,39.11,39.15,1000
20141110,39.06,39.06,39.03,39.06,4600
20141111,39.04,39.09,38.99,38.99,26325
20141112,39.058,39.058,39,39,1000
20141113,39.04,39.1204,39.04,39.06,9700
20141114,39.146,39.146,39.135,39.14,300
20141117,39.16,39.16,39.16,39.16,500
20141119,39.25,39.2799,39.2436,39.2652,4067
20141121,39.06,39.06,39.04,39.06,4100
20141124,38.92,38.93,38.92,38.93,3650
20141201,38.9799,39,38.97,39,1300
20141202,38.975,38.975,38.975,38.975,500
20141203,38.92,38.92,38.85,38.85,1392
20141204,38.91,38.92,38.91,38.92,2200
20141205,39,39.01,39,39.01,1000
20141208,39.052,39.23,39.052,39.23,5800
