Date,Open,High,Low,Close,Volume
20170126,25,25.01,25,25,27098
20170130,24.72,24.7249,24.72,24.7249,325
20170131,24.68,24.815,24.63,24.815,4925
20170201,24.8825,24.8825,24.8353,24.8353,458
20170202,24.8353,24.8353,24.8353,24.8353,901245
20170203,25.09,25.32,25.09,25.3,34400
20170206,25.3,25.3,25.3,25.3,42
20170207,25.08,25.1,25.08,25.1,8236
20170208,25.1972,25.1972,25.1972,25.1972,100
20170209,25.51,25.51,25.51,25.51,200
20170213,25.77,25.77,25.7,25.7,16083
20170214,25.67,25.7699,25.67,25.7699,300
20170221,25.96,25.96,25.96,25.96,6336
20170222,25.8,25.81,25.8,25.81,6217
20170223,25.65,25.65,25.65,25.65,200
20170224,25.65,25.65,25.65,25.65,50
20170227,25.65,25.65,25.65,25.65,50
20170228,25.45,25.4501,25.4497,25.45,2671
20170301,25.76,25.76,25.76,25.76,200
20170302,25.59,25.59,25.51,25.51,1033
20170306,25.2748,25.31,25.2748,25.31,486
20170307,25.1099,25.1099,25.1099,25.1099,100
20170308,25.22,25.22,25.135,25.18,270153
20170314,25.06,25.06,25.0099,25.0099,6900
20170315,25.3446,25.3446,25.3446,25.3446,100
20170316,25.2479,25.2479,25.2479,25.2479,179
20170320,24.9608,25.02,24.9608,25.02,200
20170322,24.5599,24.5599,24.5599,24.5599,200
20170327,24.56,24.63,24.55,24.63,2369
20170328,24.79,24.79,24.7899,24.79,1350
20170329,25.031,25.031,25.031,25.031,100
20170331,25.15,25.17,25.1425,25.1425,3258
20170403,25.3,25.3,24.95,24.95,4428
20170404,24.95,25.0399,24.95,25.0399,422
20170406,24.86,24.86,24.86,24.86,39756
20170407,24.84,24.84,24.84,24.84,1000
20170413,24.5499,24.5499,24.5252,24.5252,294
20170417,24.66,24.66,24.6599,24.6599,2785
20170418,24.6996,24.6996,24.6996,24.6996,100
20170419,24.91,24.91,24.8356,24.8356,200
20170420,25.0698,25.0698,25.0698,25.0698,100
20170421,25.14,25.14,25.01,25.01,1532
20170424,25.2234,25.2234,25.2234,25.2234,100
20170425,25.3505,25.3505,25.3505,25.3505,100
20170426,25.537,25.537,25.537,25.537,100
20170501,25.48,25.53,25.4799,25.49,846
20170508,25.6132,25.6132,25.6132,25.6132,100
20170509,25.68,25.68,25.6,25.6,1700
20170511,25.418,25.418,25.418,25.418,113
20170515,25.5,25.5,25.5,25.5,100
20170517,25.12,25.12,25.12,25.12,100
20170518,25.17,25.17,25.17,25.17,100
20170519,25.47,25.47,25.4507,25.4699,1191
20170522,25.5399,25.54,25.5399,25.54,691
20170524,25.64,25.64,25.64,25.64,176
20170525,25.84,25.84,25.84,25.84,100
20170526,25.91,25.91,25.91,25.91,100
20170530,25.77,25.77,25.77,25.77,270
20170531,25.73,25.77,25.73,25.77,417
20170601,26.13,26.13,26.095,26.095,200
20170602,26.23,26.23,26.23,26.23,200
20170605,25.945,25.945,25.945,25.945,100
