Date,Open,High,Low,Close,Volume
20100719,20.14,20.48,19.93,20.42,112600
20100720,19.86,21.5,19.86,21.43,113780
20100721,21.76,21.86,20.89,21.25,161760
20100722,22.53,22.55,21.97,22.31,47970
20100723,22.73,22.74,21.7,22.64,62510
20100726,22.78,23.33,22.56,23.23,305820
20100727,23.91,23.91,23.02,23.36,250700
20100728,23.61,23.61,22.92,23.13,181830
20100729,23.55,23.71,22.72,23.21,216930
20100730,22.63,23.42,22.58,23.35,310710
20100802,23.78,24.38,23.68,24.34,715880
20100803,24.1,24.28,23.83,24.12,367470
20100804,24.21,24.4,24.05,24.13,435030
20100805,24.07,24.25,23.93,24.08,451690
20100806,23.79,24.18,23.38,24.18,1076090
20100809,24.35,24.52,24.15,24.46,430620
20100810,24.05,24.45,23.85,24.28,484790
20100811,23.5,23.65,23.14,23.17,547000
20100812,22.59,23.12,22.4852,22.91,432580
20100813,22.76,22.92,22.37,22.42,562780
20100816,22.27,22.82,22.24,22.62,308130
20100817,23.18,23.46,23.03,23.32,306520
20100818,23.32,23.73,23.24,23.6,397950
20100819,23.5,23.6,22.7,22.9,723900
20100820,22.81,23.17,22.64,23.12,951080
20100823,23.35,23.63,23.29,23.31,462910
20100824,22.8,23.12,22.36,22.88,547180
20100825,22.7,23.36,22.44,23.26,218540
20100826,23.47,23.62,22.85,23.1,518310
20100827,23.37,24.12,22.86,24.11,287830
20100830,24.06,24.29,23.64,23.64,167560
20100831,23.54,23.95,23.38,23.77,263200
20100901,24.2,24.78,24.2,24.78,228370
20100902,24.84,25.22,24.78,25.2,114550
20100903,25.63,25.91,25.51,25.9,142600
20100907,25.57,25.79,25.42,25.5,207500
20100908,25.61,25.89,25.61,25.81,133370
20100909,26.19,26.31,26.04,26.09,211180
20100910,26.17,26.34,26.07,26.29,127700
20100913,26.72,27.08,26.64,27.04,205050
20100914,27.02,27.17,26.82,27.01,187520
20100915,26.88,27.24,26.79,27.18,226500
20100916,27.17,27.23,26.94,27.18,75370
20100917,27.31,27.37,27.05,27.3,131680
20100920,27.44,27.66,27.31,27.61,373180
20100921,27.71,27.9,27.54,27.66,539190
20100922,27.53,27.74,27.28,27.4,254520
20100923,27.09,27.36,26.92,26.9201,147880
20100924,27.38,27.69,27.35,27.69,93560
20100927,27.73,27.83,27.6,27.63,192410
20100928,27.6,27.73,27.29,27.73,153540
20100929,27.6,27.66,27.4,27.47,169340
20100930,27.61,27.72,27.05,27.17,156990
20101001,27.36,27.44,27.15,27.4,151060
20101004,27.25,27.41,27.05,27.11,709100
20101005,27.47,27.89,27.33,27.79,187360
20101006,27.86,27.96,27.72,27.92,107400
20101007,28.06,28.06,27.77,28.01,75840
20101008,28.06,28.59,28.06,28.59,272640
20101011,28.52,28.82,28.52,28.82,521750
20101012,28.75,29.27,28.5542,29.24,163020
20101013,29.48,29.61,29.34,29.47,124910
20101014,29.34,29.37,28.85,29.07,613390
20101015,29.26,29.31,28.8,29.31,140560
20101018,29.1,29.6344,29.09,29.6,60710
20101019,29.19,29.5201,29.15,29.27,139810
20101020,29.37,29.83,29.37,29.8,133720
20101021,29.84,30.14,29.74,30.06,185580
20101022,30.1,30.44,30.1,30.43,111560
20101025,30.76,30.78,30.53,30.58,226870
20101026,30.45,30.52,30.34,30.4,119580
20101027,30.17,30.27,29.88,30.23,71100
20101028,30.43,30.45,30.08,30.28,38620
20101029,30.25,30.28,30.13,30.24,63920
20101101,30.28,30.48,30.08,30.2,55400
20101102,30.4,30.45,30.35,30.44,81360
20101103,30.44,31.07,30.33,31,266530
20101104,31.39,31.62,31.39,31.62,112000
20101105,31.71,31.74,31.59,31.67,54980
20101108,31.48,31.6,31.34,31.58,81930
20101109,31.84,31.84,31.4,31.56,28180
20101110,31.55,31.69,31.3,31.69,258220
20101111,30.99,31.59,30.58,31.56,47370
20101112,31.16,31.55,31,31.13,127180
20101115,31.17,31.46,31.17,31.22,49760
20101116,31.01,31.08,30.6,30.83,82020
20101117,30.92,31.24,30.9,31.03,67760
20101118,31.45,31.6,31.36,31.58,150590
20101119,31.48,31.73,31.3,31.73,76930
20101122,31.72,31.99,31.54,31.99,89930
20101123,31.62,31.7,31.45,31.63,95490
20101124,31.85,31.96,31.82,31.96,44150
20101126,31.76,31.88,31.61,31.67,44700
20101129,31.44,31.47,31.06,31.42,102620
20101130,31.1,31.22,30.84,30.84,75150
20101201,31.26,31.41,31.24,31.24,69910
20101202,31.38,31.93,31.38,31.92,255880
20101203,31.79,32.31,31.79,32.27,91400
20101206,32.38,32.51,32.24,32.45,246020
20101207,32.73,32.8,32.49,32.49,85220
20101208,32.46,32.72,32.4,32.7,72590
20101209,32.76,33,32.68,32.8,191670
20101210,32.87,32.92,32.81,32.85,101640
20101213,33.02,33.02,32.74,32.76,34840
20101214,32.8,32.81,32.65,32.7,33300
20101215,32.7,32.82,32.54,32.55,79970
20101216,32.63,32.72,32.53,32.69,374990
20101217,32.72,32.87,32.69,32.83,19770
20101220,32.93,33,32.84,33,16770
20101221,33.1,33.15,33.09,33.13,34440
20101222,33.16,33.2,33.12,33.16,23450
20101223,33.15,33.15,32.84,32.9,23230
20101227,32.81,32.81,32.69,32.8,14300
20101228,32.7,32.78,32.65,32.7,22000
20101229,32.79,32.82,32.73,32.79,16940
20101230,32.81,32.9,32.79,32.89,10520
20101231,32.81,32.96,32.81,32.92,92860
20110103,33.02,33.22,33.02,33.13,13480
20110104,33.15,33.19,32.99,33.19,15050
20110105,33.09,33.32,33.05,33.29,35870
20110106,33.33,33.36,33.18,33.28,130510
20110107,33.34,33.41,33.09,33.25,54240
20110110,33.12,33.28,33.02,33.25,49980
20110111,33.37,33.46,33.29,33.45,102450
20110112,33.6,33.74,33.57,33.73,21270
20110113,33.69,33.8,33.69,33.8,7400
20110114,33.85,34.1,33.8,34.05,59960
20110118,34.08,34.25,34.05,34.23,25400
20110119,34.21,34.21,33.84,33.93,20330
20110120,33.88,34.01,33.79,33.99,15400
20110121,34.17,34.17,33.9,33.902,7740
20110124,33.95,34.09,33.94,34.06,16810
20110125,34.03,34.11,33.9,34.11,30300
20110126,34.171,34.34,34.167,34.3,62190
20110127,34.3,34.42,34.27,34.39,31540
20110128,34.42,34.45,33.88,33.94,73630
20110131,34.02,34.04,33.92,33.97,20700
20110201,34.12,34.3,34.12,34.26,56360
20110202,34.22,34.31,34.2,34.3,83820
20110203,34.27,34.35,34.1,34.35,77500
20110204,34.34,34.47,34.32,34.46,104600
20110207,34.56,34.6,34.54,34.54,86160
20110208,34.54,34.65,34.49,34.63,73600
20110209,34.58,34.62,34.49,34.61,181750
20110210,34.47,34.61,34.46,34.61,110890
20110211,34.55,34.7,34.55,34.7,73540
20110214,34.67,34.75,34.65,34.74,42870
20110215,34.7,34.73,34.66,34.68,90210
20110216,34.75,34.76,34.6,34.6,44500
20110217,34.55,34.58,34.53,34.53,57070
20110218,34.55,34.56,34.46,34.49,26350
20110222,34.19,34.29,33.81,33.83,133040
20110223,33.81,33.88,33.4,33.57,320700
20110224,33.54,33.66,33.41,33.62,173610
20110225,33.83,34.03,33.83,34.02,143890
20110228,34.19,34.31,34.19,34.28,78150
20110301,34.35,34.35,33.86,33.86,231420
20110302,33.85,34.04,33.82,33.83,61230
20110303,34.12,34.15,34.05,34.14,43300
20110304,34.15,34.17,33.88,34,78740
20110307,34.11,34.11,33.67,33.84,128240
20110308,33.84,34,33.69,33.96,66250
20110309,33.81,33.92,33.71,33.86,65100
20110310,33.62,33.71,33.54,33.58,43150
20110311,33.46,33.78,33.46,33.74,36360
20110314,33.64,33.69,33.49,33.69,63700
20110315,32.99,33.52,32.99,33.44,188760
20110316,33.35,33.4,32.61,32.85,295870
20110317,33.23,33.28,33.08,33.11,59130
20110318,33.3592,33.36,33.21,33.31,74950
20110321,33.72,33.81,33.66,33.81,45350
20110322,33.87,33.9,33.78,33.86,78200
