Date,Open,High,Low,Close,Volume
20130823,15.744,15.814,15.744,15.807,4999
20130826,15.736,15.736,15.673,15.673,28853
20130827,15.603,15.603,15.603,15.603,192
20130828,15.54,15.556,15.532,15.532,15832
20130829,15.525,15.525,15.525,15.525,5554
20130830,15.63,15.63,15.473,15.525,14796
20130903,15.634,15.634,15.634,15.634,134
20130904,15.626,15.752,15.572,15.634,19755
20130905,15.556,15.556,15.556,15.556,128
20130906,15.658,15.658,15.658,15.658,357
20130909,15.807,15.901,15.807,15.885,6601
20130910,15.947,15.948,15.893,15.893,511
20130911,15.971,15.995,15.971,15.995,10087
20130913,15.995,15.995,15.995,15.995,128
20130916,16.151,16.159,16.151,16.159,2233
20130917,16.23,16.237,16.167,16.198,25279
20130918,16.222,16.699,16.151,16.519,75965
20130919,16.613,16.613,16.425,16.425,13164
20130920,16.527,16.527,16.204,16.314,2001
20130923,16.456,16.456,16.212,16.377,13596
20130924,16.435,16.44,16.377,16.385,3622
20130925,16.432,16.432,16.362,16.362,381
20130926,16.35,16.354,16.35,16.354,1425
20130927,16.346,16.346,16.344,16.346,508
20130930,16.181,16.181,16.181,16.181,254
20131001,16,16.33,16,16.299,1271
20131002,16.338,16.37,16.291,16.291,3128
20131003,16.307,16.307,16.307,16.307,254
20131004,16.338,16.377,16.267,16.267,13276
20131007,16.37,16.388,16.275,16.275,4346
20131009,16.322,16.322,16.236,16.314,13051
20131011,16.472,16.472,16.385,16.385,891
20131014,16.44,16.542,16.44,16.542,1819
20131015,16.401,16.401,16.401,16.401,127
20131016,16.535,16.535,16.417,16.456,13588
20131017,16.59,16.605,16.59,16.59,14849
20131018,16.75,16.75,16.629,16.637,19682
20131021,16.844,16.844,16.708,16.708,1564
20131022,16.779,16.795,16.748,16.795,640
20131023,16.653,16.653,16.653,16.653,665
20131024,16.677,16.882,16.669,16.669,8933
20131025,16.843,16.843,16.693,16.693,2274
20131028,16.724,16.732,16.677,16.732,6876
20131029,16.926,16.926,16.716,16.716,2816
20131030,16.913,16.913,16.59,16.59,4275
20131031,16.63,16.63,16.629,16.63,2904
20131101,16.677,16.677,16.449,16.574,10225
20131104,16.653,16.653,16.561,16.606,7273
20131105,16.598,16.779,16.598,16.771,2537
20131106,16.953,16.953,16.827,16.827,1609
20131107,16.756,16.756,16.637,16.645,8840
20131108,16.622,16.63,16.585,16.622,5918
20131111,16.614,16.653,16.614,16.614,8169
20131112,16.598,16.598,16.598,16.598,761
20131113,16.448,16.559,16.448,16.527,15373
20131114,16.606,16.803,16.59,16.693,10541
20131115,16.74,16.803,15.778,16.685,7555
20131118,16.911,16.911,16.472,16.59,15910
20131119,16.683,16.693,16.604,16.645,5390
20131120,16.628,16.645,16.587,16.622,2765
20131121,16.57,16.57,16.467,16.475,4303
20131122,16.554,16.562,16.46,16.483,8571
20131125,16.231,16.531,16.231,16.531,4039
20131126,16.436,16.459,16.365,16.365,4990
20131127,16.254,16.499,16.254,16.436,2846
20131129,16.436,16.46,16.428,16.46,1114
20131202,16.402,16.402,16.301,16.317,4974
20131203,16.256,16.325,16.256,16.325,7402
20131204,16.313,16.337,16.073,16.144,5823
20131205,16.199,16.246,15.993,16.175,6946
20131206,16.207,16.325,16.207,16.325,941
20131209,16.317,16.428,16.317,16.428,27901
20131210,16.428,17.187,16.388,16.436,5161
20131211,16.349,16.357,16.317,16.317,10771
20131213,16.285,16.293,16.207,16.278,5540
20131216,16.272,16.368,16.272,16.317,1715
20131217,16.325,16.365,16.325,16.365,2026
20131218,16.32,16.483,16.02,16.231,12404
20131219,16.296,16.353,16.278,16.353,8785
20131220,16.369,16.401,16.207,16.401,8331
20131223,16.607,16.607,16.274,16.296,9982
20131224,16.523,16.61,16.483,16.58,1811
20131226,16.645,16.645,16.645,16.645,785
20131227,16.45,16.45,16.345,16.345,985
20131230,16.434,16.505,16.434,16.474,2513
20131231,16.548,16.572,16.548,16.572,3401
20140102,16.472,16.472,16.33,16.353,732
20140103,16.393,16.434,16.393,16.434,1232
20140106,16.353,16.353,16.353,16.353,244
20140107,16.453,16.453,16.328,16.328,2107
20140108,16.263,16.385,16.263,16.32,3327
20140109,16.377,16.377,16.293,16.328,1551
20140110,16.369,16.466,16.369,16.466,3599
20140113,16.489,16.489,16.31,16.312,23864
20140114,16.401,16.401,16.361,16.361,507
20140115,16.291,16.336,16.291,16.336,2452
20140116,16.313,16.328,16.311,16.328,3438
20140117,16.32,16.32,15.923,16.15,5001
20140121,16.312,16.32,16.231,16.231,3889
20140122,16.128,16.307,16.128,16.307,1609
20140123,16.291,16.291,15.969,16.242,3433
20140124,16.126,16.126,16.096,16.096,872
20140127,16.096,16.096,15.698,15.965,11233
20140128,15.903,15.903,15.688,15.754,829
20140129,15.949,15.993,15.892,15.892,3437
20140130,15.981,16.047,15.981,16.047,352
20140131,15.859,15.859,15.827,15.827,614
20140203,16.047,16.047,15.706,15.835,2879
20140204,16.031,16.031,16.031,16.031,1228
20140205,15.99,16.088,15.835,16.088,4707
20140206,16.185,16.275,16.185,16.275,8299
20140207,16.295,16.405,16.258,16.405,2445
20140210,16.633,16.633,16.348,16.348,4353
20140211,16.442,16.523,16.442,16.519,2566
20140212,16.359,16.503,16.324,16.324,3733
20140213,16.456,16.538,16.32,16.495,5532
20140214,17.171,17.171,16.43,16.495,3390
20140218,16.479,16.666,16.479,16.576,14120
20140219,16.658,16.658,16.576,16.576,2527
20140220,16.597,16.605,16.556,16.584,2645
20140221,16.637,16.645,16.61,16.61,3451
20140224,16.536,16.896,16.536,16.896,617
20140225,16.802,16.806,16.749,16.806,5149
20140227,16.736,16.74,16.736,16.74,1959
20140303,16.299,16.495,16.299,16.495,3796
20140304,16.528,16.781,16.495,16.732,17078
20140305,16.475,16.724,16.475,16.724,610
20140306,16.781,16.781,16.757,16.757,979
20140307,16.736,16.736,16.662,16.683,26858
20140310,16.617,16.652,16.325,16.651,8132
20140311,16.528,16.553,16.398,16.553,1158
20140312,16.482,16.504,16.294,16.504,6312
20140313,16.552,16.552,16.381,16.504,6562
20140314,16.512,16.512,16.13,16.471,3743
20140317,16.61,16.61,16.561,16.561,366
20140318,16.573,16.708,16.463,16.651,6820
20140319,16.533,16.533,15.989,15.989,3209
20140320,16.038,16.536,16.038,16.536,4272
20140321,16.486,16.536,16.446,16.536,5178
20140324,16.495,16.495,16.487,16.487,612
20140325,16.388,16.527,16.388,16.527,1288
20140326,16.748,16.756,16.628,16.756,2074
20140327,16.748,16.748,16.748,16.748,183
20140328,16.904,16.912,16.633,16.633,2532
20140331,16.707,16.969,16.707,16.969,1220
20140401,17.035,17.035,17.035,17.035,854
20140402,16.691,17.01,16.691,17.01,5636
20140403,16.457,16.92,16.453,16.707,5718
20140404,17.002,17.043,17.002,17.002,897
20140407,17.094,17.094,16.897,16.985,5406
20140408,17.061,17.151,16.987,17.125,10434
20140409,17.19,17.362,16.892,17.362,5237
20140410,17.208,17.208,17.198,17.198,964
20140414,16.822,16.822,16.822,16.822,725
20140415,17.081,17.162,16.835,17.158,8261
20140416,17.106,17.179,16.928,16.928,11963
20140417,17.203,17.203,17.002,17.002,3196
20140421,17.231,17.231,17.116,17.231,2512
20140422,17.267,17.267,16.996,17.251,2716
20140423,17.053,17.053,17.053,17.053,289
20140424,16.997,17.21,16.951,17.21,6757
20140425,17.16,17.16,17.136,17.16,2488
20140428,17.408,17.408,17.078,17.078,2306
20140429,17.026,17.679,17.004,17.572,5448
20140430,17.515,17.705,17.326,17.704,3034
20140501,17.795,17.795,17.275,17.77,6918
20140505,17.513,17.513,17.259,17.49,5158
20140506,17.465,17.679,17.424,17.597,4710
20140507,17.473,17.49,17.473,17.49,1165
20140508,17.572,17.721,17.506,17.548,4364
20140509,17.488,17.635,17.38,17.63,4660
20140512,17.498,17.712,17.399,17.581,13680
20140513,17.581,17.655,17.581,17.655,2024
20140514,17.564,17.704,17.564,17.704,3354
20140515,17.577,17.684,17.577,17.671,17100
20140516,17.443,17.77,17.443,17.77,5788
20140519,17.597,17.811,17.551,17.811,6107
20140520,17.618,17.799,17.533,17.688,4021
20140521,17.606,17.796,17.606,17.784,9622
20140522,17.512,17.75,17.512,17.709,6087
20140523,17.66,17.792,17.651,17.792,13396
20140527,17.825,17.825,17.577,17.825,8107
20140528,17.742,17.775,17.571,17.767,18172
20140529,17.833,17.833,17.665,17.817,8538
20140530,17.856,17.869,17.732,17.833,14688
20140602,17.701,18.286,17.701,17.8,5267
20140603,17.668,17.8,17.577,17.8,8338
20140604,17.668,17.668,17.668,17.668,604
20140605,17.751,17.914,17.751,17.875,7848
20140606,17.85,17.991,17.808,17.966,4751
20140609,17.817,18.015,17.817,17.899,2413
20140610,18.032,18.032,17.842,17.966,3384
20140611,17.944,17.944,17.916,17.916,10064
