Date,Open,High,Low,Close,Volume
20100318,48.67,48.91,48.67,48.87,4253
20100319,48.76,49.31,48.76,49.27,709
20100322,49.1,49.1,49.1,49.1,1418
20100323,49.38,49.38,49.38,49.38,203
20100324,49.55,49.93,49.55,49.58,20968
20100325,49.76,50.49,49.64,50.49,21290
20100326,49.46,51.07,49.06,49.47,7556
20100329,49.03,49.03,48.48,48.52,9631
20100330,47.84,47.9,47.57,47.74,5123
20100331,47.85,47.86,47.63,47.84,3929
20100401,46.65,46.69,46.52,46.67,2319
20100405,46.32,46.32,45.92,45.99,1457
20100406,46.16,46.16,45.88,45.91,1975
20100407,45.93,46.21,45.92,46.16,5368
20100408,46.57,46.57,45.8,45.8,6633
20100409,45.52,45.52,43.88,45.18,4047
20100412,45.56,45.56,45.56,45.56,1909
20100414,45.62,45.62,45.35,45.35,2257
20100415,45.68,45.68,45.61,45.61,2116
20100416,47.48,47.5,47.32,47.39,2102
20100419,47.97,48.35,47.75,47.81,8012
20100420,47,47.28,47,47.07,2471
20100421,47.47,47.79,47.45,47.69,1772
20100422,47.95,48.38,47.55,47.55,3708
20100423,47.97,48.04,47.65,47.65,4820
20100426,47.35,47.39,47.33,47.38,1797
20100427,48.33,49.41,48.3,49.37,9285
20100428,48.71,49.12,48.71,48.84,4651
20100429,48.73,48.73,48.63,48.63,1140
20100430,48.53,48.67,48.31,48.67,1546
20100503,48.56,48.56,48.42,48.48,2341
20100504,49.57,50.5,49.57,50.2,3499
20100505,50.94,51.15,50.24,50.95,9489
20100506,51.07,52.63,50.82,52.63,5695
20100507,51.93,52.52,51.2,52.33,8539
20100510,51.04,51.04,49.21,49.31,6328
20100511,50.57,50.57,49.46,49.94,14428
20100512,49.98,50.18,49.72,49.81,50461
20100513,49.76,49.99,49.61,49.99,4154
20100514,50.59,51.46,50.59,50.96,18801
20100517,51.34,52.06,50.92,51.14,12372
20100518,50.23,51.66,50.22,51.66,4416
20100519,51.86,52.09,51.38,51.45,8653
20100520,52.89,54.21,52.53,52.97,56638
20100521,52.44,54.12,51.57,51.67,10309
20100524,51.07,51.16,50.58,51.15,10225
20100525,53.46,53.46,51.84,51.95,27885
20100526,51.42,51.58,50.88,51.58,2070
20100527,50.57,50.57,49.53,49.54,44564
20100528,49.94,50.36,49.87,50.36,1924
20100601,50.54,50.87,49.9,50.87,21912
20100602,50.62,50.62,49.65,49.79,10961
20100603,49.53,49.84,49.53,49.84,571
20100604,50.71,51.24,50.51,51.24,1736
20100607,50.89,51.53,50.89,51.53,962
20100608,51.26,51.46,51.06,51.06,2427
20100609,49.35,50.34,49.17,50.34,12448
20100610,49.38,49.38,48.81,48.81,5033
20100611,48.89,48.89,48.75,48.83,1890
20100614,48.11,48.75,48.1,48.75,1950
20100615,48.15,48.15,47.62,47.62,1110
20100616,47.9,47.95,47.4,47.4,2381
20100617,48.31,48.31,48.16,48.16,1164
20100618,48.07,48.08,47.91,48.05,6385
20100621,45.94,46.59,45.85,46.56,2271
20100622,46.59,47.02,46.16,47,6568
20100623,46.57,46.57,46.4,46.4,405
20100624,47.15,47.21,47.15,47.21,2330
20100625,47.1,47.1,47.01,47.01,811
20100629,48.42,48.94,48.32,48.94,31696
20100630,48.41,49.02,48.23,49.02,5904
20100701,49.04,49.7,48.77,48.77,17783
20100702,49.31,49.31,49.13,49.13,347
20100706,47.96,48.55,47.57,48.41,27878
20100707,48.4,48.4,47.94,47.94,785
20100708,48.03,48.41,48.03,48.38,8308
20100709,47.61,47.84,47.19,47.19,20856
20100712,47.45,47.48,47.45,47.46,5063
20100713,47.09,47.29,47.02,47.02,14591
20100714,47.46,47.56,47.45,47.56,2228
20100716,48.79,49.45,48.79,49.28,440
20100719,48.98,49.34,48.98,49.07,11178
20100721,47.27,47.83,47.24,47.75,2087
20100722,46.82,46.83,46.61,46.61,7596
20100723,46.61,46.61,46.49,46.49,202
20100726,46.32,46.32,46.09,46.09,1253
20100727,46.1,46.33,46.1,46.33,507
20100728,46.25,46.46,46.24,46.46,708
20100729,46.43,46.76,46.43,46.76,456
20100730,46.37,46.43,46.16,46.16,9256
20100802,45.29,45.31,44.84,44.97,15476
20100803,45.5,45.71,45.42,45.42,396
20100804,45.43,45.5,45.18,45.18,2300
20100805,45.54,45.55,45.41,45.42,8005
20100806,45.75,45.77,45.48,45.51,7013
20100809,45.16,45.23,45.07,45.12,3665
20100810,46.28,46.32,46.25,46.32,632
20100811,47.06,47.39,47.06,47.37,6697
20100812,47.74,47.74,47.49,47.73,2664
20100813,47.38,47.63,47.38,47.6,809
20100816,47.23,47.25,46.82,47.08,5180
20100817,46.69,46.69,46.3,46.34,1403
20100818,46.74,46.74,46.53,46.53,5575
20100819,46.87,47.11,46.87,47.01,14196
20100820,46.83,47.26,46.83,46.83,3563
20100823,47.22,47.41,47.18,47.36,2576
20100824,47.88,47.94,47.77,47.77,1119
20100825,48.27,48.53,48.21,48.22,5457
20100826,48.05,48.39,47.9,48.39,2027
20100827,47.93,47.98,47.76,47.76,2922
20100830,47.98,47.98,47.89,47.98,5619
20100831,48.23,48.23,48.23,48.23,101
20100901,47.15,47.15,46.91,46.97,3928
20100902,46.76,46.76,46.76,46.76,101
20100903,46.16,46.36,46.16,46.3,1378
20100907,45.93,46.61,45.93,46.61,3422
20100908,46.34,46.46,46.34,46.46,506
20100909,46.02,46.27,46.02,46.23,942
20100910,46.34,46.34,46.19,46.19,785
20100913,45.19,45.21,45.08,45.11,3363
20100914,45.26,45.27,45.26,45.27,1013
20100917,45.21,45.28,45.13,45.13,2228
20100920,44.84,44.9,44.46,44.46,810
20100921,44.68,44.68,44.3,44.3,304
20100923,44.94,44.95,44.75,44.93,3857
20100924,44.34,44.34,44.06,44.06,2490
20100927,44.18,44.32,44.18,44.21,1845
20100928,44.46,44.46,44.46,44.46,101
20100929,44.07,44.16,44.07,44.16,2254
20100930,43.94,43.94,43.94,43.94,192
20101001,43.7,43.76,43.62,43.62,3141
20101004,43.36,43.72,43.36,43.72,2448
20101005,42.98,42.98,42.57,42.57,1423
20101006,42.82,42.82,42.58,42.58,1114
20101007,42.96,43.17,42.96,43.17,3443
20101008,42.75,42.75,42.25,42.25,5797
20101011,42.03,42.07,42.03,42.07,5773
20101012,42.32,42.32,42.15,42.22,7580
20101013,41.5,41.5,41,41,913
20101015,40.22,40.65,40.22,40.65,1980
20101018,40.61,40.61,40.44,40.44,304
20101019,41,41.26,41,41.2,419
20101020,41.09,41.09,40.87,40.87,304
20101025,40.44,40.44,40.44,40.44,116
20101026,40.66,40.94,40.66,40.73,759
20101027,41.98,42.01,41.92,41.92,1559
20101028,41.27,41.36,41.27,41.36,1519
20101029,41.89,41.89,41.59,41.72,1864
20101101,41.07,41.24,40.66,41.24,1318
20101102,40.62,40.62,40.62,40.62,3010
20101104,39.23,39.24,38.96,39.04,9077
20101105,39.15,39.15,39.11,39.13,507
20101108,39.09,39.12,39.04,39.04,1648
20101110,39.67,39.67,39.6,39.6,889
20101111,39.47,39.47,39.47,39.47,203
20101112,40.33,40.6,40.17,40.47,1470
20101115,40.81,40.88,40.81,40.88,404
20101116,41.77,42.22,41.73,42.2,2127
20101117,42.37,42.43,42.02,42.02,2423
20101118,41.26,41.31,41.2,41.21,18099
20101119,42.11,42.21,41.85,41.85,2026
20101122,41.84,41.84,41.84,41.84,203
20101124,42.29,42.29,42.05,42.13,2227
20101126,42.85,43.01,42.85,42.94,2076
20101129,42.74,42.91,42.33,42.36,2835
20101130,42.92,42.92,42.85,42.86,5694
20101201,41.8,42.07,41.58,41.58,1150
20101202,41.48,41.48,41.18,41.18,1256
20101203,41.87,41.87,41.87,41.87,506
20101206,42.37,42.37,42.16,42.37,2025
20101207,41.79,41.91,41.79,41.91,1893
20101208,42.89,42.89,42.83,42.83,521
20101210,42.47,42.64,42.47,42.64,2594
20101213,42.22,42.28,42.22,42.28,489
20101214,42.22,42.46,42.22,42.38,49416
20101215,43.29,43.39,43.26,43.39,320
20101216,43.63,43.63,43.4,43.4,1862
20101217,43.52,43.52,43.52,43.52,101
20101220,43.43,43.5,43.4,43.5,1801
20101221,42.98,42.98,42.56,42.56,8103
20101222,42.67,42.73,42.66,42.7,2161
20101223,43.17,43.24,43.17,43.22,1155
20101227,43.77,43.77,43.23,43.26,9204
20101228,43.8,43.91,43.58,43.59,13770
20101229,43.18,43.18,42.9,43.07,13954
20101230,43.06,43.18,42.86,43.14,19745
20101231,42.91,42.91,42.6,42.8,9190
20110103,42,42.14,41.89,42.01,10286
20110104,41.59,41.96,41.59,41.62,11979
20110105,41.79,41.79,41.38,41.48,4491
20110106,41.62,41.96,41.62,41.87,710
20110107,42.2,42.32,42.2,42.22,455
20110110,42.47,42.5,42.47,42.5,515
20110111,41.97,41.97,41.82,41.9,3084
20110112,41.01,41.1,40.37,41.1,3139
20110113,40.98,41.25,40.98,41.25,950
20110118,41.53,41.62,41.52,41.52,1418
20110119,41.36,41.47,41.34,41.42,4984
20110120,42.32,42.41,42.15,42.15,3280
20110121,41.91,42.39,41.83,42.39,18861
20110124,42.55,42.55,42.52,42.54,8404
20110125,42.85,43.11,42.82,43.11,1582
20110126,42.44,42.56,42.39,42.52,3636
20110127,42.52,42.52,42.2,42.35,20051
20110128,43.17,43.59,43.17,43.53,23314
20110131,42.89,43.04,42.64,42.97,4963
20110201,42.53,42.62,42.52,42.57,608
20110202,42.57,42.65,42.57,42.65,7320
20110203,42.81,42.88,42.69,42.69,20574
20110204,42.76,43.01,42.63,42.63,4752
20110207,42.96,43.02,42.83,42.9,31766
20110208,43.05,43.05,42.84,42.89,4923
20110209,43.67,44.22,43.67,44.12,3138
20110210,44.65,44.65,44.06,44.06,3993
20110211,44.38,44.38,43.61,43.65,5452
20110214,43.39,43.47,43.33,43.47,1236
20110215,43.65,43.65,43.57,43.57,849
20110216,43.35,43.35,42.94,42.98,4338
20110217,42.63,42.73,42.6,42.73,1206
20110218,42.41,42.7,42.41,42.65,69539
20110222,43.66,44.15,43.65,44.15,2898
20110223,43.91,44.32,43.91,44.1,3275
20110224,44.03,44.31,44.03,44.23,3115
20110225,43.63,43.63,43.43,43.47,1749
20110228,42.93,43.08,42.88,42.9,1419
20110301,42.9,43.17,42.9,43.06,40351
20110302,42.92,42.92,42.51,42.65,3344
20110303,41.98,42.12,41.92,41.92,3862
20110304,41.72,42.09,41.66,41.95,4399
20110307,42.73,42.73,41.14,42.01,4357
20110308,41.36,41.36,40.93,41.04,8072
20110309,40.91,40.93,40.73,40.88,10966
20110310,41.32,41.5,41.26,41.5,5990
20110311,41.89,41.94,41.57,41.63,2388
20110314,41.61,41.76,41.58,41.64,9622
20110315,42.41,42.41,42.06,42.06,578
20110316,42.54,43.45,42.54,43.31,72827
20110317,42.91,43.18,42.9,43.13,1722
20110318,43.18,43.25,43.13,43.18,4109
20110321,42.54,42.54,42.15,42.15,4981
20110322,42.06,42.2,42.06,42.19,15805
20110323,41.96,42.11,41.68,41.71,4103
20110324,41.28,41.28,41.2,41.23,303
20110325,41.45,41.45,41.05,41.21,5890
20110329,41.23,41.29,41.17,41.29,2721
20110330,40.68,40.71,40.46,40.46,3906
20110331,40.19,40.28,39.99,40.03,8355
20110401,39.6,39.6,39.18,39.52,31707
20110404,39.18,39.18,38.82,38.82,6591
20110405,39.03,39.1,38.88,39.08,21589
20110406,38.89,39.01,38.79,38.95,13191
20110407,39.02,39.2,38.81,39.09,7936
20110408,38.93,39.16,38.86,39.1,9216
20110411,38.88,39.47,38.86,39.47,3446
20110412,39.74,39.98,39.55,39.84,3237
20110413,39.23,39.56,39.23,39.54,5662
20110414,39.62,39.62,39.41,39.41,3464
20110415,39.29,39.29,39.13,39.21,2424
20110418,40,40,40,40,608
20110419,39.93,40.01,39.93,39.95,2228
20110420,39.14,39.2,38.92,39.03,4081
20110421,38.74,38.74,38.63,38.69,12831
20110425,39.06,39.06,39.06,39.06,627
20110426,39,39,38.78,38.91,1920
20110427,39.5,39.69,39.46,39.46,2759
20110428,39.5,39.68,39.5,39.67,457
20110429,39.85,39.91,39.45,39.58,3651
20110502,39.36,39.39,39.33,39.39,1013
20110503,40.26,40.31,40.21,40.21,1215
20110504,40.76,41.08,40.7,40.88,8496
20110505,41.23,41.23,41.18,41.18,2673
20110506,40.36,40.88,40.21,40.88,4408
20110509,40.67,40.67,40.67,40.67,1442
20110510,40.3,40.32,40.28,40.28,1115
20110511,40.82,41.14,40.82,41.14,938
20110512,41.22,41.22,41.22,41.22,203
20110516,41.31,41.47,41.31,41.41,1924
20110517,41.25,41.62,41.25,41.45,3746
20110518,40.7,40.7,40.47,40.49,607
20110519,40.62,40.62,40.46,40.49,2541
20110520,40.67,40.67,40.38,40.38,1012
20110523,41.38,41.61,41.38,41.4,10078
20110524,41.01,41.32,41.01,41.14,5813
20110525,41.03,41.03,40.79,40.84,5623
20110526,40.87,40.92,40.7,40.72,7596
20110527,40.32,40.32,40.15,40.29,4557
20110531,39.35,39.47,39.34,39.34,3243
20110601,39.44,39.86,39.44,39.86,3283
20110602,39.93,40.17,39.74,39.83,9346
20110603,40.75,40.75,40.5,40.64,6935
20110606,40.65,40.88,40.65,40.88,12969
20110607,40.4,40.75,40.4,40.75,1030
20110608,41.04,41.09,41,41,2294
20110609,41.1,41.1,40.75,40.75,3139
20110610,41.53,42.01,41.53,41.74,5398
20110613,41.31,41.77,41.31,41.68,14072
20110614,41.04,41.13,40.96,41.11,5063
20110615,41.64,42.03,41.49,41.79,8967
20110616,41.79,42.26,41.79,42.07,3330
20110617,42.03,42.22,41.91,42.07,27576
20110620,42.49,42.49,42.23,42.23,1419
